Category,State,Year,Month,Value(thousand megawatthours),state_year_month
Net generation wind , Maine ,2012,9,61.36999, Maine 20129
Net generation wind , Maine ,2012,8,44.22524, Maine 20128
Net generation wind , Maine ,2012,7,50.38729, Maine 20127
Net generation wind , Maine ,2012,6,55.10494, Maine 20126
Net generation wind , Maine ,2012,5,48.08239, Maine 20125
Net generation wind , Maine ,2012,4,82.25908, Maine 20124
Net generation wind , Maine ,2012,3,84.22048, Maine 20123
Net generation wind , Maine ,2012,2,96.712, Maine 20122
Net generation wind , Maine ,2012,1,106.42096, Maine 20121
Net generation wind , Maine ,2011,12,72.54044, Maine 201112
Net generation wind , Maine ,2011,11,84.5456, Maine 201111
Net generation wind , Maine ,2011,10,81.01008, Maine 201110
Net generation wind , Maine ,2011,9,41.0084, Maine 20119
Net generation wind , Maine ,2011,8,39.43008, Maine 20118
Net generation wind , Maine ,2011,7,39.55483, Maine 20117
Net generation wind , Maine ,2011,6,35.7612, Maine 20116
