State,Year,Month,Net generation other renewables (total)  (thousand megawatthours),Average retail price of electricity (cents per KWH),Retail sales of electricity (million kilowatthours),Revenue from retail sales of electricity total(million dollars),Revenue from retail sales of electricity residential (million dollars),Total consumption coal (thousand tons),Total consumption petroleum liquid (thousand barrels),Total consumption  natural gas (thousand Mcf),unqid
Alabama,2017,7,303.5966,12.53,3429.51828,878.76993,429.58206,1858.693,3.938,42893.952,2017_7_Alabama
Alabama,2017,6,279.92249,12.79,2727.88024,766.67053,348.87341,1489.063,2.741,33357.656,2017_6_Alabama
Alabama,2017,5,274.68961,12.73,2262.40423,681.01506,287.89061,1310.503,4.459,30762.064,2017_5_Alabama
Alabama,2017,4,268.04368,12.71,2044.88955,623.23465,259.84629,1130.11,3.524,29599.447,2017_4_Alabama
Alabama,2017,3,272.50137,12.82,2127.99069,643.88836,272.88091,1271.181,5.062,30229.111,2017_3_Alabama
Alabama,2017,2,270.40119,12.97,2061.37047,605.89544,267.28798,1295.306,2.8,22970.336,2017_2_Alabama
Alabama,2017,1,283.71386,12.11,2694.50307,689.47008,326.3198,1336.762,11.714,25495.524,2017_1_Alabama
Alabama,2016,12,284.72242,12,2589.1788,684.63402,310.69822,1468.822,5.931,30858.987,2016_12_Alabama
Alabama,2016,11,290.49955,12.29,1970.52732,591.91583,242.26081,1389.218,2.567,30499.759,2016_11_Alabama
Alabama,2016,10,248.39522,12.56,2276.77763,673.45096,285.93293,1579.623,2.835,31961.939,2016_10_Alabama
Alabama,2016,9,276.00008,12.27,3187.5747,806.47934,391.07481,1744.497,2.724,40587.444,2016_9_Alabama
Alabama,2016,8,286.72079,12.22,3584.66267,884.61376,438.054,1919.124,2.458,43504.916,2016_8_Alabama
Alabama,2016,7,287.10998,12.08,3655.77279,884.35216,441.69067,1914.584,2.945,44566.291,2016_7_Alabama
Alabama,2016,6,284.42962,12.16,3013.83058,787.71612,366.40082,1589.791,4.917,39282.408,2016_6_Alabama
Alabama,2016,5,275.24383,12.1,2210.0438,642.76974,267.36429,1214.715,4.35,33335.257,2016_5_Alabama
Alabama,2016,4,241.14562,12.42,1855.04946,572.75007,230.35931,964.637,0.679,26636.009,2016_4_Alabama
Alabama,2016,3,279.45322,12.11,2098.02465,585.36658,254.15196,1218.694,9.053,30763.747,2016_3_Alabama
Alabama,2016,2,262.98909,11.5,2652.92965,628.02937,305.10542,1180.254,5.257,29216.353,2016_2_Alabama
Alabama,2016,1,272.69653,11.04,3094.62597,687.31715,341.73448,1275.475,19.688,33948.682,2016_1_Alabama
Alabama,2015,12,289.87542,11.16,2275.02057,578.41295,253.95144,1322.359,13.66,33320.462,2015_12_Alabama
Alabama,2015,11,272.7529,11.39,1962.75419,546.40601,223.49795,1390.714,7.636,31415.014,2015_11_Alabama
Alabama,2015,10,268.64759,11.92,2040.50984,601.68413,243.2563,1583.219,3.434,31618.026,2015_10_Alabama
Alabama,2015,9,250.97885,12.22,2730.06018,749.42108,333.71765,2058.92,5.22,33205.973,2015_9_Alabama
Alabama,2015,8,289.48397,11.97,3412.66712,859.08913,408.65697,2257.715,6.411,37362.292,2015_8_Alabama
Alabama,2015,7,291.18905,11.83,3568.23681,883.14036,422.06708,2442.855,6.887,39112.83,2015_7_Alabama
Alabama,2015,6,257.67445,11.94,2984.81702,795.57473,356.30629,2214.484,7.642,36718.428,2015_6_Alabama
Alabama,2015,5,279.59446,12.12,2239.72635,660.90864,271.38768,1870.443,9.394,32390.617,2015_5_Alabama
Alabama,2015,4,262.45573,12.22,1866.59674,574.10881,228.17474,1359.936,7.41,24902.333,2015_4_Alabama
Alabama,2015,3,268.72482,11.7,2480.85645,636.1089,290.27006,1391.702,11.242,30383.095,2015_3_Alabama
Alabama,2015,2,263.93388,11.16,3096.88735,692.75712,345.63813,1604.088,19.65,31359.981,2015_2_Alabama
Alabama,2015,1,293.97284,10.92,3250.39739,714.18061,354.90695,1529.016,27.014,35708.548,2015_1_Alabama
Alabama,2014,12,240.04921,11.04,2678.24756,644.49349,295.62464,1697.932,12.083,31210.298,2014_12_Alabama
Alabama,2014,11,204.01869,11.09,2378.4018,609.16298,263.71266,1591.956,11.789,33379.919,2014_11_Alabama
Alabama,2014,10,215.25731,11.74,2134.63476,614.46417,250.61326,1645.091,3.571,30282.165,2014_10_Alabama
Alabama,2014,9,230.01717,11.84,2966.90711,767.82804,351.16342,2016.272,12.774,32492.821,2014_9_Alabama
Alabama,2014,8,239.53263,11.75,3323.20155,844.43941,390.50389,2445.207,5.22,34915.055,2014_8_Alabama
Alabama,2014,7,242.21864,11.84,3221.72756,828.57996,381.47158,2511.169,4.121,30843.23,2014_7_Alabama
Alabama,2014,6,232.58622,11.82,2865.26113,770.92175,338.54202,2278.892,13.694,30018.126,2014_6_Alabama
Alabama,2014,5,257.86582,11.79,2213.04802,643.02726,260.83539,2053.116,7.451,27325.464,2014_5_Alabama
Alabama,2014,4,230.44197,11.75,1940.81213,563.13435,228.01671,1613.847,15.913,18805.21,2014_4_Alabama
Alabama,2014,3,226.77246,11.58,2437.1901,638.93312,282.33574,1680.152,7.98,26747.197,2014_3_Alabama
Alabama,2014,2,214.16286,11.21,2984.36977,672.32434,334.54389,2119.893,13.814,18406.332,2014_2_Alabama
Alabama,2014,1,246.09805,10.69,3785.7965,789.08104,404.55422,2247.78,68.48,31638.824,2014_1_Alabama
Alabama,2013,12,231.97267,10.5,2944.2469,643.29242,309.13775,1958.107,8.76,27437.177,2013_12_Alabama
Alabama,2013,11,228.20154,10.74,2223.08137,566.83841,238.66235,1891.434,6.699,27210.513,2013_11_Alabama
Alabama,2013,10,203.58653,11.79,2134.78161,618.40265,251.75589,2092.774,8.495,27082.333,2013_10_Alabama
Alabama,2013,9,254.29929,11.73,2875.25574,746.8699,337.35321,2270.175,5.524,26570.953,2013_9_Alabama
Alabama,2013,8,273.02925,11.6,3182.49832,806.84129,369.04318,2423.052,7.748,33104.567,2013_8_Alabama
Alabama,2013,7,262.36796,11.56,3122.78716,784.43701,360.88489,2225.836,8.151,30427.522,2013_7_Alabama
Alabama,2013,6,247.71961,11.65,2889.5191,759.35457,336.67941,2152.974,9.244,29019.863,2013_6_Alabama
Alabama,2013,5,232.48792,11.42,2138.12616,605.34774,244.21354,2086.293,9.27,21577.605,2013_5_Alabama
Alabama,2013,4,221.21501,11.39,2013.73397,554.55671,229.4287,1967.323,11.17,22244.717,2013_4_Alabama
Alabama,2013,3,230.99214,10.96,2532.39965,608.59566,277.54881,1889.56,6.879,31387.921,2013_3_Alabama
Alabama,2013,2,235.02507,10.91,2492.33116,589.84273,271.88432,1596.386,10.538,30863.265,2013_2_Alabama
Alabama,2013,1,254.68143,10.81,2829.89788,639.28334,305.99155,1846.333,16.092,26970.658,2013_1_Alabama
Alabama,2012,12,244.04052,10.96,2515.65989,614.1486,275.70205,1974.194,16.677,31222.306,2012_12_Alabama
Alabama,2012,11,227.0461,11.04,2169.963,566.07978,239.51622,2062.299,12.731,26858.231,2012_11_Alabama
Alabama,2012,10,185.37209,11.71,2021.90453,587.32712,236.68256,1956.879,8.835,24621.906,2012_10_Alabama
Alabama,2012,9,243.50404,11.76,2723.23871,715.94238,320.34579,2117.129,9.023,31873.405,2012_9_Alabama
Alabama,2012,8,241.2802,11.71,3274.56884,818.79811,383.51746,2523.262,10.852,39323.992,2012_8_Alabama
Alabama,2012,7,243.14756,11.58,3578.27317,855.94466,414.51026,2720.365,10.966,42745.611,2012_7_Alabama
Alabama,2012,6,235.98315,11.56,2948.33058,753.96455,340.71874,2215.449,18.231,38228.801,2012_6_Alabama
Alabama,2012,5,236.33346,11.14,2439.01049,644.64605,271.73684,1764.137,13.161,37973.636,2012_5_Alabama
Alabama,2012,4,223.86798,11.56,1925.57424,564.86306,222.57064,1536.209,11.4,31146.294,2012_4_Alabama
Alabama,2012,3,208.91445,11.48,2038.44828,575.8359,234.02798,1370.926,11.267,29926.738,2012_3_Alabama
Alabama,2012,2,243.786,11.21,2298.9103,583.8368,257.77158,1189.403,7.579,34516.681,2012_2_Alabama
Alabama,2012,1,243.27844,10.91,2698.37899,629.07482,294.27936,1590.239,10.681,32868.369,2012_1_Alabama
Alabama,2011,12,235.74149,10.87,2599.92837,631.08447,282.61449,1751.949,22.926,32287.285,2011_12_Alabama
Alabama,2011,11,224.30799,11.15,2062.23689,560.56896,229.93847,1857.858,9.498,31661.511,2011_11_Alabama
Alabama,2011,10,193.65411,11.73,2016.54214,590.40858,236.57168,2063.117,9.287,26922.749,2011_10_Alabama
Alabama,2011,9,223.18854,11.56,2760.7632,713.60109,319.14108,2003.287,13.288,31064.796,2011_9_Alabama
Alabama,2011,8,248.04704,11.41,3770.5136,897.78339,430.19677,2891.019,12.642,40687.816,2011_8_Alabama
Alabama,2011,7,245.80049,11.34,3640.45298,855.61851,412.65988,3137.123,11.948,36666.029,2011_7_Alabama
Alabama,2011,6,244.95184,11.29,3318.46453,805.411,374.49945,2902.618,15.393,31412.869,2011_6_Alabama
Alabama,2011,5,237.03445,11.25,2365.77021,620.56355,266.09193,2448.616,20.815,23978.737,2011_5_Alabama
Alabama,2011,4,240.5147,10.87,2038.14668,539.86262,221.56875,1812.232,18.824,17484.13,2011_4_Alabama
Alabama,2011,3,232.86543,10.92,2116.85058,558.453,231.17621,2311.872,13.145,20203.883,2011_3_Alabama
Alabama,2011,2,225.55137,10.56,2797.54589,613.18722,295.52756,2217.339,16.475,23751.647,2011_2_Alabama
Alabama,2011,1,265.00445,10.28,3515.59991,713.50872,361.48335,2753.834,22.947,26719.889,2011_1_Alabama
Alabama,2010,12,206.33971,10.34,3245.76249,692.32874,335.69547,2503.213,34.889,28292.824,2010_12_Alabama
Alabama,2010,11,190.81868,10.89,2058.99498,546.56647,224.20999,2119.949,15.123,19702.21,2010_11_Alabama
Alabama,2010,10,175.69785,11.44,2145.74095,601.13292,245.4971,2057.352,8.67,22719.161,2010_10_Alabama
Alabama,2010,9,195.7475,11.1,3213.72512,749.35001,356.78525,2513.837,8.318,25628.606,2010_9_Alabama
Alabama,2010,8,208.48959,11.18,3929.07064,877.44251,439.15891,2978.856,10.973,35282.55,2010_8_Alabama
Alabama,2010,7,212.73024,10.79,3848.86356,825.60801,415.22374,2982.82,14.411,32167.952,2010_7_Alabama
Alabama,2010,6,198.81067,10.81,3316.6658,754.00109,358.66285,3020.933,12.916,28532.895,2010_6_Alabama
Alabama,2010,5,190.26583,10.99,2310.79816,613.08292,253.89817,2847.517,14.288,20433.223,2010_5_Alabama
Alabama,2010,4,196.33615,11.19,1902.07524,537.81939,212.91442,2284.8,13.384,13842.239,2010_4_Alabama
Alabama,2010,3,195.82892,10.25,2675.01281,576.59797,274.16437,2440.209,13.172,16229.81,2010_3_Alabama
Alabama,2010,2,187.19051,9.77,3132.59216,610.51844,306.16561,2473.038,13.577,18112.145,2010_2_Alabama
Alabama,2010,1,218.73038,9.82,3749.9901,690.43026,368.35814,2762.407,54.88,20778.522,2010_1_Alabama
Alabama,2009,12,234.55393,9.82,2818.68492,603.26038,276.74884,2158.642,24.348,16619.068,2009_12_Alabama
Alabama,2009,11,246.36591,10.2,2013.09458,498.57251,205.3299,1960.584,10.131,14408.395,2009_11_Alabama
Alabama,2009,10,281.09973,10.4,2124.04828,514.3787,220.8702,2174.809,12.364,13515.153,2009_10_Alabama
Alabama,2009,9,283.57393,10.85,2720.75491,645.57865,295.27781,2386.087,6.6,20071.617,2009_9_Alabama
Alabama,2009,8,284.18739,10.91,3288.58024,741.85436,358.80238,2638.552,10.007,26091.306,2009_8_Alabama
Alabama,2009,7,281.93692,10.81,3619.94529,765.26122,391.33891,2495.703,12.719,25545.15,2009_7_Alabama
Alabama,2009,6,255.47385,11.24,2905.74169,703.35757,326.55992,2319.597,10.073,26458.213,2009_6_Alabama
Alabama,2009,5,261.53282,10.59,2248.91252,561.22806,238.25559,2240.981,9.826,16319.133,2009_5_Alabama
Alabama,2009,4,213.54043,11.09,1851.87754,505.95245,205.30309,1819.019,8.412,16260.001,2009_4_Alabama
Alabama,2009,3,237.0027,10.61,2251.154,532.73946,238.88455,2164.111,15.45,17513.446,2009_3_Alabama
Alabama,2009,2,212.7694,10.64,2663.12964,588.83524,283.26679,2397.742,27.534,18184.256,2009_2_Alabama
Alabama,2009,1,257.82003,10.57,2983.4874,653.54995,315.40402,2827.669,29.453,16028.979,2009_1_Alabama
Alabama,2008,12,234.29663,10.19,2820.58247,614.09444,287.33435,2841.218,13.523,10127.082,2008_12_Alabama
Alabama,2008,11,252.06108,11.01,2061.275,585.31735,226.92139,2697.402,12.083,15854.403,2008_11_Alabama
Alabama,2008,10,287.94567,11.57,2115.71336,635.22216,244.82515,2720.05,14.074,13776.511,2008_10_Alabama
Alabama,2008,9,283.27178,11.07,2920.7973,733.61008,323.21945,3022.777,16.944,13647.205,2008_9_Alabama
Alabama,2008,8,300.21095,11.06,3423.59887,812.06675,378.58226,3196.036,13.019,22279.766,2008_8_Alabama
Alabama,2008,7,300.47951,11.08,3549.10038,839.28156,393.23767,3419.853,16.967,22432.216,2008_7_Alabama
Alabama,2008,6,287.54841,10.96,3098.36761,767.20272,339.62033,3244.687,16.219,19298.367,2008_6_Alabama
Alabama,2008,5,280.82669,10.01,2187.28234,564.59766,219.02739,3235.102,16.692,5052.048,2008_5_Alabama
Alabama,2008,4,262.4172,9.89,1901.68479,495.52768,187.99019,2931.443,12.044,6097.612,2008_4_Alabama
Alabama,2008,3,293.15923,9.3,2274.29245,503.51233,211.59138,2945.134,12.022,8903.652,2008_3_Alabama
Alabama,2008,2,268.87253,9.16,2725.61281,547.08186,249.57413,2646.404,15.097,10013.896,2008_2_Alabama
Alabama,2008,1,306.22372,9.2,3106.23262,611.56793,285.64242,2945.165,56.54,16783.35,2008_1_Alabama
Alabama,2007,12,312.45278,9.03,2478.5052,522.85323,223.74287,2921.624,15.693,11598.492,2007_12_Alabama
Alabama,2007,11,313.96934,9.41,1962.48816,485.91429,184.69446,2777.512,5.792,9449.426,2007_11_Alabama
Alabama,2007,10,299.88774,9.44,2399.85761,561.39529,226.48956,2853.629,7.869,14378.248,2007_10_Alabama
Alabama,2007,9,318.29912,9.33,3361.12513,663.72505,313.70317,3169.67,7.556,16899.865,2007_9_Alabama
Alabama,2007,8,339.29921,9.94,3890.2175,803.22334,386.56291,3437.257,11.308,30741.155,2007_8_Alabama
Alabama,2007,7,350.1299,9.46,3460.46888,688.45033,327.35707,3540.999,10.183,19033.076,2007_7_Alabama
Alabama,2007,6,319.73437,9.66,3034.54008,650.32291,293.18786,3410.98,22.357,17204.788,2007_6_Alabama
Alabama,2007,5,324.47952,9.39,2348.66683,551.58025,220.43919,3377.259,12.59,10907.85,2007_5_Alabama
Alabama,2007,4,304.25482,9.58,1916.886,481.00217,183.63219,2964.347,11.639,13770.145,2007_4_Alabama
Alabama,2007,3,300.00315,9.06,2281.26793,494.11725,206.73409,2988.445,12.541,8690.567,2007_3_Alabama
Alabama,2007,2,291.64849,8.73,2906.05355,531.18836,253.69899,2808.341,16.251,14804.776,2007_2_Alabama
Alabama,2007,1,326.4617,8.62,2743.36714,520.09553,236.54764,2982.912,14.39,8257.285,2007_1_Alabama
Alabama,2006,12,328.23248,8.09,2651.89627,476.72115,214.55894,3360.54224,22.93192,7829.39151,2006_12_Alabama
Alabama,2006,11,298.28937,8.45,2008.80224,425.89849,169.83755,3113.57157,14.97687,7580.31609,2006_11_Alabama
Alabama,2006,10,326.13288,8.64,2145.6008,472.23622,185.44378,3080.46671,15.13276,10609.79824,2006_10_Alabama
Alabama,2006,9,328.01945,9.13,3122.6786,621.34358,285.22338,3241.3066,7.17114,11340.32838,2006_9_Alabama
Alabama,2006,8,341.00874,9.56,3757.07382,756.01145,359.18305,3516.50678,11.10318,26195.62386,2006_8_Alabama
Alabama,2006,7,350.45763,9.18,3752.23815,712.68634,344.53796,3353.33674,11.24091,25243.80813,2006_7_Alabama
Alabama,2006,6,321.76247,9.35,3066.6611,635.64541,286.80431,3300.04641,10.42307,19063.6935,2006_6_Alabama
Alabama,2006,5,320.68913,8.69,2312.56331,509.03232,200.96958,3175.67447,12.85729,11641.77863,2006_5_Alabama
Alabama,2006,4,300.94297,8.96,2017.8157,462.67759,180.7249,2755.95354,20.37367,9059.3519,2006_4_Alabama
Alabama,2006,3,315.71305,8.27,2250.29961,441.44097,186.20897,2779.95888,13.03954,7726.16554,2006_3_Alabama
Alabama,2006,2,294.09886,8.14,2369.34644,439.80907,192.95084,2680.25872,17.08524,5197.37208,2006_2_Alabama
Alabama,2006,1,359.11471,7.73,2822.10696,457.7794,218.24674,2809.88934,20.83841,4040.63516,2006_1_Alabama
Alabama,2005,12,301.07056,8.03,2765.34352,499.01442,222.04234,3254.01967,59.28803,9749.16421,2005_12_Alabama
Alabama,2005,11,304.64893,8.61,1873.00034,437.94459,161.28805,2979.82416,16.47635,6522.70393,2005_11_Alabama
Alabama,2005,10,300.86574,8.14,2403.07219,479.37632,195.55935,3113.57205,11.78725,5719.63009,2005_10_Alabama
Alabama,2005,9,312.20052,8.47,3265.02828,605.00269,276.49694,3338.27311,20.74395,9582.05223,2005_9_Alabama
Alabama,2005,8,293.19467,8.18,3440.88701,602.35646,281.45444,3465.08894,19.41211,17573.02054,2005_8_Alabama
Alabama,2005,7,284.57563,8.25,3403.79234,589.90959,280.71133,3311.55301,14.92402,15973.62999,2005_7_Alabama
Alabama,2005,6,311.25558,8.31,2747.54756,523.97507,228.45458,3202.70153,18.526,11921.07372,2005_6_Alabama
Alabama,2005,5,314.75262,8.19,2027.98823,434.24853,166.04435,2873.73985,14.20016,6678.23652,2005_5_Alabama
Alabama,2005,4,278.39603,7.87,1856.52749,380.33934,146.18443,2555.34795,15.5018,3991.33932,2005_4_Alabama
Alabama,2005,3,312.88803,7.58,2225.86638,400.64706,168.7285,2973.5866,7.94445,6532.35393,2005_3_Alabama
Alabama,2005,2,304.47444,7.23,2445.46256,391.38135,176.8489,2693.13031,14.62291,4523.80463,2005_2_Alabama
Alabama,2005,1,328.47925,7,2860.58409,420.52459,200.18979,3236.02884,58.81497,6019.27389,2005_1_Alabama
Alabama,2004,12,311.18729,7.16,2505.09256,405.19053,179.39306,3048.15745,33.13108,6646.64042,2004_12_Alabama
Alabama,2004,11,312.15952,7.63,1802.51919,357.00735,137.56028,2884.05201,27.76269,4994.92492,2004_11_Alabama
Alabama,2004,10,307.35141,7.75,2068.73297,414.30836,160.33808,3119.05591,17.45319,7253.55405,2004_10_Alabama
Alabama,2004,9,288.69935,7.82,2576.82385,453.14849,201.5876,2895.93114,16.44993,9688.87749,2004_9_Alabama
Alabama,2004,8,333.00949,7.87,3113.2046,533.26647,244.87923,3375.39266,16.80072,14661.80819,2004_8_Alabama
Alabama,2004,7,333.11184,7.91,3315.47462,557.04005,262.17229,3515.1243,26.44156,17481.47802,2004_7_Alabama
Alabama,2004,6,315.0735,7.76,2893.67554,491.53467,224.47754,3287.69928,19.39311,11388.1931,2004_6_Alabama
Alabama,2004,5,315.41539,7.78,2252.7077,436.59284,175.23183,3092.38526,18.71936,10409.089,2004_5_Alabama
Alabama,2004,4,326.98933,8.14,1795.55251,390.33494,146.17908,2222.97398,17.12439,8551.65261,2004_4_Alabama
Alabama,2004,3,304.16086,7.66,2136.27733,397.11948,163.73748,2483.02587,7.87009,8671.68929,2004_3_Alabama
Alabama,2004,2,308.09112,7.2,2591.91829,404.20624,186.6113,2424.67925,10.80481,8269.92627,2004_2_Alabama
Alabama,2004,1,323.98387,6.97,3057.13583,438.66058,212.98324,2735.01988,27.79308,9037.95864,2004_1_Alabama
Alabama,2003,12,313.906,7.26,2599.65681,404.70805,188.60854,2883.582,32.64,5790.746,2003_12_Alabama
Alabama,2003,11,319.726,7.67,1709.48437,344.58091,131.04326,2846.468,15.194,3572.927,2003_11_Alabama
Alabama,2003,10,300.368,7.46,1886.85991,362.37675,140.82856,2942.325,20.413,2734.802,2003_10_Alabama
Alabama,2003,9,309.788,7.51,2879.87179,466.46313,216.35243,3236.202,26.82,6905.798,2003_9_Alabama
Alabama,2003,8,320.722,7.67,3201.59842,521.63955,245.66272,3491.835,35.475,17125.63,2003_8_Alabama
Alabama,2003,7,325.286,7.64,3172.89405,503.54181,242.42288,3430.792,11.416,12970.757,2003_7_Alabama
Alabama,2003,6,291.206,7.72,2425.6801,434.25681,187.38231,3268.339,71.594,8673.186,2003_6_Alabama
Alabama,2003,5,270.761,7.18,2166.60701,379.39696,155.56835,2907.806,96.626,4273.641,2003_5_Alabama
Alabama,2003,4,305.007,7.81,1724.73254,355.90524,134.68193,2395.379,28.263,5527.712,2003_4_Alabama
Alabama,2003,3,309.651,7.18,2028.4981,346.94927,145.73276,2573.376,21.499,4057.278,2003_3_Alabama
Alabama,2003,2,284.528,6.86,2562.96844,380.12149,175.94242,2671.86,15.781,5068.943,2003_2_Alabama
Alabama,2003,1,321.91,6.89,3057.56646,429.20504,210.79986,2952.304,84.669,9427.681,2003_1_Alabama
Alabama,2002,12,290.26,6.64,2639.31378,368.26502,175.27119,2868.494,25.841,5608.174,2002_12_Alabama
Alabama,2002,11,239.94,7.27,1761.07857,324.98902,128.05022,2914.148,20.838,5415.166,2002_11_Alabama
Alabama,2002,10,240.015,7.14,2241.18247,385.25597,160.07233,3099.123,30.383,7063.547,2002_10_Alabama
Alabama,2002,9,308.917,7.28,2926.61466,451.65138,213.14158,3150.519,13.827,11855.406,2002_9_Alabama
Alabama,2002,8,337.713,7.34,3347.77117,504.51901,245.59169,3357.246,10.307,15891.671,2002_8_Alabama
Alabama,2002,7,357.357,7.39,3301.86505,499.41289,243.89215,3441.942,14.018,15228.106,2002_7_Alabama
Alabama,2002,6,319.831,7.32,2648.4144,425.82205,193.8135,3103.459,14.859,12395.658,2002_6_Alabama
Alabama,2002,5,300.744,7.22,2181.61702,381.72727,157.50428,2552.878,44.285,7316.279,2002_5_Alabama
Alabama,2002,4,304.117,7.38,1792.4723,341.96654,132.23887,2273.86,18.018,7216.773,2002_4_Alabama
Alabama,2002,3,310.376,7.03,2240.33764,353.36232,157.38736,2107.462,38.441,7301.452,2002_3_Alabama
Alabama,2002,2,342.482,6.96,1974.58582,317.68993,137.45503,2157.94,36.187,8006.122,2002_2_Alabama
Alabama,2002,1,394.143,6.54,2966.51012,389.88061,193.9768,2517.829,91.868,9105.038,2002_1_Alabama
Alabama,2001,12,362.12727,6.97,1989.56171,321.72856,138.58004,2485.395,27.508,6324.297,2001_12_Alabama
Alabama,2001,11,333.04425,7.16,1707.82157,313.09223,122.24314,2529.759,12.037,7007.134,2001_11_Alabama
Alabama,2001,10,341.97517,7.29,1781.13663,328.63523,129.9105,2782.462,15.968,7473.323,2001_10_Alabama
Alabama,2001,9,314.88227,7.01,2555.74845,395.18199,179.26718,2944.049,13.206,7156.691,2001_9_Alabama
Alabama,2001,8,372.00132,7.08,3070.82035,457.32416,217.40652,3422.881,13.206,8891.774,2001_8_Alabama
Alabama,2001,7,371.48166,7.05,3111.69565,452.58496,219.27808,3357.736,11.573,8347.6,2001_7_Alabama
Alabama,2001,6,352.36759,7.14,2461.64828,398.57839,175.69519,2975.446,13.155,6493.276,2001_6_Alabama
Alabama,2001,5,306.45667,7.23,1945.31392,359.09236,140.58764,2788.968,49.697,4650.764,2001_5_Alabama
Alabama,2001,4,346.60869,7.34,1886.08153,347.18634,138.43922,2176.712,117.867,3342.301,2001_4_Alabama
Alabama,2001,3,355.48069,7.38,1919.1621,345.77802,141.59785,2667.593,45.667,3634.43,2001_3_Alabama
Alabama,2001,2,331.77037,6.66,2109.81427,321.06715,140.59438,2667.774,46.463,1855.746,2001_2_Alabama
Alabama,2001,1,401.16759,6.33,3263.40254,407.61261,206.45926,3001.791,174.171,3690.904,2001_1_Alabama
Alaska,2017,7,null,22.3,143.68952,94.02062,32.0419,53.42,125.868,1853.277,2017_7_Alaska
Alaska,2017,6,17.90997,22.13,138.49552,92.54473,30.65396,null,113.484,1103.086,2017_6_Alaska
Alaska,2017,5,17.66419,22.04,145.44234,95.07115,32.05265,null,98.168,858.849,2017_5_Alaska
Alaska,2017,4,19.38458,21.42,166.21546,99.39332,35.60945,null,93.178,960.05,2017_4_Alaska
Alaska,2017,3,20.1205,21.58,198.17497,111.8939,42.77027,null,154.186,1293.773,2017_3_Alaska
Alaska,2017,2,null,20.61,195.49471,105.20935,40.2986,47.735,133.132,975.953,2017_2_Alaska
Alaska,2017,1,null,20.57,235.61213,115.17428,48.46597,55.846,180.534,2043.765,2017_1_Alaska
Alaska,2016,12,21.89182,20.44,224.55486,111.04209,45.90287,53.166,188.44,1753.466,2016_12_Alaska
Alaska,2016,11,18.72505,21.18,181.94852,100.55195,38.5391,45.383,143.783,1763.36,2016_11_Alaska
Alaska,2016,10,17.99855,21.02,164.5688,94.90788,34.58544,43.6,125.528,1732.323,2016_10_Alaska
Alaska,2016,9,14.92426,20.85,141.56642,86.93025,29.51812,41.426,96.156,1952.202,2016_9_Alaska
Alaska,2016,8,12.49691,21.07,146.81398,91.75512,30.93296,44.826,108.671,2199.779,2016_8_Alaska
Alaska,2016,7,14.49519,21.42,141.7153,89.86983,30.35013,40.281,95.701,2043.8,2016_7_Alaska
Alaska,2016,6,15.37981,21.31,139.56076,86.95705,29.73441,41.439,86.519,1755.623,2016_6_Alaska
Alaska,2016,5,16.95005,20.9,144.28482,87.65037,30.15757,41.432,92.746,1755.294,2016_5_Alaska
Alaska,2016,4,20.97969,20.71,156.11765,89.75394,32.32826,null,88.278,1644.933,2016_4_Alaska
Alaska,2016,3,21.14193,20.05,171.25361,94.79874,34.32848,60.268,99.011,1745.303,2016_3_Alaska
Alaska,2016,2,20.19447,19.81,184.25143,94.5414,36.49104,76.942,113.064,1810.044,2016_2_Alaska
Alaska,2016,1,20.06937,19.42,215.96331,101.23124,41.93763,70.56,119.296,2079.934,2016_1_Alaska
Alaska,2015,12,20.11022,19.11,220.65304,99.15691,42.16299,87.062,87.668,2635.546,2015_12_Alaska
Alaska,2015,11,22.8765,20.04,181.93054,94.32834,36.45192,70.474,90.056,2497.687,2015_11_Alaska
Alaska,2015,10,14.85846,20.36,162.81801,89.10933,33.15115,71.659,117.436,2114.113,2015_10_Alaska
Alaska,2015,9,19.57019,20.31,147.79804,85.6408,30.01558,63.985,100.108,1845.971,2015_9_Alaska
Alaska,2015,8,18.42695,20.67,143.85015,88.26126,29.73663,54.185,116.076,2224.877,2015_8_Alaska
Alaska,2015,7,19.14881,20.92,143.05513,87.05808,29.93067,54.711,99.114,2365.909,2015_7_Alaska
Alaska,2015,6,17.64355,20.76,136.76741,83.42156,28.39682,52.499,92.851,2474.746,2015_6_Alaska
Alaska,2015,5,21.97973,19.99,147.39711,83.14167,29.46695,54.964,93.129,2314.093,2015_5_Alaska
Alaska,2015,4,23.42734,19.35,162.13126,85.88753,31.37912,37.525,117.508,2476.949,2015_4_Alaska
Alaska,2015,3,14.59408,19.38,184.07468,93.1827,35.67884,57.715,112.463,3043.628,2015_3_Alaska
Alaska,2015,2,13.35408,19.05,194.77181,94.17538,37.1062,58.944,109.734,3098.963,2015_2_Alaska
Alaska,2015,1,8.59624,19.09,218.93683,100.05842,41.79263,67.269,125.492,3114.11,2015_1_Alaska
Alaska,2014,12,17.29236,18.46,211.21105,95.75773,38.99944,64.437,110.401,2937.687,2014_12_Alaska
Alaska,2014,11,18.576,19.7,182.87575,95.36961,36.02361,59.103,92.619,2820.67,2014_11_Alaska
Alaska,2014,10,19.81867,20.03,166.51268,91.4101,33.35969,50.139,114.892,2482.187,2014_10_Alaska
Alaska,2014,9,14.27484,19.8,146.25646,86.03916,28.95632,46.544,92.474,1955.766,2014_9_Alaska
