,0
1070,"35.1,-76.6"
1071,"36.1,-76.6"
1072,"37.1,-76.6"
1073,"38.1,-76.6"
1074,"39.1,-76.6"
1075,"40.1,-76.6"
1076,"41.1,-76.6"
1077,"42.1,-76.6"
1078,"43.1,-76.6"
1079,"44.1,-76.6"
1080,"45.1,-76.6"
1081,"46.1,-76.6"
1082,"47.1,-76.6"
1083,"48.1,-76.6"
1084,"23.1,-75.6"
1085,"24.1,-75.6"
1086,"25.1,-75.6"
1087,"26.1,-75.6"
1088,"27.1,-75.6"
1089,"28.1,-75.6"
1090,"29.1,-75.6"
1091,"30.1,-75.6"
1092,"31.1,-75.6"
1093,"32.1,-75.6"
1094,"33.1,-75.6"
1095,"34.1,-75.6"
1096,"35.1,-75.6"
1097,"36.1,-75.6"
1098,"37.1,-75.6"
1099,"38.1,-75.6"
1100,"39.1,-75.6"
1101,"40.1,-75.6"
1102,"41.1,-75.6"
1103,"42.1,-75.6"
1104,"43.1,-75.6"
1105,"44.1,-75.6"
1106,"45.1,-75.6"
1107,"46.1,-75.6"
1108,"47.1,-75.6"
1109,"48.1,-75.6"
1110,"23.1,-74.6"
1111,"24.1,-74.6"
1112,"25.1,-74.6"
1113,"26.1,-74.6"
1114,"27.1,-74.6"
1115,"28.1,-74.6"
1116,"29.1,-74.6"
1117,"30.1,-74.6"
1118,"31.1,-74.6"
1119,"32.1,-74.6"
1120,"33.1,-74.6"
1121,"34.1,-74.6"
1122,"35.1,-74.6"
1123,"36.1,-74.6"
1124,"37.1,-74.6"
1125,"38.1,-74.6"
1126,"39.1,-74.6"
1127,"40.1,-74.6"
1128,"41.1,-74.6"
1129,"42.1,-74.6"
1130,"43.1,-74.6"
1131,"44.1,-74.6"
1132,"45.1,-74.6"
1133,"46.1,-74.6"
1134,"47.1,-74.6"
1135,"48.1,-74.6"
1136,"41.1,-73.6"
1137,"42.1,-73.6"
1138,"43.1,-73.6"
1139,"44.1,-73.6"
1140,"45.1,-73.6"
1141,"46.1,-73.6"
1142,"47.1,-73.6"
1143,"48.1,-73.6"
1144,"41.1,-72.6"
1145,"42.1,-72.6"
1146,"43.1,-72.6"
1147,"44.1,-72.6"
1148,"45.1,-72.6"
1149,"46.1,-72.6"
1150,"47.1,-72.6"
1151,"48.1,-72.6"
1152,"41.1,-71.6"
1153,"42.1,-71.6"
1154,"43.1,-71.6"
1155,"44.1,-71.6"
1156,"45.1,-71.6"
1157,"46.1,-71.6"
1158,"47.1,-71.6"
1159,"48.1,-71.6"
1160,"41.1,-70.6"
1161,"42.1,-70.6"
1162,"43.1,-70.6"
1163,"44.1,-70.6"
1164,"45.1,-70.6"
1165,"46.1,-70.6"
1166,"47.1,-70.6"
1167,"48.1,-70.6"
1168,"41.1,-69.6"
1169,"42.1,-69.6"
1170,"43.1,-69.6"
1171,"44.1,-69.6"
1172,"45.1,-69.6"
1173,"46.1,-69.6"
1174,"47.1,-69.6"
1175,"48.1,-69.6"
1176,"41.1,-68.6"
1177,"42.1,-68.6"
1178,"43.1,-68.6"
1179,"44.1,-68.6"
1180,"45.1,-68.6"
1181,"46.1,-68.6"
1182,"47.1,-68.6"
1183,"48.1,-68.6"
1184,"41.1,-67.6"
1185,"42.1,-67.6"
1186,"43.1,-67.6"
1187,"44.1,-67.6"
1188,"45.1,-67.6"
1189,"46.1,-67.6"
1190,"47.1,-67.6"
1191,"48.1,-67.6"
1192,"23.1,-67.6"
1193,"24.1,-67.6"
1194,"25.1,-67.6"
1195,"26.1,-67.6"
1196,"27.1,-67.6"
1197,"28.1,-67.6"
1198,"29.1,-67.6"
1199,"30.1,-67.6"
1200,"31.1,-67.6"
1201,"32.1,-67.6"
1202,"33.1,-67.6"
1203,"34.1,-67.6"
1204,"35.1,-67.6"
1205,"36.1,-67.6"
1206,"37.1,-67.6"
1207,"38.1,-67.6"
1208,"39.1,-67.6"
1209,"40.1,-67.6"
1210,"41.1,-67.6"
1211,"42.1,-67.6"
1212,"43.1,-67.6"
1213,"44.1,-67.6"
1214,"45.1,-67.6"
1215,"46.1,-67.6"
1216,"47.1,-67.6"
1217,"48.1,-67.6"
