,0
245,"42.1,-111.6"
246,"43.1,-111.6"
247,"44.1,-111.6"
248,"45.1,-111.6"
249,"46.1,-111.6"
250,"47.1,-111.6"
251,"48.1,-111.6"
252,"23.1,-110.6"
253,"24.1,-110.6"
254,"25.1,-110.6"
255,"26.1,-110.6"
256,"27.1,-110.6"
257,"28.1,-110.6"
258,"29.1,-110.6"
259,"30.1,-110.6"
260,"31.1,-110.6"
261,"32.1,-110.6"
262,"33.1,-110.6"
263,"34.1,-110.6"
264,"35.1,-110.6"
265,"36.1,-110.6"
266,"37.1,-110.6"
267,"38.1,-110.6"
268,"39.1,-110.6"
269,"40.1,-110.6"
270,"41.1,-110.6"
271,"42.1,-110.6"
272,"43.1,-110.6"
273,"44.1,-110.6"
274,"45.1,-110.6"
275,"46.1,-110.6"
276,"47.1,-110.6"
277,"48.1,-110.6"
278,"23.1,-109.6"
279,"24.1,-109.6"
280,"25.1,-109.6"
281,"26.1,-109.6"
282,"27.1,-109.6"
283,"28.1,-109.6"
284,"29.1,-109.6"
285,"30.1,-109.6"
286,"31.1,-109.6"
287,"32.1,-109.6"
288,"33.1,-109.6"
289,"34.1,-109.6"
290,"35.1,-109.6"
291,"36.1,-109.6"
292,"37.1,-109.6"
293,"38.1,-109.6"
294,"39.1,-109.6"
295,"40.1,-109.6"
296,"41.1,-109.6"
297,"42.1,-109.6"
298,"43.1,-109.6"
299,"44.1,-109.6"
300,"45.1,-109.6"
301,"46.1,-109.6"
302,"47.1,-109.6"
303,"48.1,-109.6"
304,"23.1,-108.6"
305,"24.1,-108.6"
306,"25.1,-108.6"
307,"26.1,-108.6"
308,"27.1,-108.6"
309,"28.1,-108.6"
310,"29.1,-108.6"
311,"30.1,-108.6"
312,"31.1,-108.6"
313,"32.1,-108.6"
314,"33.1,-108.6"
315,"34.1,-108.6"
316,"35.1,-108.6"
317,"36.1,-108.6"
318,"37.1,-108.6"
319,"38.1,-108.6"
320,"39.1,-108.6"
321,"40.1,-108.6"
322,"41.1,-108.6"
323,"42.1,-108.6"
324,"43.1,-108.6"
325,"44.1,-108.6"
326,"45.1,-108.6"
327,"46.1,-108.6"
328,"47.1,-108.6"
329,"48.1,-108.6"
330,"23.1,-107.6"
331,"24.1,-107.6"
332,"25.1,-107.6"
333,"26.1,-107.6"
334,"27.1,-107.6"
335,"28.1,-107.6"
336,"29.1,-107.6"
337,"30.1,-107.6"
338,"31.1,-107.6"
339,"32.1,-107.6"
340,"33.1,-107.6"
341,"34.1,-107.6"
342,"35.1,-107.6"
343,"36.1,-107.6"
344,"37.1,-107.6"
345,"38.1,-107.6"
346,"39.1,-107.6"
347,"40.1,-107.6"
348,"41.1,-107.6"
349,"42.1,-107.6"
350,"43.1,-107.6"
351,"44.1,-107.6"
352,"45.1,-107.6"
353,"46.1,-107.6"
354,"47.1,-107.6"
355,"48.1,-107.6"
356,"23.1,-106.6"
357,"24.1,-106.6"
358,"25.1,-106.6"
359,"26.1,-106.6"
360,"27.1,-106.6"
361,"28.1,-106.6"
362,"29.1,-106.6"
363,"30.1,-106.6"
364,"31.1,-106.6"
365,"32.1,-106.6"
366,"33.1,-106.6"
367,"34.1,-106.6"
368,"35.1,-106.6"
369,"36.1,-106.6"
370,"37.1,-106.6"
371,"38.1,-106.6"
372,"39.1,-106.6"
373,"40.1,-106.6"
374,"41.1,-106.6"
375,"42.1,-106.6"
376,"43.1,-106.6"
377,"44.1,-106.6"
378,"45.1,-106.6"
379,"46.1,-106.6"
380,"47.1,-106.6"
381,"48.1,-106.6"
382,"23.1,-105.6"
383,"24.1,-105.6"
384,"25.1,-105.6"
385,"26.1,-105.6"
386,"27.1,-105.6"
387,"28.1,-105.6"
388,"29.1,-105.6"
389,"30.1,-105.6"
390,"31.1,-105.6"
391,"32.1,-105.6"
392,"33.1,-105.6"
393,"34.1,-105.6"
394,"35.1,-105.6"
395,"36.1,-105.6"
396,"37.1,-105.6"
397,"38.1,-105.6"
398,"39.1,-105.6"
399,"40.1,-105.6"
400,"41.1,-105.6"
401,"42.1,-105.6"
402,"43.1,-105.6"
403,"44.1,-105.6"
404,"45.1,-105.6"
405,"46.1,-105.6"
406,"47.1,-105.6"
407,"48.1,-105.6"
408,"23.1,-104.6"
409,"24.1,-104.6"
410,"25.1,-104.6"
411,"26.1,-104.6"
412,"27.1,-104.6"
413,"28.1,-104.6"
414,"29.1,-104.6"
415,"30.1,-104.6"
416,"31.1,-104.6"
417,"32.1,-104.6"
418,"33.1,-104.6"
419,"34.1,-104.6"
420,"35.1,-104.6"
421,"36.1,-104.6"
422,"37.1,-104.6"
423,"38.1,-104.6"
424,"39.1,-104.6"
425,"40.1,-104.6"
426,"41.1,-104.6"
427,"42.1,-104.6"
428,"43.1,-104.6"
429,"44.1,-104.6"
430,"45.1,-104.6"
431,"46.1,-104.6"
432,"47.1,-104.6"
433,"48.1,-104.6"
434,"23.1,-103.6"
435,"24.1,-103.6"
436,"25.1,-103.6"
437,"26.1,-103.6"
438,"27.1,-103.6"
439,"28.1,-103.6"
440,"29.1,-103.6"
441,"30.1,-103.6"
442,"31.1,-103.6"
443,"32.1,-103.6"
444,"33.1,-103.6"
445,"34.1,-103.6"
446,"35.1,-103.6"
447,"36.1,-103.6"
448,"37.1,-103.6"
449,"38.1,-103.6"
450,"39.1,-103.6"
451,"40.1,-103.6"
452,"41.1,-103.6"
453,"42.1,-103.6"
454,"43.1,-103.6"
455,"44.1,-103.6"
456,"45.1,-103.6"
457,"46.1,-103.6"
458,"47.1,-103.6"
459,"48.1,-103.6"
460,"23.1,-102.6"
461,"24.1,-102.6"
462,"25.1,-102.6"
463,"26.1,-102.6"
464,"27.1,-102.6"
465,"28.1,-102.6"
466,"29.1,-102.6"
467,"30.1,-102.6"
468,"31.1,-102.6"
469,"32.1,-102.6"
470,"33.1,-102.6"
471,"34.1,-102.6"
472,"35.1,-102.6"
473,"36.1,-102.6"
474,"37.1,-102.6"
475,"38.1,-102.6"
476,"39.1,-102.6"
477,"40.1,-102.6"
478,"41.1,-102.6"
479,"42.1,-102.6"
480,"43.1,-102.6"
481,"44.1,-102.6"
482,"45.1,-102.6"
483,"46.1,-102.6"
484,"47.1,-102.6"
485,"48.1,-102.6"
486,"23.1,-101.6"
487,"24.1,-101.6"
488,"25.1,-101.6"
489,"26.1,-101.6"
490,"27.1,-101.6"
491,"28.1,-101.6"
492,"29.1,-101.6"
493,"30.1,-101.6"
494,"31.1,-101.6"
495,"32.1,-101.6"
496,"33.1,-101.6"
497,"34.1,-101.6"
498,"35.1,-101.6"
499,"36.1,-101.6"
500,"37.1,-101.6"
501,"38.1,-101.6"
502,"39.1,-101.6"
503,"40.1,-101.6"
504,"41.1,-101.6"
505,"42.1,-101.6"
506,"43.1,-101.6"
507,"44.1,-101.6"
508,"45.1,-101.6"
509,"46.1,-101.6"
510,"47.1,-101.6"
511,"48.1,-101.6"
512,"23.1,-100.6"
513,"24.1,-100.6"
514,"25.1,-100.6"
515,"26.1,-100.6"
516,"27.1,-100.6"
517,"28.1,-100.6"
518,"29.1,-100.6"
519,"30.1,-100.6"
520,"31.1,-100.6"
521,"32.1,-100.6"
522,"33.1,-100.6"
523,"34.1,-100.6"
524,"35.1,-100.6"
525,"36.1,-100.6"
526,"37.1,-100.6"
527,"38.1,-100.6"
528,"39.1,-100.6"
529,"40.1,-100.6"
530,"41.1,-100.6"
531,"42.1,-100.6"
532,"43.1,-100.6"
533,"44.1,-100.6"
534,"45.1,-100.6"
535,"46.1,-100.6"
536,"47.1,-100.6"
537,"48.1,-100.6"
538,"23.1,-99.6"
539,"24.1,-99.6"
540,"25.1,-99.6"
541,"26.1,-99.6"
542,"27.1,-99.6"
543,"28.1,-99.6"
544,"29.1,-99.6"
545,"30.1,-99.6"
546,"31.1,-99.6"
547,"32.1,-99.6"
548,"33.1,-99.6"
549,"34.1,-99.6"
550,"35.1,-99.6"
551,"36.1,-99.6"
552,"37.1,-99.6"
553,"38.1,-99.6"
554,"39.1,-99.6"
555,"40.1,-99.6"
556,"41.1,-99.6"
557,"42.1,-99.6"
558,"43.1,-99.6"
559,"44.1,-99.6"
560,"45.1,-99.6"
561,"46.1,-99.6"
562,"47.1,-99.6"
563,"48.1,-99.6"
564,"23.1,-98.6"
565,"24.1,-98.6"
566,"25.1,-98.6"
567,"26.1,-98.6"
568,"27.1,-98.6"
569,"28.1,-98.6"
570,"29.1,-98.6"
