YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.32,25.68,4.78
1985,01,02,0.37,9.69,5.97
1985,01,03,0.64,1.52,8.25
1985,01,04,0.51,5.97,6.42
1985,01,05,0.36,4.97,5.06
1985,01,06,0.55,6.72,7.68
1985,01,07,0.41,14.83,5.91
1985,01,08,0.33,22.50,1.16
1985,01,09,0.41,22.67,1.97
1985,01,10,0.35,23.90,3.72
1985,01,11,0.24,20.96,7.13
1985,01,12,0.55,8.04,9.05
1985,01,13,0.65,6.31,9.74
1985,01,14,0.41,15.55,2.76
1985,01,15,0.50,15.23,3.13
1985,01,16,0.51,11.20,4.50
1985,01,17,0.43,12.98,3.72
1985,01,18,0.46,29.07,6.22
1985,01,19,0.46,34.56,8.18
1985,01,20,0.56,24.48,7.69
1985,01,21,0.54,19.11,6.35
1985,01,22,0.37,14.46,8.09
1985,01,23,0.55,5.92,7.82
1985,01,24,0.61,13.36,8.18
1985,01,25,0.48,20.65,4.17
1985,01,26,0.68,8.08,8.28
1985,01,27,0.50,18.55,4.63
1985,01,28,0.56,12.22,4.70
1985,01,29,0.52,22.52,7.19
1985,01,30,0.50,33.64,6.96
1985,01,31,0.53,30.23,6.01
1985,02,01,0.52,31.57,3.40
1985,02,02,0.53,29.72,3.80
1985,02,03,0.51,32.29,4.68
1985,02,04,0.51,26.78,5.88
1985,02,05,0.35,25.21,3.86
1985,02,06,0.50,30.50,2.59
1985,02,07,0.48,27.82,2.36
1985,02,08,0.41,20.74,6.40
1985,02,09,0.24,24.66,4.57
1985,02,10,0.47,26.04,3.28
1985,02,11,0.39,24.99,1.67
1985,02,12,0.36,15.55,7.16
1985,02,13,0.59,17.54,3.39
1985,02,14,0.45,17.65,2.51
1985,02,15,0.70,4.98,7.92
1985,02,16,0.57,8.68,6.61
1985,02,17,0.53,13.16,1.56
1985,02,18,0.46,17.84,3.71
1985,02,19,0.40,7.99,4.52
1985,02,20,0.53,7.22,4.05
1985,02,21,0.53,6.03,3.19
1985,02,22,0.46,8.22,4.05
1985,02,23,0.46,13.82,3.49
1985,02,24,0.61,5.15,2.73
1985,02,25,0.42,12.81,6.87
1985,02,26,0.47,16.99,3.16
1985,02,27,0.68,5.42,7.70
1985,02,28,0.50,0.22,8.64
1985,03,01,0.62,9.91,1.59
1985,03,02,0.41,13.38,4.94
1985,03,03,0.57,17.10,4.51
1985,03,04,0.59,20.75,4.56
1985,03,05,0.59,18.09,4.73
1985,03,06,0.46,11.15,4.38
1985,03,07,0.67,9.06,7.00
1985,03,08,0.60,6.71,5.52
1985,03,09,0.65,3.58,5.43
1985,03,10,0.62,6.93,3.33
