YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.45,0.91,2.82
1985,01,02,0.57,2.51,4.11
1985,01,03,0.59,4.55,4.71
1985,01,04,0.34,4.81,5.28
1985,01,05,0.33,7.07,3.18
1985,01,06,0.22,5.18,4.56
1985,01,07,0.63,4.10,3.60
1985,01,08,0.55,3.86,4.09
1985,01,09,0.54,2.56,3.59
1985,01,10,0.35,2.52,4.10
1985,01,11,0.31,3.65,5.01
1985,01,12,0.56,4.60,3.25
1985,01,13,0.27,4.01,4.43
1985,01,14,0.28,5.76,4.11
1985,01,15,0.30,5.11,1.54
1985,01,16,0.52,8.60,3.56
1985,01,17,0.22,6.91,2.04
1985,01,18,0.41,7.42,2.49
1985,01,19,0.21,6.36,2.17
1985,01,20,0.61,4.38,2.45
1985,01,21,0.57,3.69,3.45
1985,01,22,0.71,4.40,4.54
1985,01,23,0.50,4.11,4.12
1985,01,24,0.29,2.70,2.92
1985,01,25,0.66,2.23,2.98
1985,01,26,0.43,0.61,2.69
1985,01,27,0.28,0.79,2.55
1985,01,28,0.37,1.22,1.88
1985,01,29,0.71,2.14,2.85
1985,01,30,0.29,3.32,1.68
1985,01,31,0.65,1.20,2.06
1985,02,01,0.59,0.31,2.75
1985,02,02,0.57,3.35,2.51
1985,02,03,0.50,4.70,2.83
1985,02,04,0.27,3.74,2.51
1985,02,05,0.53,1.85,1.65
1985,02,06,0.18,2.62,3.37
1985,02,07,0.32,1.03,2.41
1985,02,08,0.62,2.22,3.23
1985,02,09,0.52,1.94,3.22
1985,02,10,0.33,3.73,3.98
1985,02,11,0.42,6.68,6.08
1985,02,12,0.42,3.76,3.73
1985,02,13,0.41,5.48,3.60
1985,02,14,0.27,8.60,5.27
1985,02,15,0.59,3.67,3.73
1985,02,16,0.62,3.46,3.18
1985,02,17,0.41,3.64,1.66
1985,02,18,0.52,5.22,1.60
1985,02,19,0.51,5.62,3.84
1985,02,20,0.29,3.71,2.01
1985,02,21,0.27,7.79,3.30
1985,02,22,0.34,7.34,2.09
1985,02,23,0.27,7.15,3.15
1985,02,24,0.68,5.62,4.99
1985,02,25,0.52,3.96,2.15
1985,02,26,0.45,4.55,1.82
1985,02,27,0.40,4.68,2.26
1985,02,28,0.48,5.56,2.80
1985,03,01,0.75,3.92,4.50
1985,03,02,0.48,2.80,3.20
1985,03,03,0.24,2.39,2.48
1985,03,04,0.32,3.66,4.08
1985,03,05,0.28,2.68,3.63
1985,03,06,0.56,2.63,2.29
1985,03,07,0.70,3.05,1.64
1985,03,08,0.72,4.48,2.41
1985,03,09,0.63,4.84,2.58
1985,03,10,0.69,3.94,2.00
1985,03,11,0.53,3.81,2.83
1985,03,12,0.71,2.53,1.77
1985,03,13,0.59,3.94,1.19
1985,03,14,0.57,3.09,1.53
1985,03,15,0.52,5.44,1.91
1985,03,16,0.70,5.24,3.35
1985,03,17,0.57,5.09,1.46
1985,03,18,0.47,3.63,1.67
1985,03,19,0.21,4.75,3.07
1985,03,20,0.28,4.39,3.07
1985,03,21,0.57,3.29,2.72
1985,03,22,0.58,4.31,4.67
1985,03,23,0.37,5.14,6.91
1985,03,24,0.43,2.74,3.30
1985,03,25,0.46,2.29,2.12
1985,03,26,0.24,2.72,4.54
1985,03,27,0.34,2.44,2.98
1985,03,28,0.61,3.82,2.68
1985,03,29,0.22,3.79,3.12
1985,03,30,0.36,7.37,4.27
1985,03,31,0.19,7.14,3.11
1985,04,01,0.27,7.65,3.47
1985,04,02,0.32,7.34,2.66
1985,04,03,0.25,4.41,3.41
1985,04,04,0.26,6.44,2.86
1985,04,05,0.55,7.26,2.15
1985,04,06,0.69,9.76,3.78
1985,04,07,0.66,9.54,2.75
1985,04,08,0.45,8.85,1.47
1985,04,09,0.74,10.17,1.98
1985,04,10,0.18,7.07,2.68
1985,04,11,0.20,8.94,3.67
1985,04,12,0.32,8.27,2.95
1985,04,13,0.20,8.61,1.79
1985,04,14,0.50,9.58,1.65
1985,04,15,0.51,9.11,2.22
1985,04,16,0.39,6.32,2.24
1985,04,17,0.22,4.92,2.88
1985,04,18,0.53,4.53,3.20
1985,04,19,0.63,3.35,3.47
1985,04,20,0.66,3.74,2.32
1985,04,21,0.44,3.42,1.40
1985,04,22,0.20,6.34,3.62
1985,04,23,0.51,5.76,5.49
1985,04,24,0.57,4.09,3.70
1985,04,25,0.37,4.80,2.55
1985,04,26,0.12,7.96,4.86
1985,04,27,0.52,6.39,3.63
1985,04,28,0.36,4.36,2.66
1985,04,29,0.62,5.61,1.30
1985,04,30,0.49,7.45,1.24
1985,05,01,0.43,10.70,2.72
1985,05,02,0.15,8.58,3.93
1985,05,03,0.35,5.94,4.41
1985,05,04,0.48,5.56,2.81
1985,05,05,0.37,6.29,1.91
1985,05,06,0.39,6.19,1.45
1985,05,07,0.57,5.63,1.81
1985,05,08,0.48,6.10,1.35
1985,05,09,0.59,6.75,1.87
1985,05,10,0.55,6.59,4.29
1985,05,11,0.62,4.10,3.57
1985,05,12,0.30,5.59,2.00
1985,05,13,0.15,6.77,3.24
1985,05,14,0.76,8.41,3.29
1985,05,15,0.78,13.93,3.29
1985,05,16,0.76,17.84,3.36
1985,05,17,0.44,14.59,2.73
1985,05,18,0.40,11.09,2.83
1985,05,19,0.25,9.68,2.36
1985,05,20,0.28,9.39,2.27
1985,05,21,0.58,11.88,1.40
1985,05,22,0.43,13.25,1.89
1985,05,23,0.32,12.55,1.31
1985,05,24,0.43,11.93,2.28
1985,05,25,0.38,12.88,2.80
1985,05,26,0.40,13.43,2.10
1985,05,27,0.31,10.02,2.16
1985,05,28,0.33,11.03,2.12
1985,05,29,0.26,9.96,3.55
1985,05,30,0.43,11.10,2.46
1985,05,31,0.71,14.47,2.83
1985,06,01,0.33,13.11,3.05
1985,06,02,0.48,12.02,2.13
1985,06,03,0.15,12.56,3.03
1985,06,04,0.43,10.98,3.04
1985,06,05,0.36,9.83,2.22
1985,06,06,0.28,11.07,2.39
1985,06,07,0.40,10.91,3.34
1985,06,08,0.62,10.18,3.26
1985,06,09,0.76,12.50,2.73
1985,06,10,0.47,12.81,1.46
1985,06,11,0.25,12.81,1.92
1985,06,12,0.26,11.32,2.33
1985,06,13,0.25,11.31,1.79
1985,06,14,0.31,12.43,3.20
1985,06,15,0.73,11.13,3.57
1985,06,16,0.72,14.00,2.21
1985,06,17,0.78,19.92,3.44
1985,06,18,0.76,20.80,2.49
1985,06,19,0.65,17.49,3.21
1985,06,20,0.69,15.41,3.91
1985,06,21,0.47,12.78,3.51
1985,06,22,0.61,10.44,4.26
1985,06,23,0.61,9.98,4.86
1985,06,24,0.64,12.44,3.27
1985,06,25,0.66,13.45,2.81
1985,06,26,0.70,11.21,2.62
1985,06,27,0.58,10.23,2.52
1985,06,28,0.47,10.31,1.53
1985,06,29,0.16,10.69,2.52
1985,06,30,0.52,10.59,2.85
1985,07,01,0.59,15.69,2.26
1985,07,02,0.74,17.78,2.69
1985,07,03,0.59,14.13,1.50
1985,07,04,0.52,14.17,2.54
1985,07,05,0.45,13.13,2.53
1985,07,06,0.61,14.64,1.35
1985,07,07,0.72,15.48,1.78
1985,07,08,0.75,16.94,1.48
1985,07,09,0.73,17.94,2.04
1985,07,10,0.31,14.08,2.23
1985,07,11,0.68,14.28,2.30
1985,07,12,0.69,13.88,3.61
1985,07,13,0.68,16.02,2.26
1985,07,14,0.56,17.98,1.93
1985,07,15,0.70,18.18,2.21
1985,07,16,0.43,17.19,2.99
1985,07,17,0.48,19.13,1.81
1985,07,18,0.63,20.60,2.07
1985,07,19,0.73,21.59,1.92
1985,07,20,0.48,20.10,1.70
1985,07,21,0.46,19.49,2.76
1985,07,22,0.42,16.89,3.55
1985,07,23,0.40,15.86,3.72
1985,07,24,0.58,15.61,2.58
1985,07,25,0.68,17.19,1.83
1985,07,26,0.73,17.83,1.49
1985,07,27,0.65,19.28,1.84
1985,07,28,0.65,20.96,2.18
1985,07,29,0.55,19.94,2.14
1985,07,30,0.34,15.97,2.11
1985,07,31,0.26,15.56,2.10
1985,08,01,0.42,15.21,2.31
1985,08,02,0.38,14.62,1.88
1985,08,03,0.33,15.00,1.72
1985,08,04,0.66,14.02,2.43
1985,08,05,0.60,13.18,1.89
1985,08,06,0.31,13.24,1.95
1985,08,07,0.36,13.15,2.43
1985,08,08,0.42,13.48,3.45
1985,08,09,0.31,13.83,3.18
1985,08,10,0.70,16.55,3.77
1985,08,11,0.66,19.06,3.51
1985,08,12,0.57,19.22,3.39
1985,08,13,0.72,19.97,2.38
1985,08,14,0.66,20.96,2.38
1985,08,15,0.53,20.05,3.90
1985,08,16,0.73,19.88,2.67
1985,08,17,0.71,19.50,2.11
1985,08,18,0.50,15.39,2.36
1985,08,19,0.36,12.43,2.64
1985,08,20,0.58,14.39,2.63
1985,08,21,0.61,14.31,2.30
1985,08,22,0.58,16.08,1.72
1985,08,23,0.71,18.94,1.35
1985,08,24,0.69,19.11,2.24
1985,08,25,0.73,16.56,1.08
1985,08,26,0.60,15.67,1.90
1985,08,27,0.45,12.05,1.89
1985,08,28,0.57,11.02,1.06
1985,08,29,0.60,12.64,2.02
1985,08,30,0.47,13.11,2.64
1985,08,31,0.36,12.91,1.39
1985,09,01,0.70,14.25,1.81
1985,09,02,0.52,14.86,2.97
1985,09,03,0.50,15.53,2.54
1985,09,04,0.16,12.96,3.23
1985,09,05,0.23,12.73,3.70
1985,09,06,0.55,10.66,3.63
1985,09,07,0.54,11.56,2.54
1985,09,08,0.62,12.59,2.38
1985,09,09,0.52,13.18,2.58
1985,09,10,0.49,13.38,2.75
1985,09,11,0.57,11.94,2.98
1985,09,12,0.24,12.06,4.67
1985,09,13,0.31,12.01,3.02
1985,09,14,0.30,10.94,1.36
1985,09,15,0.46,10.49,1.78
1985,09,16,0.35,11.45,3.95
1985,09,17,0.63,11.70,2.19
1985,09,18,0.49,10.96,2.20
1985,09,19,0.65,10.56,1.50
1985,09,20,0.29,11.51,2.29
1985,09,21,0.58,11.65,1.78
1985,09,22,0.52,10.82,1.91
1985,09,23,0.57,13.07,2.38
1985,09,24,0.61,14.49,2.24
1985,09,25,0.68,15.87,2.31
1985,09,26,0.70,14.43,2.45
1985,09,27,0.74,14.32,3.92
1985,09,28,0.67,12.44,3.02
