YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.29,21.18,3.19
1985,01,02,0.05,15.37,5.66
1985,01,03,0.10,6.89,7.12
1985,01,04,0.69,2.69,6.79
1985,01,05,0.69,5.05,3.54
1985,01,06,0.51,9.44,1.56
1985,01,07,0.68,12.73,3.23
1985,01,08,0.69,11.37,2.12
1985,01,09,0.65,12.67,3.13
1985,01,10,0.36,18.00,3.35
1985,01,11,0.50,11.15,6.92
1985,01,12,0.30,4.98,9.32
1985,01,13,0.15,6.55,3.89
1985,01,14,0.42,8.38,4.00
1985,01,15,0.68,8.77,4.54
1985,01,16,0.16,14.98,5.23
1985,01,17,0.27,13.43,5.10
1985,01,18,0.61,10.47,3.82
1985,01,19,0.70,13.00,4.31
1985,01,20,0.17,4.99,9.37
1985,01,21,0.67,2.55,6.87
1985,01,22,0.67,3.07,3.32
1985,01,23,0.20,7.37,1.83
1985,01,24,0.21,11.51,1.33
1985,01,25,0.60,12.01,3.51
1985,01,26,0.71,7.25,5.71
1985,01,27,0.19,13.67,5.48
1985,01,28,0.31,11.76,5.30
1985,01,29,0.50,11.34,3.98
1985,01,30,0.41,19.77,5.59
1985,01,31,0.37,20.64,6.08
1985,02,01,0.11,13.20,2.92
1985,02,02,0.47,3.56,6.73
1985,02,03,0.47,3.68,4.24
1985,02,04,0.34,11.53,4.61
1985,02,05,0.06,19.01,3.85
1985,02,06,0.57,10.52,5.87
1985,02,07,0.54,7.01,7.30
1985,02,08,0.71,7.63,6.03
1985,02,09,0.67,11.69,3.98
1985,02,10,0.49,15.37,4.64
1985,02,11,0.37,12.41,7.92
1985,02,12,0.74,5.58,7.77
1985,02,13,0.73,8.80,3.31
1985,02,14,0.36,10.58,3.34
1985,02,15,0.62,8.29,2.45
1985,02,16,0.71,10.42,3.32
1985,02,17,0.58,15.31,2.73
1985,02,18,0.57,17.04,2.05
1985,02,19,0.31,16.49,1.27
1985,02,20,0.55,15.68,2.75
1985,02,21,0.41,19.13,4.91
1985,02,22,0.27,20.29,5.91
1985,02,23,0.41,21.41,6.10
1985,02,24,0.13,20.06,2.53
1985,02,25,0.18,19.20,1.39
1985,02,26,0.20,18.59,1.03
1985,02,27,0.22,18.96,3.48
1985,02,28,0.54,17.38,3.70
1985,03,01,0.25,18.92,3.83
1985,03,02,0.51,18.74,1.77
1985,03,03,0.52,19.05,5.09
1985,03,04,0.46,21.40,5.22
1985,03,05,0.39,18.48,3.94
1985,03,06,0.67,14.86,5.68
1985,03,07,0.63,18.04,3.47
1985,03,08,0.55,19.90,2.28
1985,03,09,0.53,19.40,1.10
1985,03,10,0.58,19.40,1.45
1985,03,11,0.58,19.46,3.90
1985,03,12,0.55,20.68,1.87
1985,03,13,0.64,20.62,1.24
1985,03,14,0.48,19.54,1.40
1985,03,15,0.55,16.35,5.39
1985,03,16,0.15,16.91,3.84
1985,03,17,0.68,15.53,6.31
1985,03,18,0.61,14.47,4.63
1985,03,19,0.68,16.16,3.51
1985,03,20,0.05,19.60,7.37
1985,03,21,0.65,19.10,4.85
1985,03,22,0.53,15.28,3.90
1985,03,23,0.69,16.42,2.26
1985,03,24,0.74,19.01,2.60
1985,03,25,0.69,18.38,1.72
1985,03,26,0.65,19.50,3.31
1985,03,27,0.20,21.05,6.33
1985,03,28,0.64,21.79,6.64
1985,03,29,0.53,22.49,5.77
1985,03,30,0.41,23.03,6.66
1985,03,31,0.49,18.49,5.43
1985,04,01,0.71,15.22,4.39
1985,04,02,0.69,16.19,5.11
1985,04,03,0.73,17.92,3.68
1985,04,04,0.63,19.74,6.98
1985,04,05,0.23,22.15,8.10
1985,04,06,0.68,19.75,5.44
1985,04,07,0.62,20.50,3.58
1985,04,08,0.59,17.85,6.65
1985,04,09,0.67,16.78,4.78
1985,04,10,0.62,16.98,4.12
1985,04,11,0.43,19.83,3.80
1985,04,12,0.15,20.27,5.07
1985,04,13,0.39,19.64,3.96
1985,04,14,0.51,19.79,2.37
1985,04,15,0.64,20.94,5.12
1985,04,16,0.64,22.44,3.23
1985,04,17,0.68,20.88,2.45
1985,04,18,0.65,20.98,2.20
1985,04,19,0.59,21.81,2.95
1985,04,20,0.54,21.81,3.36
1985,04,21,0.56,22.89,4.35
1985,04,22,0.34,23.04,5.14
1985,04,23,0.50,22.93,4.30
1985,04,24,0.38,22.06,2.31
1985,04,25,0.53,22.44,2.47
1985,04,26,0.36,23.53,5.28
1985,04,27,0.52,23.64,5.12
1985,04,28,0.48,23.32,1.10
1985,04,29,0.55,23.49,1.19
