YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.29,19.50,2.57
1985,01,02,0.13,8.31,4.03
1985,01,03,0.09,2.06,3.93
1985,01,04,0.50,3.74,3.39
1985,01,05,0.77,2.02,2.00
1985,01,06,0.70,1.54,1.38
1985,01,07,0.75,6.35,2.26
1985,01,08,0.73,4.52,2.08
1985,01,09,0.61,4.57,2.31
1985,01,10,0.46,11.76,2.67
1985,01,11,0.32,5.41,3.93
1985,01,12,0.48,0.24,4.55
1985,01,13,0.39,0.65,1.59
1985,01,14,0.42,4.60,3.15
1985,01,15,0.72,2.48,2.53
1985,01,16,0.08,6.28,2.86
1985,01,17,0.14,8.61,2.79
1985,01,18,0.75,5.77,2.92
1985,01,19,0.76,7.25,2.59
1985,01,20,0.29,4.67,5.26
1985,01,21,0.75,7.20,3.31
1985,01,22,0.74,1.92,2.00
1985,01,23,0.57,1.21,1.80
1985,01,24,0.40,5.92,3.07
1985,01,25,0.73,6.00,2.89
1985,01,26,0.78,0.08,2.85
1985,01,27,0.23,4.56,2.34
1985,01,28,0.24,7.29,3.00
1985,01,29,0.70,4.03,1.81
1985,01,30,0.14,13.39,2.47
1985,01,31,0.05,15.48,1.56
1985,02,01,0.06,6.37,2.53
1985,02,02,0.27,1.86,3.36
1985,02,03,0.36,1.50,2.57
1985,02,04,0.47,5.35,2.85
1985,02,05,0.25,13.29,2.80
1985,02,06,0.44,4.65,2.97
1985,02,07,0.44,1.65,3.70
1985,02,08,0.79,0.87,2.92
1985,02,09,0.77,3.64,2.28
1985,02,10,0.61,9.16,2.88
1985,02,11,0.18,8.28,4.36
1985,02,12,0.79,0.71,4.64
1985,02,13,0.70,2.49,2.40
1985,02,14,0.55,4.25,2.02
1985,02,15,0.74,1.56,1.93
1985,02,16,0.76,3.58,1.89
1985,02,17,0.58,8.60,1.12
1985,02,18,0.45,11.66,2.01
1985,02,19,0.37,14.75,1.41
1985,02,20,0.67,14.47,2.27
1985,02,21,0.50,16.23,3.65
1985,02,22,0.31,17.43,3.98
1985,02,23,0.18,19.47,4.36
1985,02,24,0.12,19.28,2.41
1985,02,25,0.07,16.38,0.96
1985,02,26,0.37,16.76,1.04
1985,02,27,0.16,14.63,2.84
