YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,20.33,2.30
1985,01,02,,18.10,4.46
1985,01,03,,13.84,3.12
1985,01,04,,13.92,2.46
1985,01,05,,16.12,2.22
1985,01,06,,20.24,1.91
1985,01,07,,24.14,2.18
1985,01,08,,18.40,4.61
1985,01,09,,16.82,4.60
1985,01,10,,16.02,5.88
1985,01,11,,17.78,5.80
1985,01,12,,23.21,2.19
1985,01,13,,28.79,1.43
1985,01,14,,31.46,1.43
1985,01,15,,32.30,1.86
1985,01,16,,30.80,3.50
1985,01,17,,25.82,3.87
1985,01,18,,21.27,5.51
1985,01,19,,18.51,6.17
1985,01,20,,22.25,4.53
1985,01,21,,24.36,3.24
1985,01,22,,25.26,2.12
1985,01,23,,20.31,4.95
1985,01,24,,19.69,5.44
1985,01,25,,19.68,3.66
1985,01,26,,18.73,2.23
1985,01,27,,25.58,1.95
1985,01,28,,27.70,1.32
1985,01,29,,25.21,3.86
1985,01,30,0.27,19.46,4.20
1985,01,31,,16.19,1.80
1985,02,01,0.31,12.80,3.01
1985,02,02,0.21,16.82,2.12
1985,02,03,0.18,14.42,4.12
1985,02,04,0.24,17.98,1.47
1985,02,05,0.34,16.29,3.41
1985,02,06,0.24,15.44,6.22
1985,02,07,0.22,17.20,2.27
1985,02,08,0.24,25.39,2.49
1985,02,09,0.27,23.39,1.73
1985,02,10,0.26,24.84,1.27
1985,02,11,0.26,28.13,1.52
1985,02,12,0.29,26.83,2.08
1985,02,13,0.30,36.98,1.00
1985,02,14,0.29,36.18,1.18
1985,02,15,0.31,37.66,1.08
1985,02,16,0.31,37.96,1.59
1985,02,17,0.31,35.88,2.61
1985,02,18,0.38,30.70,4.59
1985,02,19,0.37,28.91,4.49
1985,02,20,0.32,32.81,4.01
1985,02,21,0.45,26.21,6.68
1985,02,22,0.45,23.03,7.71
1985,02,23,0.32,28.74,5.91
1985,02,24,0.36,32.41,2.05
1985,02,25,0.49,24.67,1.41
1985,02,26,0.36,21.99,2.22
1985,02,27,0.46,25.63,3.50
1985,02,28,0.44,24.10,5.64
1985,03,01,0.44,19.20,3.81
1985,03,02,0.55,17.29,4.82
1985,03,03,0.46,14.01,5.10
1985,03,04,0.43,21.88,4.24
1985,03,05,0.27,22.65,3.70
1985,03,06,0.12,15.65,4.97
1985,03,07,0.47,16.78,1.53
1985,03,08,0.20,20.28,0.56
1985,03,09,0.42,21.12,0.83
1985,03,10,0.38,16.61,4.82
1985,03,11,0.56,17.49,5.25
1985,03,12,0.43,16.51,2.66
1985,03,13,0.54,16.61,1.83
1985,03,14,0.69,16.82,1.69
1985,03,15,0.66,17.34,1.98
1985,03,16,0.62,18.08,1.52
1985,03,17,0.40,16.99,1.12
1985,03,18,0.58,19.16,2.33
1985,03,19,0.50,18.25,1.74
1985,03,20,0.42,20.75,1.67
1985,03,21,0.38,20.19,2.92
1985,03,22,0.60,19.27,5.50
1985,03,23,0.69,19.73,5.70
1985,03,24,0.69,16.97,6.16
1985,03,25,0.60,17.38,3.48
1985,03,26,0.67,16.99,1.89
1985,03,27,0.48,19.54,2.56
1985,03,28,0.69,15.85,1.90
1985,03,29,0.32,19.83,2.61
1985,03,30,0.39,22.27,1.40
1985,03,31,0.15,22.43,2.01
1985,04,01,0.54,20.02,1.89
1985,04,02,0.50,19.50,1.76
1985,04,03,0.71,19.00,3.37
1985,04,04,0.72,17.58,4.50
1985,04,05,0.68,15.99,3.66
1985,04,06,0.75,17.86,1.05
1985,04,07,0.74,18.59,4.25
1985,04,08,0.37,18.50,5.53
1985,04,09,0.75,20.37,4.08
1985,04,10,0.59,21.68,1.24
1985,04,11,0.67,22.14,1.73
1985,04,12,0.64,21.17,2.22
1985,04,13,0.65,17.24,3.99
1985,04,14,0.75,16.23,3.42
1985,04,15,0.76,16.27,4.44
1985,04,16,0.77,15.18,6.54
1985,04,17,0.78,17.94,4.59
1985,04,18,0.76,20.73,1.63
1985,04,19,0.65,20.12,3.13
1985,04,20,0.74,19.49,3.75
1985,04,21,0.73,18.14,3.55
1985,04,22,0.71,16.60,4.44
1985,04,23,0.75,13.47,2.53
1985,04,24,0.71,11.76,1.83
1985,04,25,0.72,11.77,2.97
1985,04,26,0.76,11.73,4.33
1985,04,27,0.75,12.00,4.13
1985,04,28,0.73,13.40,2.35
1985,04,29,0.67,13.25,3.60
1985,04,30,0.71,10.71,3.05
1985,05,01,0.50,7.15,3.33
1985,05,02,0.54,6.69,2.29
1985,05,03,0.71,8.16,2.69
1985,05,04,0.69,7.19,2.64
1985,05,05,0.75,3.35,1.83
1985,05,06,0.70,4.42,3.18
1985,05,07,0.39,5.10,1.44
1985,05,08,0.73,4.20,1.41
1985,05,09,0.65,3.99,2.50
1985,05,10,0.70,3.96,2.48
1985,05,11,0.75,5.19,3.66
1985,05,12,0.68,8.16,2.93
1985,05,13,0.58,7.66,3.06
1985,05,14,0.52,7.23,3.43
1985,05,15,0.46,6.29,3.39
1985,05,16,0.37,1.78,3.15
1985,05,17,0.55,0.62,3.21
1985,05,18,0.39,0.87,2.52
1985,05,19,0.54,0.91,1.47
1985,05,20,0.45,0.10,3.56
1985,05,21,0.39,1.15,3.94
1985,05,22,0.63,0.49,3.12
1985,05,23,0.74,0.86,1.85
1985,05,24,0.76,1.86,1.63
1985,05,25,0.58,0.48,1.91
1985,05,26,0.54,1.68,2.11
1985,05,27,0.47,2.46,2.62
1985,05,28,0.52,0.19,4.78
1985,05,29,0.45,2.95,5.75
1985,05,30,0.51,2.84,2.36
1985,05,31,0.65,6.70,2.36
1985,06,01,0.35,6.70,2.43
1985,06,02,0.76,5.27,3.11
1985,06,03,0.75,5.29,3.23
1985,06,04,0.74,3.54,5.25
1985,06,05,0.60,2.67,5.56
1985,06,06,0.77,0.54,5.27
1985,06,07,0.76,0.12,3.38
1985,06,08,0.64,1.51,1.41
1985,06,09,0.53,0.78,4.10
1985,06,10,0.38,0.35,4.47
1985,06,11,0.60,1.21,1.59
1985,06,12,0.71,0.76,2.20
1985,06,13,0.70,0.53,2.55
1985,06,14,0.74,0.65,3.00
1985,06,15,0.63,1.18,1.41
1985,06,16,0.68,1.51,2.33
1985,06,17,0.71,3.62,2.18
1985,06,18,0.73,3.98,5.07
1985,06,19,0.70,6.61,3.78
1985,06,20,0.67,5.88,1.62
1985,06,21,0.62,4.23,1.74
1985,06,22,0.76,5.19,1.29
1985,06,23,0.71,8.08,1.72
1985,06,24,0.73,9.14,2.63
1985,06,25,0.72,4.67,2.74
1985,06,26,0.61,4.99,1.95
1985,06,27,0.68,4.96,3.13
1985,06,28,0.39,9.13,3.40
1985,06,29,0.64,6.04,3.01
1985,06,30,0.57,6.27,1.25
1985,07,01,0.66,9.00,2.01
1985,07,02,0.53,7.32,2.49
1985,07,03,0.56,7.31,5.04
1985,07,04,0.35,5.09,5.69
1985,07,05,0.72,1.50,5.96
1985,07,06,0.59,3.27,4.14
1985,07,07,0.75,4.23,1.90
1985,07,08,0.75,6.77,3.75
1985,07,09,0.73,8.32,3.77
1985,07,10,0.73,6.55,2.64
1985,07,11,0.71,4.63,2.22
1985,07,12,0.61,1.68,2.07
1985,07,13,0.54,2.90,1.95
1985,07,14,0.56,5.15,1.24
1985,07,15,0.69,4.93,1.78
1985,07,16,0.70,2.41,2.63
1985,07,17,0.68,1.83,2.22
1985,07,18,0.74,3.77,2.55
1985,07,19,0.52,1.49,2.56
1985,07,20,0.49,0.55,1.81
1985,07,21,0.68,1.31,1.91
1985,07,22,0.61,4.01,1.71
1985,07,23,0.67,5.67,2.73
1985,07,24,0.39,5.09,1.71
1985,07,25,0.46,8.20,1.75
1985,07,26,0.49,7.85,2.49
1985,07,27,0.45,4.44,4.40
1985,07,28,0.68,7.73,3.97
1985,07,29,0.70,2.37,3.12
1985,07,30,0.57,4.21,0.96
1985,07,31,0.57,4.02,0.97
1985,08,01,0.68,5.37,1.46
1985,08,02,0.75,6.58,1.78
1985,08,03,0.51,8.75,2.05
1985,08,04,0.70,2.28,2.03
1985,08,05,0.74,6.07,4.29
1985,08,06,0.66,7.95,3.92
1985,08,07,0.65,9.95,3.48
1985,08,08,0.39,9.73,1.71
1985,08,09,0.64,7.50,2.99
1985,08,10,0.58,5.29,1.96
1985,08,11,0.50,5.06,1.84
1985,08,12,0.48,2.72,1.60
1985,08,13,0.71,0.60,1.07
1985,08,14,0.61,5.15,2.08
1985,08,15,0.39,6.38,2.03
1985,08,16,0.46,1.97,2.69
1985,08,17,0.68,2.33,2.76
1985,08,18,0.62,0.37,3.02
1985,08,19,0.61,1.70,1.98
1985,08,20,0.60,2.76,2.87
1985,08,21,0.67,3.53,4.20
1985,08,22,0.62,1.78,4.43
1985,08,23,0.67,0.15,2.78
1985,08,24,0.70,0.77,4.07
1985,08,25,0.68,0.22,2.78
1985,08,26,0.59,0.76,2.10
1985,08,27,0.69,6.36,2.51
1985,08,28,0.59,7.50,3.11
1985,08,29,0.53,8.58,2.66
1985,08,30,0.57,6.43,2.48
1985,08,31,0.45,6.29,2.05
1985,09,01,0.54,5.47,5.11
1985,09,02,0.52,3.66,5.36
1985,09,03,0.40,0.75,3.72
1985,09,04,0.33,0.80,2.77
1985,09,05,0.57,0.23,3.25
1985,09,06,0.44,0.68,2.23
1985,09,07,0.41,3.19,4.52
1985,09,08,0.29,2.85,3.24
1985,09,09,0.60,2.87,4.23
1985,09,10,0.58,1.73,3.95
1985,09,11,0.45,1.71,1.90
1985,09,12,0.64,3.15,3.14
1985,09,13,0.40,4.25,4.13
1985,09,14,0.22,1.95,5.08
1985,09,15,0.52,1.99,6.54
1985,09,16,0.47,3.05,11.92
1985,09,17,0.35,4.25,12.89
1985,09,18,0.52,3.06,5.27
1985,09,19,0.40,4.61,3.21
1985,09,20,0.50,4.59,6.68
1985,09,21,0.37,0.75,7.57
1985,09,22,0.57,0.70,4.86
1985,09,23,0.62,2.20,2.73
1985,09,24,0.43,3.54,1.29
1985,09,25,0.62,3.60,2.57
1985,09,26,0.66,3.81,2.53
1985,09,27,0.43,1.84,2.88
1985,09,28,0.18,0.79,4.35
1985,09,29,0.57,0.39,2.36
1985,09,30,0.39,2.75,2.19
1985,10,01,0.61,3.34,3.00
1985,10,02,0.42,6.11,2.84
1985,10,03,0.47,6.90,2.20
1985,10,04,0.43,3.68,1.77
1985,10,05,0.59,3.05,2.23
1985,10,06,0.52,3.67,2.32
1985,10,07,0.49,0.64,3.26
1985,10,08,0.48,4.78,2.92
1985,10,09,0.44,11.72,3.49
1985,10,10,0.39,12.15,4.34
1985,10,11,0.28,8.36,4.29
1985,10,12,0.49,11.00,1.58
1985,10,13,0.53,13.49,3.07
1985,10,14,0.48,9.83,5.25
1985,10,15,0.54,11.72,2.44
1985,10,16,0.43,15.87,1.77
1985,10,17,0.39,18.00,3.00
1985,10,18,0.40,17.54,5.53
1985,10,19,0.50,19.08,4.50
1985,10,20,0.46,18.97,1.73
1985,10,21,0.46,20.56,3.18
1985,10,22,0.36,13.95,4.11
1985,10,23,0.35,13.91,1.36
1985,10,24,0.40,15.76,1.37
1985,10,25,0.37,20.25,1.87
1985,10,26,0.41,20.66,2.27
1985,10,27,0.44,17.89,2.14
1985,10,28,0.38,18.28,3.06
1985,10,29,0.37,17.53,2.03
1985,10,30,0.36,19.71,3.36
1985,10,31,0.34,17.42,1.95
1985,11,01,0.43,16.87,1.25
1985,11,02,0.40,20.29,1.11
1985,11,03,0.43,20.75,1.71
1985,11,04,0.41,25.56,1.48
1985,11,05,0.33,28.76,1.25
1985,11,06,0.35,29.83,1.02
1985,11,07,0.30,26.69,2.25
1985,11,08,0.35,20.47,3.81
1985,11,09,0.24,17.52,2.35
1985,11,10,0.21,7.90,3.40
1985,11,11,0.25,5.53,5.74
1985,11,12,,9.74,6.55
1985,11,13,,16.74,4.91
1985,11,14,,19.66,2.40
1985,11,15,,20.40,3.58
1985,11,16,,20.25,2.38
1985,11,17,,15.93,4.49
1985,11,18,,17.65,4.39
1985,11,19,,12.99,3.17
1985,11,20,,14.04,2.25
1985,11,21,,5.91,2.86
1985,11,22,,4.07,4.51
1985,11,23,,3.97,1.92
1985,11,24,,7.00,1.98
1985,11,25,,8.28,4.88
1985,11,26,,14.54,8.81
1985,11,27,,16.79,4.35
1985,11,28,,17.38,2.92
1985,11,29,,16.50,2.05
1985,11,30,,15.82,1.45
1985,12,01,,25.20,1.31
1985,12,02,,23.22,1.49
1985,12,03,,21.71,3.83
1985,12,04,,24.54,1.50
1985,12,05,,24.95,1.46
1985,12,06,,24.48,2.44
1985,12,07,,27.05,2.96
1985,12,08,,21.50,2.29
1985,12,09,,25.86,1.40
1985,12,10,,30.10,2.15
1985,12,11,,22.13,4.91
1985,12,12,,10.91,5.05
1985,12,13,,12.44,3.97
1985,12,14,,23.19,2.63
1985,12,15,,27.06,2.22
1985,12,16,,25.65,4.37
1985,12,17,,22.44,1.96
1985,12,18,,23.03,2.22
1985,12,19,,19.63,2.89
1985,12,20,,15.36,3.89
1985,12,21,,19.32,4.28
1985,12,22,,15.79,6.71
1985,12,23,,12.41,3.58
1985,12,24,,15.10,1.90
1985,12,25,,11.88,3.18
1985,12,26,,16.17,2.25
1985,12,27,,18.03,2.05
1985,12,28,,23.39,0.61
1985,12,29,,29.38,1.28
1985,12,30,,29.69,1.09
1985,12,31,,33.30,0.71
1986,01,01,,30.09,1.25
1986,01,02,,31.44,1.43
1986,01,03,,28.76,1.85
1986,01,04,,24.90,5.65
1986,01,05,,23.87,5.87
1986,01,06,,22.04,3.06
1986,01,07,,23.88,4.16
1986,01,08,,22.79,4.54
1986,01,09,,22.02,5.50
1986,01,10,,24.04,4.05
1986,01,11,,29.51,1.94
1986,01,12,,28.21,1.61
1986,01,13,,27.05,2.39
1986,01,14,,26.86,3.58
1986,01,15,,26.32,3.96
1986,01,16,,31.39,1.01
1986,01,17,,36.25,1.63
1986,01,18,,33.98,1.28
1986,01,19,,34.01,1.18
1986,01,20,,34.51,1.62
1986,01,21,,31.62,2.80
1986,01,22,,31.20,2.98
1986,01,23,,28.44,3.23
1986,01,24,,25.00,3.07
1986,01,25,,22.30,2.62
1986,01,26,,26.27,1.64
1986,01,27,,31.66,1.72
1986,01,28,,28.73,2.59
1986,01,29,0.38,28.78,2.14
1986,01,30,0.30,32.03,2.65
1986,01,31,0.23,28.96,4.24
1986,02,01,0.20,23.63,1.76
1986,02,02,0.22,21.99,1.52
1986,02,03,0.19,22.54,1.03
1986,02,04,0.24,19.79,2.18
1986,02,05,0.21,19.29,2.50
1986,02,06,0.22,22.03,1.95
1986,02,07,0.33,17.50,4.77
1986,02,08,0.22,12.32,3.26
1986,02,09,0.30,15.57,1.53
1986,02,10,0.25,12.99,2.89
1986,02,11,0.25,9.52,1.79
1986,02,12,0.45,5.83,1.76
1986,02,13,0.25,11.71,2.50
1986,02,14,0.25,13.24,3.18
1986,02,15,0.31,12.78,2.45
1986,02,16,0.47,19.27,3.27
1986,02,17,0.34,25.93,3.53
1986,02,18,0.38,22.94,2.31
1986,02,19,0.34,20.07,5.13
1986,02,20,0.34,19.59,4.53
1986,02,21,0.36,21.91,3.78
1986,02,22,0.36,23.31,4.10
1986,02,23,0.33,30.25,3.93
1986,02,24,0.32,33.41,2.18
1986,02,25,0.34,37.27,0.88
1986,02,26,0.34,32.20,1.94
1986,02,27,0.34,35.19,1.10
1986,02,28,0.32,32.47,1.50
1986,03,01,0.31,30.91,2.93
1986,03,02,0.28,22.04,3.58
1986,03,03,0.28,18.23,4.59
1986,03,04,0.48,23.37,6.98
1986,03,05,0.46,21.29,6.32
1986,03,06,0.52,16.54,2.44
1986,03,07,0.54,20.03,3.96
1986,03,08,0.34,26.87,3.11
1986,03,09,0.50,29.41,1.87
1986,03,10,0.25,29.24,1.77
1986,03,11,0.40,27.38,1.32
1986,03,12,0.35,27.32,1.56
1986,03,13,0.48,26.28,1.60
1986,03,14,0.68,22.91,1.33
1986,03,15,0.68,23.45,1.89
1986,03,16,0.72,20.53,1.67
1986,03,17,0.73,21.99,1.10
1986,03,18,0.71,21.15,1.28
1986,03,19,0.69,23.60,1.24
1986,03,20,0.74,25.16,1.90
1986,03,21,0.72,27.00,1.84
1986,03,22,0.70,23.35,2.53
1986,03,23,0.59,18.99,2.21
1986,03,24,0.54,21.51,3.31
1986,03,25,0.40,20.51,3.32
1986,03,26,0.71,23.94,0.81
1986,03,27,0.63,22.85,1.80
1986,03,28,0.67,21.58,2.64
1986,03,29,0.69,21.32,1.50
1986,03,30,0.66,21.10,2.91
1986,03,31,0.76,20.58,5.41
1986,04,01,0.40,19.42,6.56
1986,04,02,0.58,20.07,5.14
1986,04,03,0.44,20.78,3.66
1986,04,04,0.37,24.72,1.93
1986,04,05,0.46,25.30,0.77
1986,04,06,0.46,29.19,4.08
1986,04,07,0.41,25.96,2.21
1986,04,08,0.54,24.31,1.50
1986,04,09,0.48,21.12,2.06
1986,04,10,0.45,18.46,2.27
1986,04,11,0.58,17.15,2.63
1986,04,12,0.60,13.23,2.39
1986,04,13,0.73,15.75,6.15
1986,04,14,0.73,14.13,5.87
1986,04,15,0.72,13.72,5.64
1986,04,16,0.72,16.07,5.94
1986,04,17,0.72,16.09,5.61
1986,04,18,0.69,16.08,3.97
1986,04,19,0.28,14.08,2.77
1986,04,20,0.61,14.30,2.16
1986,04,21,0.66,13.80,1.55
1986,04,22,0.70,14.57,1.23
1986,04,23,0.65,14.74,1.46
1986,04,24,0.72,13.40,1.23
1986,04,25,0.61,10.16,2.51
1986,04,26,0.67,10.04,3.04
1986,04,27,0.63,11.66,1.97
1986,04,28,0.55,11.78,1.40
1986,04,29,0.69,13.08,1.26
1986,04,30,0.69,9.84,1.16
1986,05,01,0.59,7.87,1.32
1986,05,02,0.66,5.92,1.85
1986,05,03,0.66,4.29,5.30
1986,05,04,0.52,4.03,4.04
1986,05,05,0.68,3.66,1.02
1986,05,06,0.63,4.11,1.19
1986,05,07,0.67,4.20,1.67
1986,05,08,0.41,1.97,2.30
1986,05,09,0.73,2.91,3.99
1986,05,10,0.64,4.62,4.35
1986,05,11,0.75,7.40,3.66
1986,05,12,0.66,7.95,2.07
1986,05,13,0.10,8.18,2.26
1986,05,14,0.30,8.36,1.45
1986,05,15,0.45,8.36,1.63
1986,05,16,0.41,8.67,2.47
1986,05,17,0.39,8.57,2.34
1986,05,18,0.48,9.72,1.35
1986,05,19,0.35,9.94,0.82
1986,05,20,0.48,9.37,1.89
1986,05,21,0.60,5.41,4.14
1986,05,22,0.74,3.20,4.55
1986,05,23,0.59,4.52,2.66
1986,05,24,0.54,3.94,0.89
1986,05,25,0.47,3.07,2.11
1986,05,26,0.44,4.29,2.45
1986,05,27,0.42,5.82,3.31
1986,05,28,0.52,1.77,2.02
1986,05,29,0.75,1.75,1.61
1986,05,30,0.75,3.15,2.03
1986,05,31,0.76,2.45,1.38
1986,06,01,0.65,0.39,3.26
1986,06,02,0.35,0.75,5.21
1986,06,03,0.59,1.49,3.88
1986,06,04,0.68,0.39,2.21
1986,06,05,0.71,1.58,1.56
1986,06,06,0.67,2.80,3.07
1986,06,07,0.68,0.74,6.09
1986,06,08,0.73,0.20,7.21
1986,06,09,0.73,1.34,5.98
1986,06,10,0.61,0.01,4.97
1986,06,11,0.73,2.56,3.97
1986,06,12,0.75,6.05,2.34
1986,06,13,0.74,8.68,1.67
