YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.46,20.80,2.47
1985,01,02,0.67,14.31,1.08
1985,01,03,0.67,11.44,1.15
1985,01,04,0.70,10.19,1.75
1985,01,05,0.58,8.75,2.70
1985,01,06,0.46,12.30,1.12
1985,01,07,0.58,6.61,3.07
1985,01,08,0.67,10.96,2.54
1985,01,09,0.42,15.14,1.40
1985,01,10,0.36,13.36,0.85
1985,01,11,0.56,16.94,1.62
1985,01,12,0.51,14.02,2.49
1985,01,13,0.46,15.30,1.48
1985,01,14,0.38,7.58,2.70
1985,01,15,0.63,4.26,3.38
1985,01,16,0.32,8.00,3.34
1985,01,17,0.45,5.83,4.75
1985,01,18,0.56,6.09,1.84
1985,01,19,0.50,7.44,2.13
1985,01,20,0.47,9.97,3.73
1985,01,21,0.71,14.44,2.00
1985,01,22,0.41,14.27,1.20
1985,01,23,0.41,12.19,0.81
1985,01,24,0.41,13.62,1.01
1985,01,25,0.43,13.23,1.22
1985,01,26,0.29,14.34,1.29
1985,01,27,0.37,13.79,1.29
1985,01,28,0.40,13.79,1.91
1985,01,29,0.61,17.19,2.31
1985,01,30,0.70,26.01,1.23
1985,01,31,0.72,21.24,1.39
1985,02,01,0.55,22.90,1.56
1985,02,02,0.66,22.88,1.59
1985,02,03,0.69,23.70,1.63
1985,02,04,0.57,22.88,3.04
1985,02,05,0.54,13.13,3.25
1985,02,06,0.53,11.40,1.91
1985,02,07,0.50,5.90,3.86
1985,02,08,0.54,17.15,4.11
1985,02,09,0.18,11.94,3.08
1985,02,10,0.39,5.67,3.74
1985,02,11,0.30,2.59,4.50
1985,02,12,0.57,4.51,3.84
1985,02,13,0.31,8.96,1.90
1985,02,14,0.62,3.09,3.37
1985,02,15,0.60,3.44,5.10
1985,02,16,0.72,8.78,3.10
1985,02,17,0.56,7.93,4.03
1985,02,18,0.49,9.41,2.44
1985,02,19,0.30,3.57,2.84
1985,02,20,0.61,4.18,3.37
1985,02,21,0.33,5.45,4.47
1985,02,22,0.58,2.43,3.28
1985,02,23,0.40,4.83,3.07
1985,02,24,0.36,0.37,4.91
1985,02,25,0.75,4.88,2.92
1985,02,26,0.60,4.74,2.85
1985,02,27,0.62,4.54,3.45
1985,02,28,0.48,1.08,4.04
1985,03,01,0.59,1.62,2.39
1985,03,02,0.72,6.31,3.43
1985,03,03,0.78,11.53,1.72
