YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,12.56,2.92
1985,01,02,,11.48,4.05
1985,01,03,,11.23,6.42
1985,01,04,,13.02,4.18
1985,01,05,,15.73,3.60
1985,01,06,,22.21,3.32
1985,01,07,,23.73,2.18
1985,01,08,,13.73,4.28
1985,01,09,,13.43,2.90
1985,01,10,,12.38,4.98
1985,01,11,,18.48,2.93
1985,01,12,,23.61,2.61
1985,01,13,,27.71,1.98
1985,01,14,,30.14,2.58
1985,01,15,,30.07,3.60
1985,01,16,,27.37,5.33
1985,01,17,,23.65,3.60
1985,01,18,,16.41,2.49
1985,01,19,,18.63,2.38
1985,01,20,,20.17,2.94
1985,01,21,,16.85,2.39
1985,01,22,,21.75,3.59
1985,01,23,,17.63,5.13
1985,01,24,,16.91,5.74
1985,01,25,,17.31,3.82
1985,01,26,,20.31,1.44
1985,01,27,0.25,24.11,2.21
1985,01,28,0.20,22.82,1.46
1985,01,29,0.29,23.88,3.18
1985,01,30,0.30,16.53,4.21
1985,01,31,0.26,10.06,4.33
1985,02,01,0.38,11.46,4.82
1985,02,02,0.20,13.82,3.05
1985,02,03,0.18,8.68,2.43
1985,02,04,0.22,15.84,4.12
1985,02,05,0.27,13.16,4.68
1985,02,06,0.33,19.72,7.00
1985,02,07,0.35,19.11,4.00
1985,02,08,0.39,23.47,1.64
1985,02,09,0.28,23.38,2.26
1985,02,10,0.24,26.03,1.35
1985,02,11,0.29,31.43,1.33
1985,02,12,0.26,32.18,1.91
1985,02,13,0.25,43.34,0.65
1985,02,14,0.26,40.80,1.00
1985,02,15,0.27,42.56,1.10
1985,02,16,0.27,44.66,0.86
1985,02,17,0.27,41.50,1.92
1985,02,18,0.36,34.95,5.68
1985,02,19,0.34,36.18,4.92
1985,02,20,0.32,40.37,3.53
1985,02,21,0.35,32.18,6.06
1985,02,22,0.50,28.48,8.18
1985,02,23,0.37,34.56,5.01
1985,02,24,0.38,34.82,3.23
1985,02,25,0.54,23.17,3.19
1985,02,26,0.51,20.27,2.64
1985,02,27,0.31,28.78,3.18
1985,02,28,0.27,27.21,6.91
1985,03,01,0.62,20.28,6.78
1985,03,02,0.54,17.72,7.30
1985,03,03,0.26,14.21,8.63
1985,03,04,0.31,29.03,4.63
1985,03,05,0.32,20.90,5.44
1985,03,06,0.21,11.32,1.96
1985,03,07,0.51,18.25,4.86
1985,03,08,0.23,25.45,2.09
1985,03,09,0.58,17.53,2.57
1985,03,10,0.05,14.02,4.06
1985,03,11,0.26,14.39,2.71
1985,03,12,0.16,15.45,1.51
1985,03,13,0.46,16.30,3.78
1985,03,14,0.63,19.21,3.44
1985,03,15,0.53,20.16,1.90
1985,03,16,0.61,18.44,2.41
1985,03,17,0.29,17.29,1.44
1985,03,18,0.26,22.55,3.02
1985,03,19,0.43,18.35,1.98
1985,03,20,0.47,23.02,1.39
1985,03,21,0.38,23.26,4.35
1985,03,22,0.39,21.10,5.56
1985,03,23,0.48,21.45,5.56
1985,03,24,0.59,19.85,4.95
1985,03,25,0.65,19.15,1.91
1985,03,26,0.69,21.58,1.32
1985,03,27,0.60,22.28,1.49
1985,03,28,0.33,18.21,3.05
1985,03,29,0.38,23.15,2.47
1985,03,30,0.28,25.74,3.03
1985,03,31,0.31,25.57,4.09
1985,04,01,0.39,23.62,2.32
1985,04,02,0.54,24.90,1.85
1985,04,03,0.59,23.91,3.67
1985,04,04,0.51,21.93,4.62
1985,04,05,0.57,19.48,1.83
1985,04,06,0.59,21.93,1.87
1985,04,07,0.73,18.99,4.11
1985,04,08,0.50,19.55,6.57
1985,04,09,0.47,19.82,4.84
1985,04,10,0.34,23.74,3.10
1985,04,11,0.50,25.52,1.99
1985,04,12,0.54,24.09,4.54
1985,04,13,0.56,20.25,4.58
1985,04,14,0.50,17.98,3.79
1985,04,15,0.67,16.78,3.94
1985,04,16,0.70,14.30,7.11
1985,04,17,0.52,19.52,6.02
1985,04,18,0.48,24.10,1.21
