YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.09,1.61,5.11
1985,01,02,0.19,5.31,5.02
1985,01,03,0.47,0.01,3.35
1985,01,04,0.68,3.37,4.09
1985,01,05,0.75,3.48,2.56
1985,01,06,0.72,5.81,3.59
1985,01,07,0.69,3.84,1.50
1985,01,08,0.49,8.16,4.10
1985,01,09,0.67,8.45,4.12
1985,01,10,0.67,1.49,3.30
1985,01,11,0.27,2.16,4.78
1985,01,12,0.06,10.65,3.52
1985,01,13,0.16,9.78,2.07
1985,01,14,0.24,5.46,2.86
1985,01,15,0.34,1.92,3.02
1985,01,16,0.40,3.13,3.99
1985,01,17,0.75,3.44,3.48
1985,01,18,0.74,5.31,3.45
1985,01,19,0.73,6.68,4.81
1985,01,20,0.56,5.55,5.23
1985,01,21,0.65,4.61,2.02
1985,01,22,0.68,2.00,3.27
1985,01,23,0.33,0.94,2.89
1985,01,24,0.49,6.73,2.45
1985,01,25,0.62,8.87,3.30
1985,01,26,0.39,5.56,4.15
1985,01,27,0.64,8.99,4.39
1985,01,28,0.64,7.08,2.69
1985,01,29,0.74,8.02,4.03
1985,01,30,0.49,9.93,3.09
1985,01,31,0.12,3.36,5.36
1985,02,01,0.29,14.17,3.78
1985,02,02,0.57,9.68,2.18
1985,02,03,0.76,0.90,3.91
1985,02,04,0.73,4.19,3.59
1985,02,05,0.53,5.54,3.12
1985,02,06,0.74,4.89,3.72
1985,02,07,0.24,2.32,2.13
1985,02,08,0.72,4.69,4.27
1985,02,09,0.70,10.33,4.61
1985,02,10,0.60,10.62,3.43
1985,02,11,0.74,3.24,4.42
1985,02,12,0.74,5.97,3.59
1985,02,13,0.57,9.27,3.38
1985,02,14,0.69,4.40,2.96
1985,02,15,0.71,8.05,2.51
1985,02,16,0.75,12.24,4.20
1985,02,17,0.74,8.14,2.86
1985,02,18,0.67,13.18,2.88
1985,02,19,0.19,13.24,3.16
1985,02,20,0.31,14.90,5.73
1985,02,21,0.61,15.67,5.61
1985,02,22,0.55,15.24,3.60
1985,02,23,0.63,11.87,4.30
1985,02,24,0.52,7.36,3.47
1985,02,25,0.79,11.24,3.91
1985,02,26,0.49,12.23,3.56
1985,02,27,0.28,8.49,3.81
1985,02,28,0.30,11.57,3.68
1985,03,01,0.68,15.37,4.06
1985,03,02,0.68,16.83,3.79
1985,03,03,0.63,20.15,8.48
1985,03,04,0.69,10.24,3.91
1985,03,05,0.68,11.12,3.88
1985,03,06,0.68,12.70,6.10
1985,03,07,0.61,17.02,5.46
1985,03,08,0.57,17.50,2.92
1985,03,09,0.42,17.13,4.08
1985,03,10,0.65,19.61,4.22
1985,03,11,0.69,22.24,4.22
1985,03,12,0.40,16.48,5.34
1985,03,13,0.51,14.02,4.12
1985,03,14,0.60,6.17,4.74
1985,03,15,0.23,5.44,3.33
1985,03,16,0.48,7.52,1.87
1985,03,17,0.59,6.94,2.36
1985,03,18,0.44,9.03,2.67
1985,03,19,0.50,12.56,5.01
1985,03,20,0.39,10.95,6.22
1985,03,21,0.78,11.12,4.37
1985,03,22,0.70,15.56,5.06
1985,03,23,0.79,14.04,3.53
1985,03,24,0.78,17.22,2.72
1985,03,25,0.66,18.60,4.86
1985,03,26,0.36,17.91,5.56
1985,03,27,0.79,19.60,5.03
1985,03,28,0.61,21.97,6.64
1985,03,29,0.62,21.82,5.64
1985,03,30,0.68,12.33,6.17
1985,03,31,0.81,11.99,3.14
1985,04,01,0.73,13.82,2.43
1985,04,02,0.80,17.03,4.51
1985,04,03,0.80,20.98,4.87
1985,04,04,0.65,22.78,6.49
1985,04,05,0.74,18.00,4.00
1985,04,06,0.71,21.73,5.39
1985,04,07,0.36,16.02,5.13
1985,04,08,0.23,11.64,4.43
1985,04,09,0.37,11.80,4.68
1985,04,10,0.66,15.52,4.56
1985,04,11,0.73,16.51,2.72
1985,04,12,0.46,17.27,3.50
1985,04,13,0.49,16.74,2.72
1985,04,14,0.69,17.40,2.01
1985,04,15,0.69,19.72,3.13
1985,04,16,0.55,22.58,3.15
1985,04,17,0.76,23.21,5.84
1985,04,18,0.65,19.64,5.98
1985,04,19,0.61,20.16,5.05
1985,04,20,0.57,23.63,5.24
1985,04,21,0.65,24.02,5.47
1985,04,22,0.65,21.78,5.00
1985,04,23,0.69,20.06,4.12
1985,04,24,0.69,21.46,4.22
1985,04,25,0.44,20.75,6.08
1985,04,26,0.63,21.43,4.63
1985,04,27,0.64,18.90,4.27
1985,04,28,0.70,20.16,2.78
1985,04,29,0.70,17.82,3.54
1985,04,30,0.68,21.41,3.38
1985,05,01,0.65,20.30,4.03
1985,05,02,0.59,19.85,3.25
1985,05,03,0.60,21.34,3.04
1985,05,04,0.60,24.17,4.82
1985,05,05,0.53,22.77,6.10
1985,05,06,0.67,20.93,4.58
1985,05,07,0.68,23.89,3.35
1985,05,08,0.50,21.40,3.25
1985,05,09,0.62,21.71,3.89
1985,05,10,0.51,23.33,4.39
1985,05,11,0.61,23.74,4.51
1985,05,12,0.67,23.50,3.42
1985,05,13,0.65,24.16,4.96
1985,05,14,0.61,19.41,4.04
1985,05,15,0.62,19.06,4.18
1985,05,16,0.17,20.49,3.95
1985,05,17,0.18,19.51,3.83
1985,05,18,0.60,18.47,3.48
1985,05,19,0.61,19.75,4.49
1985,05,20,0.52,20.79,3.48
1985,05,21,0.65,19.69,2.26
1985,05,22,0.63,19.55,4.02
1985,05,23,0.62,18.64,2.83
1985,05,24,0.61,20.02,1.71
1985,05,25,0.46,21.44,3.27
1985,05,26,0.66,22.78,4.58
1985,05,27,0.58,23.85,3.43
