YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.72,0.59,4.31
1985,01,02,0.73,2.19,3.56
1985,01,03,0.76,0.93,3.11
1985,01,04,0.72,1.17,3.18
1985,01,05,0.77,2.05,2.06
1985,01,06,0.60,2.39,1.72
1985,01,07,0.35,2.58,3.45
1985,01,08,0.17,2.70,4.16
1985,01,09,0.55,0.55,2.77
1985,01,10,0.75,0.16,2.28
1985,01,11,0.57,0.91,3.63
1985,01,12,0.23,5.08,6.05
1985,01,13,0.43,4.26,5.36
1985,01,14,0.42,1.40,4.44
1985,01,15,0.70,0.20,2.69
1985,01,16,0.64,0.28,3.61
1985,01,17,0.66,0.51,3.13
1985,01,18,0.78,2.73,3.01
1985,01,19,0.75,3.10,2.94
1985,01,20,0.70,2.07,3.11
1985,01,21,0.72,0.45,2.85
1985,01,22,0.42,2.24,2.21
1985,01,23,0.25,3.91,1.77
1985,01,24,0.32,3.49,1.38
1985,01,25,0.58,3.12,2.35
1985,01,26,0.20,5.94,2.41
1985,01,27,0.27,2.79,3.50
1985,01,28,0.64,0.70,2.76
1985,01,29,0.37,2.17,4.18
1985,01,30,0.45,0.49,4.77
1985,01,31,0.60,4.94,2.49
1985,02,01,0.71,9.12,2.07
1985,02,02,0.47,5.01,3.00
1985,02,03,0.23,1.67,5.08
1985,02,04,0.29,2.58,3.35
1985,02,05,0.60,4.38,2.74
1985,02,06,0.53,2.20,1.67
1985,02,07,0.62,0.43,1.95
1985,02,08,0.63,1.49,2.50
1985,02,09,0.22,2.44,2.56
1985,02,10,0.68,1.84,4.44
1985,02,11,0.51,0.52,3.49
1985,02,12,0.64,4.47,2.93
1985,02,13,0.75,5.32,3.53
1985,02,14,0.68,4.85,3.40
1985,02,15,0.78,5.87,2.29
1985,02,16,0.76,6.37,2.28
1985,02,17,0.66,7.61,2.02
1985,02,18,0.51,7.02,0.84
1985,02,19,0.52,8.70,2.75
1985,02,20,0.67,7.39,4.52
1985,02,21,0.27,3.30,2.93
1985,02,22,0.23,2.62,3.02
1985,02,23,0.61,1.58,4.31
1985,02,24,0.74,1.33,1.49
1985,02,25,0.80,3.62,1.96
1985,02,26,0.76,5.86,2.95
1985,02,27,0.54,7.18,2.87
1985,02,28,0.55,7.82,2.44
1985,03,01,0.69,6.20,2.84
1985,03,02,0.68,6.45,6.00
1985,03,03,0.38,0.08,5.07
1985,03,04,0.71,0.18,1.90
1985,03,05,0.75,5.01,1.93
1985,03,06,0.46,7.84,3.93
1985,03,07,0.47,7.72,3.13
1985,03,08,0.33,9.12,1.96
1985,03,09,0.52,13.85,2.58
1985,03,10,0.49,12.67,2.87
1985,03,11,0.33,11.46,3.11
1985,03,12,0.42,6.60,4.19
1985,03,13,0.79,5.54,4.04
1985,03,14,0.49,6.02,5.67
1985,03,15,0.35,4.54,3.65
1985,03,16,0.54,4.35,1.29
1985,03,17,0.63,5.96,2.77
1985,03,18,0.74,8.87,3.35
1985,03,19,0.49,3.81,4.31
1985,03,20,0.65,7.23,3.63
1985,03,21,0.66,7.78,3.16
1985,03,22,0.75,7.55,3.74
1985,03,23,0.79,7.06,2.13
1985,03,24,0.79,10.26,1.87
1985,03,25,0.67,12.20,4.00
1985,03,26,0.76,10.29,5.71
1985,03,27,0.76,8.65,7.28
1985,03,28,0.76,7.87,8.12
1985,03,29,0.41,1.48,6.69
1985,03,30,0.65,1.69,4.30
1985,03,31,0.75,5.25,3.66
1985,04,01,0.77,8.86,3.77
1985,04,02,0.79,11.98,1.82
1985,04,03,0.74,13.68,3.15
1985,04,04,0.76,13.81,4.65
1985,04,05,0.79,12.71,2.38
1985,04,06,0.76,13.49,2.28
1985,04,07,0.68,15.58,2.66
1985,04,08,0.53,14.87,4.25
1985,04,09,0.60,13.16,3.03
1985,04,10,0.59,14.27,2.35
1985,04,11,0.75,15.69,2.42
1985,04,12,0.76,16.56,2.11
1985,04,13,0.78,17.18,3.05
1985,04,14,0.77,17.06,2.41
1985,04,15,0.77,18.29,2.82
1985,04,16,0.64,17.62,2.57
1985,04,17,0.59,16.05,3.56
1985,04,18,0.58,11.42,6.15
1985,04,19,0.77,10.10,4.17
1985,04,20,0.76,12.07,4.48
1985,04,21,0.23,10.52,5.32
1985,04,22,0.55,9.66,5.10
1985,04,23,0.81,11.53,2.22
1985,04,24,0.72,15.25,3.20
1985,04,25,0.65,14.94,7.32
1985,04,26,0.35,7.02,4.97
1985,04,27,0.19,6.92,4.59
1985,04,28,0.37,7.30,3.10
1985,04,29,0.69,10.63,4.65
1985,04,30,0.70,15.54,2.17
1985,05,01,0.46,15.75,4.35
1985,05,02,0.59,15.08,4.65
1985,05,03,0.65,16.59,3.45
1985,05,04,0.72,16.76,2.58
1985,05,05,0.67,16.51,2.16
1985,05,06,0.74,16.84,2.33
1985,05,07,0.53,18.03,2.21
1985,05,08,0.70,18.97,1.47
1985,05,09,0.55,21.81,4.99
1985,05,10,0.77,15.35,7.27
