YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.32,27.50,2.44
1985,01,02,0.32,14.65,3.93
1985,01,03,0.48,1.95,4.45
1985,01,04,0.69,3.60,5.05
1985,01,05,0.45,4.76,2.86
1985,01,06,0.70,4.68,3.66
1985,01,07,0.43,17.55,7.16
1985,01,08,0.41,23.50,2.39
1985,01,09,0.41,23.88,1.25
1985,01,10,0.38,22.94,3.04
1985,01,11,0.38,18.32,5.17
1985,01,12,0.53,7.86,5.33
1985,01,13,0.28,7.24,7.83
1985,01,14,0.48,19.66,3.87
1985,01,15,0.43,17.05,1.09
1985,01,16,0.60,13.59,2.14
1985,01,17,0.45,16.12,3.90
1985,01,18,0.43,31.48,4.87
1985,01,19,0.48,33.47,6.07
1985,01,20,0.58,17.63,6.71
1985,01,21,0.73,15.60,6.85
1985,01,22,0.42,13.04,5.80
1985,01,23,0.41,8.44,3.72
1985,01,24,0.43,16.02,6.96
1985,01,25,0.42,23.43,4.02
1985,01,26,0.46,9.68,5.36
1985,01,27,0.61,19.19,4.22
1985,01,28,0.62,14.75,2.78
1985,01,29,0.54,17.02,5.02
1985,01,30,0.51,30.76,4.82
1985,01,31,0.46,30.72,3.15
1985,02,01,0.53,29.98,3.06
1985,02,02,0.53,27.05,3.21
1985,02,03,0.54,29.12,3.15
1985,02,04,0.51,26.21,4.44
1985,02,05,0.54,20.80,3.26
1985,02,06,0.54,22.57,3.44
1985,02,07,0.54,25.34,1.45
1985,02,08,0.50,20.22,4.17
1985,02,09,0.23,13.55,3.39
1985,02,10,0.42,22.56,3.21
1985,02,11,0.55,23.44,1.69
1985,02,12,0.38,20.65,3.22
1985,02,13,0.63,16.49,4.24
1985,02,14,0.50,22.13,2.85
1985,02,15,0.64,15.61,3.18
1985,02,16,0.69,9.14,3.81
1985,02,17,0.50,17.77,1.95
1985,02,18,0.39,18.56,2.65
1985,02,19,0.41,12.72,2.82
1985,02,20,0.46,6.26,3.62
1985,02,21,0.58,10.23,2.85
1985,02,22,0.52,2.70,3.29
1985,02,23,0.43,12.87,3.46
1985,02,24,0.66,7.19,2.66
1985,02,25,0.43,9.91,5.53
1985,02,26,0.55,19.08,3.10
1985,02,27,0.60,7.60,6.41
1985,02,28,0.47,0.33,7.14
1985,03,01,0.69,11.36,3.41
1985,03,02,0.48,16.67,2.45
1985,03,03,0.54,15.68,3.67
1985,03,04,0.46,13.09,5.70
1985,03,05,0.61,17.24,1.88
1985,03,06,0.29,7.75,5.54
1985,03,07,0.58,8.04,5.43
1985,03,08,0.59,6.44,4.17
1985,03,09,0.76,2.41,4.40
1985,03,10,0.77,4.58,3.40
1985,03,11,0.67,8.61,2.71
1985,03,12,0.60,5.35,5.73
1985,03,13,0.47,4.21,3.99
1985,03,14,0.72,7.80,2.28
1985,03,15,0.68,2.59,4.97
1985,03,16,0.48,3.77,3.57
1985,03,17,0.55,1.49,3.71
1985,03,18,0.66,0.67,4.24
1985,03,19,0.65,5.31,4.35
1985,03,20,0.44,5.37,5.16
1985,03,21,0.69,0.15,2.11
1985,03,22,0.32,1.25,6.23
1985,03,23,0.35,1.26,3.95
1985,03,24,0.41,0.62,3.03
1985,03,25,0.29,0.49,4.37
1985,03,26,0.23,0.13,2.65
1985,03,27,0.71,1.64,3.13
1985,03,28,0.26,4.72,5.88
1985,03,29,0.73,6.36,2.62
1985,03,30,0.73,3.62,2.74
1985,03,31,0.79,2.42,2.36
1985,04,01,0.67,0.30,2.80
1985,04,02,0.56,3.58,5.94
1985,04,03,0.45,0.41,4.17
1985,04,04,0.62,1.89,2.08
1985,04,05,0.63,1.52,1.15
1985,04,06,0.54,0.46,4.32
1985,04,07,0.52,1.54,4.96
1985,04,08,0.70,1.69,3.66
1985,04,09,0.73,4.15,5.21
1985,04,10,0.63,3.57,3.02
1985,04,11,0.67,5.11,2.21
1985,04,12,0.40,4.70,3.64
1985,04,13,0.71,4.87,2.93
1985,04,14,0.63,9.73,3.46
1985,04,15,0.59,7.34,5.15
1985,04,16,0.47,2.51,2.85
1985,04,17,0.62,5.05,3.06
1985,04,18,0.41,8.80,1.66
1985,04,19,0.60,13.16,3.77
1985,04,20,0.56,11.91,5.62
1985,04,21,0.32,7.84,2.21
1985,04,22,0.64,9.00,2.27
1985,04,23,0.75,9.62,2.94
1985,04,24,0.77,7.26,3.12
