YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,13.68,7.60
1985,01,02,,17.05,4.10
1985,01,03,,15.26,2.58
1985,01,04,,14.58,2.49
1985,01,05,,20.44,3.69
1985,01,06,,24.11,2.15
1985,01,07,,20.17,4.89
1985,01,08,,18.61,6.68
1985,01,09,,17.41,6.50
1985,01,10,,13.75,5.85
1985,01,11,,14.62,6.15
1985,01,12,,11.67,3.96
1985,01,13,,14.95,1.66
1985,01,14,,20.93,2.51
1985,01,15,,22.65,6.20
1985,01,16,,20.95,10.45
1985,01,17,,23.13,7.54
1985,01,18,,17.14,5.68
1985,01,19,,13.66,3.29
1985,01,20,,16.19,2.95
1985,01,21,,17.02,3.34
1985,01,22,,19.76,3.74
1985,01,23,,21.55,4.59
1985,01,24,,18.51,5.84
1985,01,25,,18.26,6.19
1985,01,26,,22.07,3.96
1985,01,27,,17.79,3.60
1985,01,28,0.20,10.60,3.39
1985,01,29,0.35,8.78,3.10
1985,01,30,0.30,8.43,3.66
1985,01,31,0.22,9.58,1.78
1985,02,01,0.31,9.40,2.99
1985,02,02,0.30,3.70,4.18
1985,02,03,0.24,4.51,6.20
1985,02,04,0.38,7.26,4.98
1985,02,05,0.20,12.91,5.39
1985,02,06,0.18,15.43,4.14
1985,02,07,0.45,7.69,5.31
1985,02,08,0.24,15.77,2.78
1985,02,09,0.22,18.25,4.22
1985,02,10,0.22,24.00,2.14
1985,02,11,0.22,25.79,1.73
1985,02,12,0.23,25.08,3.14
1985,02,13,0.24,29.23,3.01
1985,02,14,0.25,28.81,5.17
1985,02,15,0.40,28.19,5.01
1985,02,16,0.44,32.59,1.65
1985,02,17,0.48,28.17,1.38
1985,02,18,0.53,21.67,5.61
1985,02,19,0.42,25.76,4.68
1985,02,20,0.45,29.03,1.88
1985,02,21,0.54,28.00,2.70
1985,02,22,0.58,24.30,3.77
1985,02,23,0.60,28.28,1.68
1985,02,24,0.48,32.18,1.10
1985,02,25,0.57,31.41,1.96
1985,02,26,0.51,29.70,1.56
1985,02,27,0.34,27.44,4.12
1985,02,28,0.47,17.63,6.97
1985,03,01,0.49,13.62,5.89
1985,03,02,0.38,20.53,6.10
1985,03,03,,17.61,4.47
1985,03,04,0.08,22.38,3.60
1985,03,05,0.02,9.58,6.26
1985,03,06,0.32,7.28,2.97
1985,03,07,0.53,16.08,4.58
1985,03,08,0.52,21.96,1.22
1985,03,09,0.36,21.68,0.97
1985,03,10,0.31,17.82,3.80
1985,03,11,0.31,18.02,3.99
1985,03,12,0.26,19.80,3.45
1985,03,13,0.37,20.24,4.75
1985,03,14,0.27,15.81,1.16
1985,03,15,0.50,19.61,2.35
1985,03,16,0.48,23.07,1.50
1985,03,17,0.52,22.00,2.73
1985,03,18,0.59,22.23,4.53
1985,03,19,0.51,23.62,3.57
1985,03,20,0.29,25.85,2.70
1985,03,21,0.45,24.17,4.24
1985,03,22,0.55,22.42,5.38
1985,03,23,0.58,20.16,5.73
1985,03,24,0.54,18.93,3.31
1985,03,25,0.70,19.97,2.63
1985,03,26,0.76,21.66,1.10
1985,03,27,0.72,17.24,3.36
1985,03,28,0.46,18.36,4.92
1985,03,29,0.46,22.39,4.09
1985,03,30,0.44,23.56,3.54
1985,03,31,0.55,22.67,3.96
1985,04,01,0.46,21.51,2.43
1985,04,02,0.51,19.83,1.78
1985,04,03,0.66,20.60,1.52
1985,04,04,0.63,18.46,1.81
1985,04,05,0.73,18.77,1.75
1985,04,06,0.73,18.08,2.27
1985,04,07,0.78,19.30,2.05
1985,04,08,0.60,16.57,3.86
1985,04,09,0.31,19.19,5.14
1985,04,10,0.73,19.21,4.19
1985,04,11,0.72,18.72,2.71
1985,04,12,0.78,15.90,4.84
1985,04,13,0.76,17.23,4.67
1985,04,14,0.78,16.19,4.36
1985,04,15,0.32,12.39,6.67
1985,04,16,0.20,8.36,7.02
1985,04,17,0.71,13.56,7.66
1985,04,18,0.77,14.77,3.78
1985,04,19,0.69,16.42,5.04
1985,04,20,0.62,16.71,6.16
1985,04,21,0.78,16.24,5.56
1985,04,22,0.77,15.98,5.14
1985,04,23,0.76,15.20,4.16
1985,04,24,0.73,12.28,4.18
1985,04,25,0.67,11.92,4.82
1985,04,26,0.73,12.55,5.02
1985,04,27,0.53,11.85,4.68
1985,04,28,0.71,12.06,3.93
1985,04,29,0.71,12.47,2.99
1985,04,30,0.70,9.76,5.45
1985,05,01,0.45,10.01,4.36
1985,05,02,0.54,12.65,3.75
1985,05,03,0.51,6.99,3.60
1985,05,04,0.66,5.92,1.96
1985,05,05,0.29,2.11,4.21
1985,05,06,0.43,5.30,4.52
1985,05,07,0.44,1.14,6.81
1985,05,08,0.71,1.50,3.94
1985,05,09,0.37,1.38,4.64
1985,05,10,0.59,1.50,2.75
1985,05,11,0.61,3.54,4.41
1985,05,12,0.71,4.57,4.18
1985,05,13,0.58,6.34,3.96
1985,05,14,0.76,5.66,3.64
1985,05,15,0.43,4.71,3.48
1985,05,16,0.39,3.33,1.90
1985,05,17,0.25,0.72,4.33
1985,05,18,0.66,0.50,2.79
1985,05,19,0.59,1.12,3.22
1985,05,20,0.49,1.14,5.12
1985,05,21,0.55,0.54,6.72
1985,05,22,0.76,0.25,3.41
1985,05,23,0.78,0.38,1.50
1985,05,24,0.75,0.09,2.29
1985,05,25,0.75,0.24,3.60
1985,05,26,0.78,0.24,4.47
1985,05,27,0.70,0.85,4.46
1985,05,28,0.62,1.55,5.55
1985,05,29,0.55,1.60,4.00
1985,05,30,0.62,2.16,2.13
1985,05,31,0.69,0.62,1.78
1985,06,01,0.51,1.99,2.36
1985,06,02,0.50,1.61,2.32
1985,06,03,0.45,3.49,4.10
1985,06,04,0.60,3.80,3.71
1985,06,05,0.47,1.69,3.89
1985,06,06,0.55,1.40,5.72
1985,06,07,0.65,0.74,8.07
1985,06,08,0.74,2.11,5.55
1985,06,09,0.77,1.29,4.76
1985,06,10,0.58,0.50,5.32
1985,06,11,0.38,0.51,8.10
1985,06,12,0.36,0.70,8.10
1985,06,13,0.71,1.18,7.58
1985,06,14,0.62,0.49,7.02
1985,06,15,0.69,0.19,3.70
1985,06,16,0.51,0.12,1.74
1985,06,17,0.67,0.48,2.93
1985,06,18,0.58,3.74,4.75
1985,06,19,0.54,4.13,3.68
1985,06,20,0.64,4.41,1.84
1985,06,21,0.67,4.60,1.58
1985,06,22,0.58,2.17,3.10
1985,06,23,0.72,1.73,4.63
1985,06,24,0.37,1.29,5.27
1985,06,25,0.36,2.31,2.91
1985,06,26,0.54,1.71,5.28
1985,06,27,0.56,1.09,2.59
1985,06,28,0.45,2.33,3.60
1985,06,29,0.58,2.48,2.48
1985,06,30,0.64,2.25,7.94
1985,07,01,0.64,2.79,5.40
1985,07,02,0.73,2.74,7.11
1985,07,03,0.36,3.83,8.49
1985,07,04,0.26,4.19,4.53
1985,07,05,0.48,4.99,3.00
1985,07,06,0.68,7.23,2.44
1985,07,07,0.73,11.01,6.16
1985,07,08,0.53,7.24,4.92
1985,07,09,0.58,6.03,4.85
1985,07,10,0.24,5.41,3.37
1985,07,11,0.61,8.07,3.29
1985,07,12,0.71,10.42,6.50
1985,07,13,0.63,9.22,7.54
1985,07,14,0.65,9.16,6.12
1985,07,15,0.66,7.77,4.97
1985,07,16,0.66,6.80,5.19
1985,07,17,0.68,9.83,6.07
1985,07,18,0.75,9.96,5.89
1985,07,19,0.64,7.16,6.44
1985,07,20,0.60,7.28,8.34
1985,07,21,0.72,7.37,6.29
1985,07,22,0.70,8.34,3.80
1985,07,23,0.72,8.73,1.64
1985,07,24,0.64,3.93,1.26
1985,07,25,0.70,7.52,4.59
1985,07,26,0.38,6.38,6.09
1985,07,27,0.68,7.21,5.19
1985,07,28,0.49,6.64,5.62
1985,07,29,0.47,6.98,2.34
1985,07,30,0.41,8.35,1.85
1985,07,31,0.53,7.86,2.03
1985,08,01,0.71,9.55,2.22
1985,08,02,0.63,9.39,2.16
1985,08,03,0.71,8.44,4.87
1985,08,04,0.71,14.24,2.84
1985,08,05,0.69,14.57,2.59
1985,08,06,0.61,12.76,3.11
1985,08,07,0.49,10.51,3.84
1985,08,08,0.17,7.63,5.99
1985,08,09,0.49,8.48,2.94
1985,08,10,0.27,5.46,3.38
1985,08,11,0.27,4.79,2.21
1985,08,12,0.52,3.49,2.90
1985,08,13,0.38,5.82,3.01
1985,08,14,0.39,7.90,4.10
1985,08,15,0.27,5.32,6.31
1985,08,16,0.42,1.84,4.00
1985,08,17,0.72,3.93,3.43
1985,08,18,0.72,3.57,1.91
1985,08,19,0.72,5.64,2.81
1985,08,20,0.68,7.47,3.36
1985,08,21,0.32,6.90,3.31
1985,08,22,0.36,5.53,4.27
1985,08,23,0.41,6.00,3.51
1985,08,24,0.59,7.74,3.87
1985,08,25,0.67,8.02,4.19
1985,08,26,0.61,7.97,5.16
1985,08,27,0.23,8.86,8.26
1985,08,28,0.42,8.27,8.49
1985,08,29,0.32,6.46,4.85
1985,08,30,0.29,5.94,1.74
1985,08,31,0.47,6.34,4.97
1985,09,01,0.39,8.39,4.49
1985,09,02,0.64,6.78,0.83
1985,09,03,0.48,5.32,1.71
1985,09,04,0.53,4.55,2.74
1985,09,05,0.60,6.03,2.63
1985,09,06,0.23,7.68,5.79
1985,09,07,0.26,5.96,7.46
1985,09,08,0.52,1.83,8.37
1985,09,09,0.46,1.66,3.97
1985,09,10,0.52,1.53,5.94
1985,09,11,0.48,1.22,4.69
1985,09,12,0.37,2.07,4.85
