YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,4.51,3.68
1985,01,02,,7.91,3.99
1985,01,03,,13.25,5.17
1985,01,04,,14.36,2.46
1985,01,05,,18.01,3.44
1985,01,06,,20.31,3.14
1985,01,07,,19.28,3.41
1985,01,08,,10.03,4.85
1985,01,09,,14.01,2.04
1985,01,10,,13.19,3.24
1985,01,11,,18.50,1.18
1985,01,12,,19.62,0.82
1985,01,13,,19.81,1.27
1985,01,14,,23.10,2.65
1985,01,15,,24.38,4.83
1985,01,16,,21.14,6.91
1985,01,17,0.30,18.59,3.53
1985,01,18,,12.40,3.30
1985,01,19,0.31,14.63,3.35
1985,01,20,0.27,14.97,3.33
1985,01,21,0.29,15.22,1.32
1985,01,22,0.37,20.72,2.41
1985,01,23,0.27,18.84,3.88
1985,01,24,0.33,9.23,2.88
1985,01,25,0.30,12.51,3.44
1985,01,26,0.40,25.45,0.89
1985,01,27,0.24,19.35,3.28
1985,01,28,0.25,14.48,2.40
1985,01,29,0.44,17.06,2.27
1985,01,30,0.35,15.69,3.01
1985,01,31,0.33,6.83,5.35
1985,02,01,0.46,13.93,2.64
1985,02,02,0.24,10.53,2.53
1985,02,03,0.26,9.60,3.35
1985,02,04,0.31,17.34,2.92
1985,02,05,0.33,16.25,3.29
1985,02,06,0.37,25.91,2.91
1985,02,07,0.34,22.50,4.02
1985,02,08,0.32,16.45,3.01
1985,02,09,0.33,23.70,1.24
1985,02,10,0.32,26.66,2.22
1985,02,11,0.32,31.55,1.55
1985,02,12,0.33,29.69,1.51
1985,02,13,0.33,37.39,2.98
1985,02,14,0.33,33.60,6.17
1985,02,15,0.37,33.85,5.30
1985,02,16,0.39,39.25,4.49
1985,02,17,0.38,40.71,2.56
1985,02,18,0.35,41.40,2.91
1985,02,19,0.35,40.73,4.07
1985,02,20,0.38,43.38,1.74
1985,02,21,0.39,39.77,1.28
1985,02,22,0.49,36.97,2.96
1985,02,23,0.38,34.70,2.03
1985,02,24,0.60,32.09,4.36
1985,02,25,0.41,24.01,2.57
1985,02,26,0.47,18.21,2.75
1985,02,27,0.66,30.57,3.01
1985,02,28,0.43,32.41,4.07
1985,03,01,0.29,21.86,4.61
1985,03,02,0.48,16.45,6.05
1985,03,03,0.30,16.56,6.83
1985,03,04,0.39,31.30,1.90
1985,03,05,0.21,18.05,6.00
1985,03,06,0.39,11.60,2.87
1985,03,07,0.51,22.72,3.65
1985,03,08,0.35,21.55,3.71
1985,03,09,0.60,9.28,3.82
1985,03,10,0.26,12.23,3.63
1985,03,11,0.42,12.48,2.89
1985,03,12,0.57,11.44,3.12
1985,03,13,0.50,13.65,4.35
1985,03,14,0.46,16.09,0.86
1985,03,15,0.62,20.58,1.49
1985,03,16,0.47,26.59,0.92
1985,03,17,0.53,20.81,3.64
1985,03,18,0.27,17.20,5.07
1985,03,19,0.65,13.69,2.88
1985,03,20,0.65,16.73,4.43
1985,03,21,0.42,18.72,3.81
1985,03,22,0.59,18.18,3.41
1985,03,23,0.63,19.98,3.58
1985,03,24,0.39,19.76,1.90
1985,03,25,0.64,21.06,1.05
1985,03,26,0.63,18.35,3.70
1985,03,27,0.69,20.39,2.11
1985,03,28,0.58,20.51,1.91
1985,03,29,0.57,24.04,4.55
1985,03,30,0.48,26.41,5.38
1985,03,31,0.49,26.83,3.79
1985,04,01,0.44,28.13,1.88
1985,04,02,0.60,26.73,2.81
1985,04,03,0.63,22.42,3.70
1985,04,04,0.60,22.49,1.91
1985,04,05,0.58,23.92,1.87
1985,04,06,0.49,21.97,1.91
1985,04,07,0.61,17.53,3.59
1985,04,08,0.54,16.53,4.00
1985,04,09,0.57,19.44,1.50
1985,04,10,0.46,20.96,3.86
1985,04,11,0.38,23.50,5.80
1985,04,12,0.53,21.95,4.02
1985,04,13,0.66,21.48,2.68
1985,04,14,0.67,18.65,2.77
1985,04,15,0.45,13.61,4.00
1985,04,16,0.64,7.71,4.87
1985,04,17,0.65,12.26,5.19
1985,04,18,0.53,20.45,2.41
1985,04,19,0.50,21.27,2.68
1985,04,20,0.46,19.09,4.15
1985,04,21,0.51,15.20,3.59
1985,04,22,0.59,15.02,3.21
1985,04,23,0.49,15.05,3.38
1985,04,24,0.66,12.66,3.31
1985,04,25,0.65,11.26,4.29
1985,04,26,0.50,11.21,6.08
1985,04,27,0.75,12.77,3.98
1985,04,28,0.70,12.36,2.36
1985,04,29,0.57,10.74,2.35
1985,04,30,0.37,6.00,2.83
1985,05,01,0.47,6.08,1.81
1985,05,02,0.50,2.81,2.56
1985,05,03,0.57,4.47,1.45
1985,05,04,0.58,3.80,1.41
1985,05,05,0.35,4.74,4.69
1985,05,06,0.57,7.30,3.26
1985,05,07,0.31,4.02,5.13
1985,05,08,0.40,4.07,2.86
1985,05,09,0.55,4.09,1.25
1985,05,10,0.52,3.77,2.75
1985,05,11,0.36,4.13,3.86
1985,05,12,0.49,6.56,4.12
1985,05,13,0.45,7.10,3.22
1985,05,14,0.73,5.99,3.79
1985,05,15,0.61,6.03,2.15
1985,05,16,0.34,3.81,3.83
1985,05,17,0.28,1.04,4.94
1985,05,18,0.42,0.79,2.87
1985,05,19,0.35,1.13,2.29
1985,05,20,0.50,2.94,2.19
1985,05,21,0.43,0.26,3.57
1985,05,22,0.46,0.25,1.82
1985,05,23,0.59,1.02,3.14
1985,05,24,0.61,2.44,3.51
1985,05,25,0.64,3.06,3.85
1985,05,26,0.62,0.26,3.74
1985,05,27,0.63,1.04,3.09
1985,05,28,0.48,0.56,3.40
1985,05,29,0.24,3.18,2.61
1985,05,30,0.44,3.96,3.29
1985,05,31,0.68,5.75,3.42
1985,06,01,0.37,4.70,3.11
1985,06,02,0.59,5.78,3.11
1985,06,03,0.71,10.06,4.21
1985,06,04,0.60,11.85,0.91
1985,06,05,0.69,12.24,1.62
1985,06,06,0.18,9.02,3.46
1985,06,07,0.56,4.40,5.58
1985,06,08,0.74,6.85,3.04
1985,06,09,0.64,8.57,1.49
1985,06,10,0.70,7.70,3.10
1985,06,11,0.57,3.80,5.81
1985,06,12,0.46,4.78,3.31
1985,06,13,0.60,7.32,3.45
1985,06,14,0.57,6.48,3.03
1985,06,15,0.53,4.40,2.09
1985,06,16,0.62,5.10,1.33
1985,06,17,0.44,8.90,3.50
1985,06,18,0.29,8.52,3.27
1985,06,19,0.47,7.68,2.46
1985,06,20,0.51,9.60,2.61
1985,06,21,0.60,10.99,1.99
1985,06,22,0.39,12.28,0.85
1985,06,23,0.56,12.80,0.77
1985,06,24,0.53,12.83,2.05
1985,06,25,0.34,8.32,4.53
1985,06,26,0.58,10.61,3.31
1985,06,27,0.65,9.14,4.02
1985,06,28,0.17,12.35,5.34
1985,06,29,0.20,9.96,3.89
1985,06,30,0.36,9.80,4.65
1985,07,01,0.36,8.46,2.18
1985,07,02,0.24,8.14,4.62
1985,07,03,0.37,7.56,5.47
1985,07,04,0.39,8.47,5.70
1985,07,05,0.68,9.59,3.15
1985,07,06,0.74,11.97,1.36
1985,07,07,0.70,14.26,4.41
1985,07,08,0.38,9.06,2.66
1985,07,09,0.36,9.28,1.26
1985,07,10,0.57,13.61,3.06
1985,07,11,0.42,13.04,2.60
1985,07,12,0.69,13.24,1.27
1985,07,13,0.62,13.66,1.92
1985,07,14,0.61,13.82,1.50
