YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,12.69,7.09
1985,01,02,,14.02,5.03
1985,01,03,,7.38,5.37
1985,01,04,,8.17,3.68
1985,01,05,,20.55,3.32
1985,01,06,,25.38,2.35
1985,01,07,,22.18,4.38
1985,01,08,,18.80,6.32
1985,01,09,,16.72,6.71
1985,01,10,,13.41,6.41
1985,01,11,,14.41,6.14
1985,01,12,,11.35,4.72
1985,01,13,,18.32,2.13
1985,01,14,,27.75,2.94
1985,01,15,,27.52,5.51
1985,01,16,,22.59,10.24
1985,01,17,,23.95,7.21
1985,01,18,,14.05,5.93
1985,01,19,,16.85,3.51
1985,01,20,,16.40,3.84
1985,01,21,,17.74,2.29
1985,01,22,,22.48,3.08
1985,01,23,,22.87,4.65
1985,01,24,,18.62,6.38
1985,01,25,,19.45,6.03
1985,01,26,,22.24,2.65
1985,01,27,,16.45,3.28
1985,01,28,0.20,11.10,4.24
1985,01,29,0.35,11.52,3.61
1985,01,30,0.30,11.23,3.42
1985,01,31,0.22,10.01,1.79
1985,02,01,0.31,10.72,2.45
1985,02,02,0.23,4.00,4.21
1985,02,03,0.24,7.32,5.36
1985,02,04,0.35,9.66,4.86
1985,02,05,0.22,13.46,5.85
1985,02,06,0.24,18.64,4.60
1985,02,07,0.37,7.57,6.94
1985,02,08,0.30,18.13,3.47
1985,02,09,0.28,21.24,4.32
1985,02,10,0.27,29.78,1.48
1985,02,11,0.28,30.31,1.65
1985,02,12,0.29,29.57,2.80
1985,02,13,0.29,38.28,2.03
1985,02,14,0.30,34.87,4.40
1985,02,15,0.39,33.36,4.48
1985,02,16,0.36,40.48,1.37
1985,02,17,0.39,36.29,0.97
1985,02,18,0.51,25.00,4.83
1985,02,19,0.32,31.39,3.08
1985,02,20,0.40,34.22,1.81
1985,02,21,0.46,30.89,3.67
1985,02,22,0.58,25.86,5.40
1985,02,23,0.37,34.03,1.24
1985,02,24,0.40,35.49,2.19
1985,02,25,0.52,33.66,2.09
1985,02,26,0.49,33.75,1.28
1985,02,27,0.49,31.06,3.38
1985,02,28,0.58,18.16,9.62
1985,03,01,0.27,14.32,7.25
1985,03,02,0.06,19.84,7.24
1985,03,03,0.20,19.94,5.93
1985,03,04,0.23,26.59,4.06
1985,03,05,0.02,8.54,8.03
1985,03,06,0.15,6.78,4.14
1985,03,07,0.50,20.18,5.51
1985,03,08,0.33,28.88,1.23
1985,03,09,0.31,26.70,1.72
1985,03,10,0.33,15.11,4.65
1985,03,11,0.34,19.26,3.36
1985,03,12,0.11,22.12,3.65
1985,03,13,0.51,19.34,4.24
1985,03,14,0.41,14.04,2.80
1985,03,15,0.36,22.99,2.37
1985,03,16,0.34,25.20,0.85
1985,03,17,0.38,24.68,1.91
1985,03,18,0.68,24.53,4.10
1985,03,19,0.56,26.19,3.25
1985,03,20,0.30,28.67,3.22
1985,03,21,0.46,23.85,5.60
1985,03,22,0.47,20.69,7.06
1985,03,23,0.49,19.97,6.49
1985,03,24,0.52,20.04,3.19
1985,03,25,0.73,20.30,1.73
1985,03,26,0.74,23.03,1.03
1985,03,27,0.73,18.63,3.92
1985,03,28,0.62,19.67,4.89
1985,03,29,0.50,25.70,3.81
1985,03,30,0.41,27.79,3.08
1985,03,31,0.49,25.50,4.14
1985,04,01,0.51,22.50,2.59
1985,04,02,0.71,22.12,1.96
1985,04,03,0.71,21.84,2.27
1985,04,04,0.76,20.97,2.17
1985,04,05,0.64,20.93,1.91
1985,04,06,0.59,17.63,3.07
1985,04,07,0.66,15.69,2.82
1985,04,08,0.53,20.07,4.50
1985,04,09,0.28,20.26,5.60
1985,04,10,0.61,22.34,4.11
1985,04,11,0.52,22.04,2.68
1985,04,12,0.64,17.97,5.36
1985,04,13,0.70,19.17,4.55
1985,04,14,0.71,16.61,5.15
1985,04,15,0.30,12.69,7.87
1985,04,16,0.22,9.23,9.23
1985,04,17,0.56,14.97,9.12
1985,04,18,0.61,17.18,4.04
1985,04,19,0.54,18.67,5.49
1985,04,20,0.53,18.58,6.88
1985,04,21,0.54,17.88,5.81
1985,04,22,0.68,17.42,5.57
1985,04,23,0.68,15.72,4.66
1985,04,24,0.54,12.65,4.60
1985,04,25,0.50,12.78,5.29
1985,04,26,0.48,13.30,6.19
1985,04,27,0.57,12.52,5.63
1985,04,28,0.50,12.89,4.64
1985,04,29,0.50,11.79,3.56
1985,04,30,0.63,7.90,5.21
1985,05,01,0.22,8.34,2.07
1985,05,02,0.43,12.56,3.67
1985,05,03,0.43,6.78,3.95
1985,05,04,0.58,6.40,2.26
1985,05,05,0.28,3.26,5.86
1985,05,06,0.36,6.23,5.66
1985,05,07,0.37,1.83,7.79
1985,05,08,0.52,2.65,5.03
1985,05,09,0.47,1.81,5.20
1985,05,10,0.43,2.67,3.34
1985,05,11,0.52,4.56,4.97
1985,05,12,0.47,6.60,4.37
1985,05,13,0.60,7.54,4.91
1985,05,14,0.60,6.73,4.24
1985,05,15,0.36,6.44,3.98
1985,05,16,0.39,3.86,2.85
1985,05,17,0.25,0.33,5.82
1985,05,18,0.53,0.59,3.93
1985,05,19,0.45,0.94,2.97
1985,05,20,0.43,0.81,5.90
1985,05,21,0.41,0.37,7.41
1985,05,22,0.64,0.94,4.16
1985,05,23,0.73,1.10,1.77
1985,05,24,0.72,1.41,2.94
1985,05,25,0.57,1.75,4.60
1985,05,26,0.65,0.41,4.95
1985,05,27,0.66,0.43,4.79
1985,05,28,0.48,1.40,6.38
1985,05,29,0.57,1.90,4.72
1985,05,30,0.52,1.09,2.34
1985,05,31,0.53,3.17,3.01
1985,06,01,0.49,5.84,2.60
1985,06,02,0.51,6.27,3.44
1985,06,03,0.57,9.64,6.12
1985,06,04,0.65,8.74,4.99
1985,06,05,0.48,4.24,4.44
1985,06,06,0.58,2.63,5.81
1985,06,07,0.66,2.46,7.71
1985,06,08,0.76,5.82,4.89
1985,06,09,0.74,5.52,3.53
1985,06,10,0.55,1.39,4.33
1985,06,11,0.31,1.30,7.06
1985,06,12,0.35,0.15,7.02
1985,06,13,0.65,3.69,6.47
1985,06,14,0.45,2.35,6.31
1985,06,15,0.68,2.98,2.94
1985,06,16,0.48,4.12,2.01
1985,06,17,0.59,6.24,2.83
1985,06,18,0.52,9.84,4.78
1985,06,19,0.48,9.64,3.02
1985,06,20,0.53,10.94,2.12
1985,06,21,0.66,12.79,1.93
1985,06,22,0.32,10.65,2.55
1985,06,23,0.70,9.03,3.92
1985,06,24,0.36,5.63,4.24
1985,06,25,0.42,7.22,2.60
1985,06,26,0.42,6.07,5.43
1985,06,27,0.50,4.50,3.73
1985,06,28,0.33,7.15,5.67
1985,06,29,0.48,6.85,3.17
