YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,4.99,5.45
1985,01,02,,7.42,4.78
1985,01,03,,6.33,7.25
1985,01,04,,9.98,4.48
1985,01,05,,16.70,5.20
1985,01,06,,20.14,2.33
1985,01,07,,23.37,3.25
1985,01,08,,13.66,4.42
1985,01,09,,9.71,4.31
1985,01,10,,11.48,4.09
1985,01,11,,15.88,3.61
1985,01,12,,12.43,3.03
1985,01,13,,18.70,1.30
1985,01,14,,27.66,2.82
1985,01,15,,27.61,4.05
1985,01,16,,22.08,9.25
1985,01,17,,19.51,5.16
1985,01,18,,9.76,4.61
1985,01,19,,15.54,2.72
1985,01,20,,14.68,3.45
1985,01,21,,14.58,1.40
1985,01,22,0.30,21.12,3.22
1985,01,23,0.25,21.24,5.24
1985,01,24,0.29,21.56,5.40
1985,01,25,0.24,17.96,4.38
1985,01,26,0.26,18.85,2.23
1985,01,27,0.23,14.92,3.10
1985,01,28,0.24,9.57,4.47
1985,01,29,0.36,12.99,3.71
1985,01,30,0.26,9.35,3.73
1985,01,31,0.26,8.77,3.43
1985,02,01,0.39,8.69,3.79
1985,02,02,0.27,5.12,4.75
1985,02,03,0.33,8.97,3.97
1985,02,04,0.20,11.00,5.32
1985,02,05,0.45,14.07,5.36
1985,02,06,0.24,21.27,4.02
1985,02,07,0.31,10.45,7.35
1985,02,08,0.48,16.69,4.09
1985,02,09,0.38,24.33,3.41
1985,02,10,0.30,29.41,2.79
1985,02,11,0.30,33.06,1.61
1985,02,12,0.31,30.49,2.34
1985,02,13,0.32,37.25,2.98
1985,02,14,0.32,34.36,6.27
1985,02,15,0.24,32.97,7.31
1985,02,16,0.40,38.16,4.10
1985,02,17,0.39,40.06,1.16
1985,02,18,0.57,31.00,4.49
1985,02,19,0.30,33.50,3.32
1985,02,20,0.31,38.21,1.81
1985,02,21,0.41,34.28,2.74
1985,02,22,0.48,31.96,4.95
1985,02,23,0.33,34.57,1.37
1985,02,24,0.55,32.10,4.48
1985,02,25,0.60,28.74,2.13
1985,02,26,0.52,27.20,1.89
1985,02,27,0.48,33.38,2.53
1985,02,28,0.45,23.14,9.17
1985,03,01,0.25,16.90,7.83
1985,03,02,0.52,17.44,6.40
1985,03,03,0.20,20.39,6.58
1985,03,04,0.34,27.52,4.23
1985,03,05,0.23,9.37,9.58
1985,03,06,0.36,9.08,4.74
1985,03,07,0.44,23.40,5.13
1985,03,08,0.48,23.88,2.25
1985,03,09,0.52,18.79,3.32
1985,03,10,0.20,12.34,4.18
1985,03,11,0.46,19.01,2.86
1985,03,12,0.35,19.65,4.45
1985,03,13,0.59,12.98,5.12
1985,03,14,0.57,15.45,3.06
1985,03,15,0.41,26.71,1.81
1985,03,16,0.38,24.05,1.94
1985,03,17,0.52,23.28,3.25
1985,03,18,0.67,21.55,6.27
1985,03,19,0.50,23.47,5.15
1985,03,20,0.68,24.38,6.10
1985,03,21,0.55,19.44,6.66
1985,03,22,0.68,18.30,5.97
1985,03,23,0.38,19.46,6.60
1985,03,24,0.48,19.47,2.78
1985,03,25,0.73,20.49,1.23
1985,03,26,0.53,20.23,1.79
1985,03,27,0.65,20.83,2.39
1985,03,28,0.46,20.12,4.74
1985,03,29,0.36,27.32,4.42
1985,03,30,0.36,30.64,4.35
1985,03,31,0.36,27.33,5.38
1985,04,01,0.40,26.49,2.67
1985,04,02,0.56,26.02,2.41
1985,04,03,0.66,23.94,3.87
1985,04,04,0.67,23.02,2.71
1985,04,05,0.42,22.90,2.61
1985,04,06,0.66,20.17,4.45
1985,04,07,0.73,19.67,3.03
1985,04,08,0.53,22.51,4.94
1985,04,09,0.28,20.75,4.64
1985,04,10,0.48,23.31,6.09
1985,04,11,0.48,24.16,5.27
1985,04,12,0.50,21.77,5.59
1985,04,13,0.48,20.98,3.85
1985,04,14,0.60,18.79,4.43
1985,04,15,0.25,10.80,7.12
1985,04,16,0.50,6.60,7.88
1985,04,17,0.52,15.33,9.37
1985,04,18,0.40,18.67,5.19
1985,04,19,0.50,19.44,5.49
1985,04,20,0.57,19.04,7.30
1985,04,21,0.51,17.77,6.01
1985,04,22,0.51,15.31,5.91
1985,04,23,0.48,15.23,5.32
1985,04,24,0.62,12.28,4.98
1985,04,25,0.52,13.88,5.93
1985,04,26,0.58,14.52,7.21
1985,04,27,0.62,12.14,5.72
1985,04,28,0.50,11.73,4.81
1985,04,29,0.58,10.14,3.83
1985,04,30,0.43,4.03,4.24
1985,05,01,0.33,6.13,3.34
1985,05,02,0.48,9.54,3.72
1985,05,03,0.68,5.52,2.91
1985,05,04,0.55,5.09,2.37
1985,05,05,0.35,4.75,7.20
1985,05,06,0.37,6.19,6.37
1985,05,07,0.28,3.30,8.77
1985,05,08,0.37,2.36,5.14
1985,05,09,0.54,2.52,2.86
1985,05,10,0.39,5.05,2.28
1985,05,11,0.60,5.85,5.19
1985,05,12,0.44,7.52,5.25
1985,05,13,0.61,6.73,5.07
1985,05,14,0.69,6.35,4.37
1985,05,15,0.53,5.56,3.15
1985,05,16,0.30,3.14,4.73
1985,05,17,0.16,0.87,7.15
1985,05,18,0.42,0.41,4.52
1985,05,19,0.41,1.29,2.18
1985,05,20,0.36,2.09,5.72
1985,05,21,0.26,0.32,6.34
1985,05,22,0.47,0.13,2.40
1985,05,23,0.66,0.67,1.89
1985,05,24,0.69,2.89,3.25
1985,05,25,0.68,3.67,4.22
1985,05,26,0.73,2.58,4.44
1985,05,27,0.57,2.54,3.89
1985,05,28,0.39,0.39,5.92
1985,05,29,0.49,1.97,3.83
1985,05,30,0.48,1.24,2.99
1985,05,31,0.60,4.52,2.90
1985,06,01,0.43,5.89,2.76
1985,06,02,0.53,6.35,3.79
1985,06,03,0.53,11.05,4.73
1985,06,04,0.68,11.84,2.34
1985,06,05,0.64,9.05,3.53
1985,06,06,0.43,4.97,4.26
1985,06,07,0.59,4.55,7.23
1985,06,08,0.67,7.44,4.45
1985,06,09,0.77,8.06,3.06
1985,06,10,0.73,3.77,4.09
1985,06,11,0.30,1.11,7.72
1985,06,12,0.38,1.53,6.32
1985,06,13,0.54,4.10,6.01
1985,06,14,0.44,2.14,6.42
1985,06,15,0.68,2.66,3.62
1985,06,16,0.56,6.09,1.66
1985,06,17,0.56,9.53,3.53
1985,06,18,0.50,10.56,4.22
1985,06,19,0.61,9.81,2.95
1985,06,20,0.46,10.13,1.58
1985,06,21,0.59,11.47,1.22
1985,06,22,0.31,12.34,1.39
1985,06,23,0.50,10.44,1.65
1985,06,24,0.61,9.30,2.63
1985,06,25,0.48,8.66,1.06
1985,06,26,0.35,8.40,4.31
1985,06,27,0.42,7.69,4.55
1985,06,28,0.25,9.08,6.31
1985,06,29,0.18,8.07,4.34
1985,06,30,0.39,6.41,6.90
1985,07,01,0.29,8.87,4.09
1985,07,02,0.50,6.27,6.88
1985,07,03,0.32,7.73,8.25
1985,07,04,0.10,7.51,6.09
1985,07,05,0.62,8.53,1.11
1985,07,06,0.70,14.80,2.24
1985,07,07,0.64,17.41,5.81
1985,07,08,0.39,10.50,3.98
1985,07,09,0.41,8.99,3.08
1985,07,10,0.63,10.08,2.07
1985,07,11,0.59,14.34,2.94
1985,07,12,0.74,13.49,3.44
1985,07,13,0.65,13.81,3.88
1985,07,14,0.70,15.24,1.59
1985,07,15,0.51,15.25,1.44
1985,07,16,0.65,15.38,1.96
1985,07,17,0.64,16.51,3.06
1985,07,18,0.75,16.72,2.77
1985,07,19,0.76,14.29,4.71
1985,07,20,0.72,11.94,6.60
1985,07,21,0.73,11.65,4.51
1985,07,22,0.68,14.18,2.54
1985,07,23,0.55,14.91,1.26
1985,07,24,0.61,13.44,1.78
1985,07,25,0.70,13.10,4.74
1985,07,26,0.58,11.20,5.72
1985,07,27,0.66,12.30,3.67
1985,07,28,0.74,10.64,4.76
1985,07,29,0.41,10.62,1.65
1985,07,30,0.63,13.49,1.62
1985,07,31,0.46,13.96,1.56
1985,08,01,0.68,14.86,1.07
1985,08,02,0.67,15.94,1.42
1985,08,03,0.57,16.16,2.20
1985,08,04,0.74,17.56,3.24
1985,08,05,0.58,17.33,2.49
1985,08,06,0.45,17.90,2.80
1985,08,07,0.51,15.06,2.53
1985,08,08,0.21,10.84,2.73
1985,08,09,0.41,8.95,3.34
1985,08,10,0.35,9.05,1.16
1985,08,11,0.30,6.85,2.67
1985,08,12,0.42,7.53,0.77
1985,08,13,0.36,7.14,2.71
1985,08,14,0.49,9.33,3.96
1985,08,15,0.24,8.76,1.80
1985,08,16,0.61,1.82,3.76
1985,08,17,0.70,1.38,1.85
1985,08,18,0.71,3.08,1.36
1985,08,19,0.72,5.47,2.08
1985,08,20,0.74,5.89,3.51
1985,08,21,0.41,6.87,1.27
1985,08,22,0.41,7.24,0.90
1985,08,23,0.37,7.01,1.92
1985,08,24,0.51,7.27,2.10
1985,08,25,0.56,7.32,3.17
1985,08,26,0.34,7.43,3.21
1985,08,27,0.23,7.02,6.21
1985,08,28,0.40,7.95,6.91
1985,08,29,0.27,7.20,4.68
1985,08,30,0.29,5.15,2.48
1985,08,31,0.40,6.22,2.49
1985,09,01,0.42,7.88,3.35
1985,09,02,0.37,5.17,1.50
1985,09,03,0.43,5.05,1.72
1985,09,04,0.54,4.08,1.87
1985,09,05,0.72,4.28,2.01
1985,09,06,0.34,6.82,4.18
1985,09,07,0.12,8.14,2.05
1985,09,08,0.37,4.20,1.88
1985,09,09,0.25,1.78,1.70
1985,09,10,0.33,1.69,2.26
1985,09,11,0.34,0.29,4.29
1985,09,12,0.42,2.70,6.16
1985,09,13,0.27,2.81,3.94
1985,09,14,0.15,1.98,4.87
1985,09,15,0.31,5.40,5.15
1985,09,16,0.36,1.90,5.05
