YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,,21.06,2.14
1985,01,02,,19.17,3.97
1985,01,03,,15.48,2.43
1985,01,04,,16.21,3.16
1985,01,05,,16.80,2.54
1985,01,06,,20.88,2.12
1985,01,07,,23.59,2.69
1985,01,08,,19.68,4.09
1985,01,09,,18.14,4.12
1985,01,10,,16.56,5.27
1985,01,11,,18.69,5.41
1985,01,12,,24.46,1.67
1985,01,13,,30.84,1.20
1985,01,14,,33.48,1.26
1985,01,15,,34.50,1.71
1985,01,16,,33.68,2.97
1985,01,17,,27.31,3.65
1985,01,18,,22.03,6.49
1985,01,19,,20.09,6.74
1985,01,20,,23.61,3.68
1985,01,21,,27.30,2.38
1985,01,22,,27.29,1.20
1985,01,23,,21.92,4.54
1985,01,24,,19.92,4.89
1985,01,25,,20.96,2.90
1985,01,26,,20.93,1.66
1985,01,27,,27.23,2.50
1985,01,28,,30.26,1.34
1985,01,29,,27.20,3.49
1985,01,30,0.36,19.92,4.97
1985,01,31,0.23,15.73,2.20
1985,02,01,0.31,12.57,3.19
1985,02,02,0.37,18.25,2.42
1985,02,03,0.18,17.10,4.97
1985,02,04,0.24,19.31,1.18
1985,02,05,0.34,17.13,2.95
1985,02,06,0.18,15.24,6.26
1985,02,07,0.22,18.63,2.34
1985,02,08,0.24,28.38,1.96
1985,02,09,0.24,27.03,1.76
1985,02,10,0.24,26.33,1.32
1985,02,11,0.24,28.65,1.67
1985,02,12,0.25,25.95,2.30
1985,02,13,0.25,35.98,1.13
1985,02,14,0.26,35.04,1.77
1985,02,15,0.27,36.48,1.66
1985,02,16,0.26,37.05,1.95
1985,02,17,0.26,36.17,2.41
1985,02,18,0.30,30.99,3.70
1985,02,19,0.39,28.22,4.28
1985,02,20,0.27,32.92,3.75
1985,02,21,0.54,26.44,6.46
1985,02,22,0.52,22.30,7.35
1985,02,23,0.28,28.07,6.20
1985,02,24,0.29,32.70,1.78
1985,02,25,0.59,27.09,1.39
1985,02,26,0.58,22.15,1.78
1985,02,27,0.60,24.36,3.37
1985,02,28,0.53,24.35,4.97
1985,03,01,0.37,19.75,3.71
1985,03,02,0.17,18.54,4.55
1985,03,03,0.38,15.05,4.54
1985,03,04,0.38,20.94,4.54
1985,03,05,0.21,24.00,3.51
1985,03,06,0.24,18.36,5.53
1985,03,07,0.47,17.16,0.91
1985,03,08,0.11,19.35,0.85
1985,03,09,0.11,21.23,0.79
1985,03,10,0.37,17.43,4.36
1985,03,11,0.58,18.43,5.12
1985,03,12,0.50,16.79,2.57
1985,03,13,0.29,16.79,1.93
1985,03,14,0.52,18.74,1.69
1985,03,15,0.54,17.26,1.31
1985,03,16,0.45,18.56,1.73
1985,03,17,0.54,18.61,1.56
1985,03,18,0.51,18.32,1.68
1985,03,19,0.35,18.59,1.30
1985,03,20,0.49,20.16,1.48
1985,03,21,0.40,20.24,2.40
1985,03,22,0.59,19.59,4.72
1985,03,23,0.60,19.90,5.16
1985,03,24,0.72,16.57,6.32
1985,03,25,0.68,14.75,4.34
1985,03,26,0.70,15.28,1.84
1985,03,27,0.74,19.25,2.65
1985,03,28,0.54,16.13,1.45
1985,03,29,0.41,19.11,2.34
1985,03,30,0.39,21.44,1.47
1985,03,31,0.30,21.24,1.98
1985,04,01,0.44,19.26,2.21
1985,04,02,0.41,18.01,2.01
1985,04,03,0.66,17.73,2.94
1985,04,04,0.75,16.78,4.33
1985,04,05,0.67,15.85,3.78
1985,04,06,0.75,17.33,1.22
1985,04,07,0.75,18.66,3.91
1985,04,08,0.39,18.24,5.17
1985,04,09,0.75,20.71,3.66
1985,04,10,0.58,21.74,1.11
1985,04,11,0.69,22.51,2.03
1985,04,12,0.66,21.09,1.49
1985,04,13,0.70,16.81,3.64
1985,04,14,0.76,15.97,2.83
1985,04,15,0.77,16.43,3.77
1985,04,16,0.78,15.67,5.49
1985,04,17,0.76,18.22,3.83
1985,04,18,0.69,20.14,1.93
1985,04,19,0.68,19.25,2.99
1985,04,20,0.78,19.41,3.28
1985,04,21,0.72,18.56,2.70
1985,04,22,0.59,16.59,3.91
1985,04,23,0.75,12.94,2.05
1985,04,24,0.74,11.67,1.18
1985,04,25,0.66,11.58,2.43
1985,04,26,0.74,11.37,4.05
1985,04,27,0.74,12.20,3.40
1985,04,28,0.74,13.39,1.58
1985,04,29,0.72,12.99,3.17
1985,04,30,0.71,11.20,2.81
1985,05,01,0.62,7.42,3.74
1985,05,02,0.63,6.56,2.99
1985,05,03,0.76,8.35,2.36
1985,05,04,0.73,9.11,2.25
1985,05,05,0.74,4.48,2.74
1985,05,06,0.68,3.82,2.27
1985,05,07,0.42,4.99,1.36
1985,05,08,0.70,4.24,1.36
1985,05,09,0.72,3.59,2.11
1985,05,10,0.69,3.85,2.05
1985,05,11,0.75,5.16,3.68
1985,05,12,0.70,8.35,2.98
1985,05,13,0.56,7.83,2.66
1985,05,14,0.69,7.11,3.01
1985,05,15,0.48,6.75,2.54
1985,05,16,0.41,1.59,3.26
1985,05,17,0.55,0.82,3.14
1985,05,18,0.47,0.27,3.46
1985,05,19,0.58,1.07,1.31
1985,05,20,0.64,0.10,3.30
1985,05,21,0.55,1.13,3.60
1985,05,22,0.57,0.49,3.46
1985,05,23,0.67,0.24,2.03
1985,05,24,0.76,0.80,1.85
1985,05,25,0.69,0.85,1.77
1985,05,26,0.55,2.09,2.13
1985,05,27,0.52,3.00,2.19
1985,05,28,0.71,1.62,5.20
1985,05,29,0.58,1.34,5.71
1985,05,30,0.54,2.70,2.38
1985,05,31,0.68,5.75,2.32
1985,06,01,0.55,6.80,2.87
1985,06,02,0.72,5.26,3.45
1985,06,03,0.75,3.18,2.41
1985,06,04,0.69,0.24,4.30
1985,06,05,0.59,0.42,5.08
1985,06,06,0.76,0.58,4.63
1985,06,07,0.74,1.09,2.70
1985,06,08,0.67,0.78,1.05
1985,06,09,0.49,1.10,4.78
1985,06,10,0.41,0.08,4.95
1985,06,11,0.59,1.45,1.67
1985,06,12,0.60,1.18,1.55
1985,06,13,0.73,1.26,1.93
1985,06,14,0.58,1.20,2.59
1985,06,15,0.55,1.53,1.28
1985,06,16,0.63,1.56,2.62
1985,06,17,0.60,2.02,2.21
1985,06,18,0.75,0.34,4.44
1985,06,19,0.70,3.34,4.17
1985,06,20,0.73,3.74,2.00
1985,06,21,0.67,2.35,1.04
1985,06,22,0.76,3.28,1.10
1985,06,23,0.71,5.51,2.61
1985,06,24,0.75,7.59,3.15
1985,06,25,0.73,7.03,2.84
1985,06,26,0.47,4.30,2.14
1985,06,27,0.59,5.54,3.18
1985,06,28,0.53,9.48,3.96
1985,06,29,0.60,6.13,3.04
1985,06,30,0.43,6.39,1.93
1985,07,01,0.47,6.45,1.91
1985,07,02,0.51,6.60,2.50
1985,07,03,0.73,7.48,4.14
1985,07,04,0.29,5.40,5.88
1985,07,05,0.72,1.72,6.66
1985,07,06,0.65,3.14,4.82
1985,07,07,0.74,2.52,1.82
1985,07,08,0.72,4.59,3.61
1985,07,09,0.74,4.62,3.47
1985,07,10,0.75,3.36,2.12
1985,07,11,0.69,2.72,2.02
1985,07,12,0.62,0.78,1.49
1985,07,13,0.58,2.16,1.98
1985,07,14,0.68,3.47,1.36
1985,07,15,0.74,2.15,1.67
1985,07,16,0.62,2.43,2.56
1985,07,17,0.71,1.62,2.66
1985,07,18,0.72,3.85,3.07
1985,07,19,0.58,1.14,3.13
1985,07,20,0.55,0.21,2.11
1985,07,21,0.71,1.11,2.25
1985,07,22,0.59,2.55,1.52
1985,07,23,0.61,3.80,2.29
1985,07,24,0.56,3.26,2.56
1985,07,25,0.53,6.07,1.64
1985,07,26,0.46,7.95,2.44
1985,07,27,0.46,4.61,4.76
1985,07,28,0.70,7.92,3.87
1985,07,29,0.69,2.16,3.77
1985,07,30,0.54,3.95,1.24
1985,07,31,0.63,2.75,1.60
1985,08,01,0.66,4.14,2.00
1985,08,02,0.73,4.40,2.23
1985,08,03,0.65,7.13,2.01
1985,08,04,0.71,1.49,2.19
1985,08,05,0.75,2.73,3.74
1985,08,06,0.67,4.96,4.50
1985,08,07,0.67,8.46,4.46
1985,08,08,0.58,9.93,2.96
1985,08,09,0.60,7.61,2.93
1985,08,10,0.48,4.36,2.03
1985,08,11,0.49,5.05,2.22
1985,08,12,0.35,2.60,1.92
1985,08,13,0.71,1.37,1.30
1985,08,14,0.58,4.70,2.42
1985,08,15,0.44,7.14,2.55
1985,08,16,0.42,1.69,2.93
1985,08,17,0.70,1.75,2.71
1985,08,18,0.64,0.74,3.01
1985,08,19,0.47,2.00,2.24
1985,08,20,0.57,1.97,3.20
1985,08,21,0.66,2.44,4.69
1985,08,22,0.55,0.83,3.87
1985,08,23,0.58,0.09,2.08
1985,08,24,0.72,0.05,3.58
1985,08,25,0.65,1.12,1.54
1985,08,26,0.63,0.10,1.85
1985,08,27,0.70,6.16,2.31
1985,08,28,0.65,7.80,2.78
1985,08,29,0.46,8.49,2.58
1985,08,30,0.49,6.75,2.02
1985,08,31,0.47,5.27,2.29
1985,09,01,0.60,4.49,6.83
1985,09,02,0.37,2.29,6.63
1985,09,03,0.30,0.30,4.11
1985,09,04,0.26,0.61,3.97
1985,09,05,0.41,0.18,3.89
1985,09,06,0.38,0.29,2.21
1985,09,07,0.36,2.91,4.54
1985,09,08,0.35,3.47,3.82
1985,09,09,0.48,1.54,4.39
1985,09,10,0.57,0.45,4.56
1985,09,11,0.40,1.74,2.48
1985,09,12,0.57,3.27,2.73
