YEAR,MO,DY,avg_kt,T2M,WS10M
1985,01,01,0.20,20.05,3.20
1985,01,02,0.13,13.04,2.72
1985,01,03,0.09,7.30,2.32
1985,01,04,0.14,0.64,4.06
1985,01,05,0.77,1.00,3.26
1985,01,06,0.74,0.70,1.43
1985,01,07,0.74,5.53,2.60
1985,01,08,0.73,4.22,2.81
1985,01,09,0.56,3.71,3.22
1985,01,10,0.17,9.25,3.16
1985,01,11,0.16,5.55,4.06
1985,01,12,0.64,0.57,4.53
1985,01,13,0.53,0.69,1.74
1985,01,14,0.39,3.15,3.59
1985,01,15,0.73,1.51,3.29
1985,01,16,0.38,4.33,2.90
1985,01,17,0.08,9.38,2.93
1985,01,18,0.73,4.61,3.21
1985,01,19,0.76,5.54,2.92
1985,01,20,0.20,7.54,5.02
1985,01,21,0.73,11.34,3.89
1985,01,22,0.74,2.59,3.41
1985,01,23,0.43,0.13,2.41
1985,01,24,0.43,3.91,3.47
1985,01,25,0.71,3.91,3.32
1985,01,26,0.78,1.92,3.51
1985,01,27,0.20,2.52,1.45
1985,01,28,0.26,6.59,2.64
1985,01,29,0.74,2.24,1.78
1985,01,30,0.06,7.66,2.35
1985,01,31,0.17,15.53,2.86
1985,02,01,0.06,13.44,1.81
1985,02,02,0.20,2.74,2.63
1985,02,03,0.41,0.60,2.68
1985,02,04,0.58,4.52,2.97
1985,02,05,0.02,11.59,3.83
1985,02,06,0.14,6.80,2.72
1985,02,07,0.58,1.21,3.49
1985,02,08,0.76,0.50,3.57
1985,02,09,0.62,1.42,2.22
1985,02,10,0.71,5.56,2.39
1985,02,11,0.22,6.72,3.89
1985,02,12,0.64,0.33,5.75
1985,02,13,0.64,0.96,3.23
1985,02,14,0.40,2.03,2.23
1985,02,15,0.60,0.32,2.78
1985,02,16,0.75,1.35,1.20
1985,02,17,0.71,6.00,1.23
1985,02,18,0.40,8.03,2.20
1985,02,19,0.29,13.32,1.07
1985,02,20,0.75,13.18,2.32
1985,02,21,0.70,12.48,3.33
1985,02,22,0.60,15.80,3.41
1985,02,23,0.44,18.40,3.90
1985,02,24,0.16,18.47,2.73
1985,02,25,0.04,17.79,1.80
1985,02,26,0.18,18.50,1.68
1985,02,27,0.23,13.76,3.04
1985,02,28,0.73,10.35,2.07
1985,03,01,0.12,9.10,1.57
1985,03,02,0.48,12.67,1.72
1985,03,03,0.61,13.87,2.43
1985,03,04,0.55,16.82,4.12
1985,03,05,0.58,14.84,2.83
1985,03,06,0.74,8.93,3.57
1985,03,07,0.58,12.73,3.44
1985,03,08,0.55,16.30,2.33
1985,03,09,0.46,18.35,2.40
1985,03,10,0.67,17.04,1.93
1985,03,11,0.60,19.17,3.65
1985,03,12,0.34,18.59,3.30
1985,03,13,0.43,15.52,1.72
1985,03,14,0.37,17.16,1.52
1985,03,15,0.69,13.37,3.58
1985,03,16,0.12,10.58,2.57
1985,03,17,0.67,11.96,3.89
1985,03,18,0.64,7.65,3.62
1985,03,19,0.75,8.37,2.12
1985,03,20,0.57,12.45,3.15
1985,03,21,0.08,14.40,5.17
1985,03,22,0.35,15.36,2.39
1985,03,23,0.69,13.59,2.10
1985,03,24,0.72,15.38,3.97
1985,03,25,0.77,11.93,2.89
1985,03,26,0.74,13.21,2.62
1985,03,27,0.31,16.01,3.68
1985,03,28,0.51,19.86,4.26
1985,03,29,0.54,20.60,3.89
1985,03,30,0.48,20.19,3.56
1985,03,31,0.29,19.63,4.27
1985,04,01,0.74,11.55,3.59
1985,04,02,0.67,10.48,3.28
1985,04,03,0.73,14.48,3.40
1985,04,04,0.71,19.11,4.82
1985,04,05,0.13,19.16,5.65
1985,04,06,0.78,15.41,2.88
1985,04,07,0.61,15.86,2.53
1985,04,08,0.76,11.82,4.36
1985,04,09,0.78,9.74,3.42
1985,04,10,0.77,10.61,2.20
1985,04,11,0.59,15.06,1.48
1985,04,12,0.28,17.79,2.14
1985,04,13,0.41,17.80,3.03
1985,04,14,0.33,16.32,1.99
1985,04,15,0.26,17.46,1.79
1985,04,16,0.65,17.23,2.63
1985,04,17,0.73,19.11,2.10
1985,04,18,0.70,20.30,2.12
1985,04,19,0.51,20.19,1.69
1985,04,20,0.61,20.30,0.81
1985,04,21,0.63,22.04,1.59
1985,04,22,0.67,23.06,2.94
1985,04,23,0.61,23.16,2.62
1985,04,24,0.12,22.01,2.49
1985,04,25,0.62,21.55,1.04
1985,04,26,0.53,22.97,1.92
1985,04,27,0.51,23.40,3.08
1985,04,28,0.55,23.20,2.88
1985,04,29,0.61,23.63,2.63
1985,04,30,0.60,22.22,2.87
1985,05,01,0.22,21.51,3.46
1985,05,02,0.42,21.47,2.58
1985,05,03,0.31,20.18,3.58
1985,05,04,0.70,18.89,2.92
1985,05,05,0.71,18.91,1.92
1985,05,06,0.60,21.31,1.86
1985,05,07,0.49,21.95,2.14
1985,05,08,0.43,21.64,1.92
1985,05,09,0.16,21.28,3.25
1985,05,10,0.34,22.13,2.04
1985,05,11,0.44,21.83,1.38
1985,05,12,0.56,22.41,1.05
1985,05,13,0.61,23.47,0.85
1985,05,14,0.59,24.22,1.30
1985,05,15,0.60,23.18,2.75
1985,05,16,0.76,21.63,4.07
1985,05,17,0.40,19.80,4.83
1985,05,18,0.66,19.01,2.49
1985,05,19,0.66,21.38,2.15
1985,05,20,0.50,21.76,0.82
1985,05,21,0.56,23.55,1.39
1985,05,22,0.50,22.98,3.50
1985,05,23,0.50,22.33,2.86
1985,05,24,0.65,20.01,2.26
1985,05,25,0.74,20.41,2.22
1985,05,26,0.62,22.06,0.86
1985,05,27,0.61,24.51,1.74
1985,05,28,0.58,26.10,3.04
1985,05,29,0.51,24.16,1.39
1985,05,30,0.56,25.63,2.10
1985,05,31,0.65,25.68,3.16
1985,06,01,0.64,27.43,2.41
1985,06,02,0.63,27.92,1.74
1985,06,03,0.67,28.42,2.41
1985,06,04,0.72,29.91,1.76
1985,06,05,0.66,29.66,1.73
1985,06,06,0.67,30.20,1.57
1985,06,07,0.60,27.75,2.42
1985,06,08,0.52,24.52,0.82
1985,06,09,0.37,25.27,0.82
1985,06,10,0.40,25.83,1.72
1985,06,11,0.21,25.12,3.13
1985,06,12,0.38,24.18,3.32
1985,06,13,0.69,19.79,2.29
