Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , East South Central (total) ,2004,7,32120.99282, East South Central (total) 20047
Total consumption , natural gas , East South Central (total) ,2004,6,23536.11717, East South Central (total) 20046
Total consumption , natural gas , East South Central (total) ,2004,5,25380.04672, East South Central (total) 20045
Total consumption , natural gas , East South Central (total) ,2004,4,16657.81202, East South Central (total) 20044
Total consumption , natural gas , East South Central (total) ,2004,3,15507.24216, East South Central (total) 20043
Total consumption , natural gas , East South Central (total) ,2004,2,16189.17042, East South Central (total) 20042
Total consumption , natural gas , East South Central (total) ,2004,1,16502.19992, East South Central (total) 20041
Total consumption , natural gas , East South Central (total) ,2003,12,12834.158, East South Central (total) 200312
Total consumption , natural gas , East South Central (total) ,2003,11,10200.599, East South Central (total) 200311
Total consumption , natural gas , East South Central (total) ,2003,10,8014.536, East South Central (total) 200310
Total consumption , natural gas , East South Central (total) ,2003,9,15727.536, East South Central (total) 20039
Total consumption , natural gas , East South Central (total) ,2003,8,30576.408, East South Central (total) 20038
Total consumption , natural gas , East South Central (total) ,2003,7,22937.896, East South Central (total) 20037
Total consumption , natural gas , East South Central (total) ,2003,6,16799.347, East South Central (total) 20036
Total consumption , natural gas , East South Central (total) ,2003,5,14010.126, East South Central (total) 20035
Total consumption , natural gas , East South Central (total) ,2003,4,15167.118, East South Central (total) 20034
Total consumption , natural gas , East South Central (total) ,2003,3,10723.11, East South Central (total) 20033
Total consumption , natural gas , East South Central (total) ,2003,2,12211.435, East South Central (total) 20032
Total consumption , natural gas , East South Central (total) ,2003,1,22295.378, East South Central (total) 20031
Total consumption , natural gas , East South Central (total) ,2002,12,14048.938, East South Central (total) 200212
Total consumption , natural gas , East South Central (total) ,2002,11,12169.207, East South Central (total) 200211
Total consumption , natural gas , East South Central (total) ,2002,10,16293.134, East South Central (total) 200210
Total consumption , natural gas , East South Central (total) ,2002,9,28213.313, East South Central (total) 20029
Total consumption , natural gas , East South Central (total) ,2002,8,37940.169, East South Central (total) 20028
Total consumption , natural gas , East South Central (total) ,2002,7,43883.518, East South Central (total) 20027
Total consumption , natural gas , East South Central (total) ,2002,6,32678.278, East South Central (total) 20026
Total consumption , natural gas , East South Central (total) ,2002,5,21140.76, East South Central (total) 20025
Total consumption , natural gas , East South Central (total) ,2002,4,21914.199, East South Central (total) 20024
Total consumption , natural gas , East South Central (total) ,2002,3,21286.738, East South Central (total) 20023
Total consumption , natural gas , East South Central (total) ,2002,2,21129.721, East South Central (total) 20022
Total consumption , natural gas , East South Central (total) ,2002,1,21677.33, East South Central (total) 20021
Total consumption , natural gas , East South Central (total) ,2001,12,21569.219, East South Central (total) 200112
Total consumption , natural gas , East South Central (total) ,2001,11,20128.79, East South Central (total) 200111
Total consumption , natural gas , East South Central (total) ,2001,10,26805.528, East South Central (total) 200110
Total consumption , natural gas , East South Central (total) ,2001,9,26413.757, East South Central (total) 20019
Total consumption , natural gas , East South Central (total) ,2001,8,32771.007, East South Central (total) 20018
Total consumption , natural gas , East South Central (total) ,2001,7,31402.31, East South Central (total) 20017
Total consumption , natural gas , East South Central (total) ,2001,6,17761.4, East South Central (total) 20016
Total consumption , natural gas , East South Central (total) ,2001,5,15508.802, East South Central (total) 20015
Total consumption , natural gas , East South Central (total) ,2001,4,13437.953, East South Central (total) 20014
Total consumption , natural gas , East South Central (total) ,2001,3,8298.95, East South Central (total) 20013
Total consumption , natural gas , East South Central (total) ,2001,2,3802.85, East South Central (total) 20012
Total consumption , natural gas , East South Central (total) ,2001,1,7310.834, East South Central (total) 20011
Total consumption , natural gas , Florida ,2017,7,122429.603, Florida 20177
Total consumption , natural gas , Florida ,2017,6,107557.884, Florida 20176
Total consumption , natural gas , Florida ,2017,5,108093.145, Florida 20175
Total consumption , natural gas , Florida ,2017,4,92090.601, Florida 20174
Total consumption , natural gas , Florida ,2017,3,88623.215, Florida 20173
Total consumption , natural gas , Florida ,2017,2,71284.987, Florida 20172
Total consumption , natural gas , Florida ,2017,1,75640.476, Florida 20171
Total consumption , natural gas , Florida ,2016,12,76559.922, Florida 201612
Total consumption , natural gas , Florida ,2016,11,76861.484, Florida 201611
Total consumption , natural gas , Florida ,2016,10,96936.021, Florida 201610
Total consumption , natural gas , Florida ,2016,9,108803.184, Florida 20169
Total consumption , natural gas , Florida ,2016,8,120587.25, Florida 20168
Total consumption , natural gas , Florida ,2016,7,122353.279, Florida 20167
Total consumption , natural gas , Florida ,2016,6,114262.985, Florida 20166
Total consumption , natural gas , Florida ,2016,5,106961.167, Florida 20165
Total consumption , natural gas , Florida ,2016,4,100187.156, Florida 20164
Total consumption , natural gas , Florida ,2016,3,90907.555, Florida 20163
Total consumption , natural gas , Florida ,2016,2,79469.733, Florida 20162
Total consumption , natural gas , Florida ,2016,1,86759.358, Florida 20161
Total consumption , natural gas , Florida ,2015,12,89256.854, Florida 201512
Total consumption , natural gas , Florida ,2015,11,91639.926, Florida 201511
Total consumption , natural gas , Florida ,2015,10,100009.739, Florida 201510
Total consumption , natural gas , Florida ,2015,9,105617.729, Florida 20159
Total consumption , natural gas , Florida ,2015,8,112839.224, Florida 20158
Total consumption , natural gas , Florida ,2015,7,110856.992, Florida 20157
Total consumption , natural gas , Florida ,2015,6,105714.736, Florida 20156
Total consumption , natural gas , Florida ,2015,5,101382.945, Florida 20155
Total consumption , natural gas , Florida ,2015,4,98530.09, Florida 20154
Total consumption , natural gas , Florida ,2015,3,86029.977, Florida 20153
Total consumption , natural gas , Florida ,2015,2,73960.636, Florida 20152
Total consumption , natural gas , Florida ,2015,1,80766.545, Florida 20151
Total consumption , natural gas , Florida ,2014,12,70656.36, Florida 201412
Total consumption , natural gas , Florida ,2014,11,67332.708, Florida 201411
Total consumption , natural gas , Florida ,2014,10,90570.71, Florida 201410
Total consumption , natural gas , Florida ,2014,9,96134.336, Florida 20149
Total consumption , natural gas , Florida ,2014,8,112987.506, Florida 20148
Total consumption , natural gas , Florida ,2014,7,104729.435, Florida 20147
Total consumption , natural gas , Florida ,2014,6,95805.94, Florida 20146
Total consumption , natural gas , Florida ,2014,5,94356.704, Florida 20145
Total consumption , natural gas , Florida ,2014,4,87132.45, Florida 20144
Total consumption , natural gas , Florida ,2014,3,78226.272, Florida 20143
Total consumption , natural gas , Florida ,2014,2,60859.557, Florida 20142
Total consumption , natural gas , Florida ,2014,1,77962.288, Florida 20141
Total consumption , natural gas , Florida ,2013,12,71591.29, Florida 201312
Total consumption , natural gas , Florida ,2013,11,76000.055, Florida 201311
Total consumption , natural gas , Florida ,2013,10,93172.556, Florida 201310
Total consumption , natural gas , Florida ,2013,9,95486.984, Florida 20139
Total consumption , natural gas , Florida ,2013,8,106622.525, Florida 20138
Total consumption , natural gas , Florida ,2013,7,97085.442, Florida 20137
Total consumption , natural gas , Florida ,2013,6,97022.025, Florida 20136
Total consumption , natural gas , Florida ,2013,5,86799.333, Florida 20135
Total consumption , natural gas , Florida ,2013,4,79959.301, Florida 20134
Total consumption , natural gas , Florida ,2013,3,78330.03, Florida 20133
Total consumption , natural gas , Florida ,2013,2,76354.668, Florida 20132
Total consumption , natural gas , Florida ,2013,1,75863.363, Florida 20131
Total consumption , natural gas , Florida ,2012,12,86123.153, Florida 201212
Total consumption , natural gas , Florida ,2012,11,74620.512, Florida 201211
Total consumption , natural gas , Florida ,2012,10,94486.395, Florida 201210
Total consumption , natural gas , Florida ,2012,9,105941.769, Florida 20129
Total consumption , natural gas , Florida ,2012,8,114406.56, Florida 20128
Total consumption , natural gas , Florida ,2012,7,114668.956, Florida 20127
Total consumption , natural gas , Florida ,2012,6,102818.295, Florida 20126
Total consumption , natural gas , Florida ,2012,5,106170.642, Florida 20125
Total consumption , natural gas , Florida ,2012,4,92373.547, Florida 20124
Total consumption , natural gas , Florida ,2012,3,92620.101, Florida 20123
Total consumption , natural gas , Florida ,2012,2,74711.594, Florida 20122
Total consumption , natural gas , Florida ,2012,1,79829.694, Florida 20121
Total consumption , natural gas , Florida ,2011,12,74423.802, Florida 201112
Total consumption , natural gas , Florida ,2011,11,72271.733, Florida 201111
Total consumption , natural gas , Florida ,2011,10,82404.355, Florida 201110
Total consumption , natural gas , Florida ,2011,9,100705.096, Florida 20119
Total consumption , natural gas , Florida ,2011,8,110489.479, Florida 20118
Total consumption , natural gas , Florida ,2011,7,105912.651, Florida 20117
Total consumption , natural gas , Florida ,2011,6,102528.894, Florida 20116
Total consumption , natural gas , Florida ,2011,5,94558.17, Florida 20115
Total consumption , natural gas , Florida ,2011,4,92345.3, Florida 20114
Total consumption , natural gas , Florida ,2011,3,75884.431, Florida 20113
Total consumption , natural gas , Florida ,2011,2,62307.706, Florida 20112
Total consumption , natural gas , Florida ,2011,1,69954.291, Florida 20111
Total consumption , natural gas , Florida ,2010,12,75769.424, Florida 201012
Total consumption , natural gas , Florida ,2010,11,64520.816, Florida 201011
Total consumption , natural gas , Florida ,2010,10,83333.059, Florida 201010
Total consumption , natural gas , Florida ,2010,9,97093.573, Florida 20109
Total consumption , natural gas , Florida ,2010,8,99860.834, Florida 20108
Total consumption , natural gas , Florida ,2010,7,99786.824, Florida 20107
Total consumption , natural gas , Florida ,2010,6,98855.361, Florida 20106
Total consumption , natural gas , Florida ,2010,5,94080.552, Florida 20105
Total consumption , natural gas , Florida ,2010,4,70615.21, Florida 20104
Total consumption , natural gas , Florida ,2010,3,67053.827, Florida 20103
Total consumption , natural gas , Florida ,2010,2,62630.806, Florida 20102
Total consumption , natural gas , Florida ,2010,1,68150.184, Florida 20101
Total consumption , natural gas , Florida ,2009,12,59522.065, Florida 200912
Total consumption , natural gas , Florida ,2009,11,67151.175, Florida 200911
Total consumption , natural gas , Florida ,2009,10,87911.559, Florida 200910
Total consumption , natural gas , Florida ,2009,9,93798.322, Florida 20099
Total consumption , natural gas , Florida ,2009,8,97460.956, Florida 20098
Total consumption , natural gas , Florida ,2009,7,95459.049, Florida 20097
Total consumption , natural gas , Florida ,2009,6,90162.506, Florida 20096
Total consumption , natural gas , Florida ,2009,5,83333.754, Florida 20095
Total consumption , natural gas , Florida ,2009,4,68224.753, Florida 20094
Total consumption , natural gas , Florida ,2009,3,61875.191, Florida 20093
Total consumption , natural gas , Florida ,2009,2,53123.026, Florida 20092
Total consumption , natural gas , Florida ,2009,1,55649.706, Florida 20091
Total consumption , natural gas , Florida ,2008,12,48352.417, Florida 200812
Total consumption , natural gas , Florida ,2008,11,52536.403, Florida 200811
Total consumption , natural gas , Florida ,2008,10,68752.426, Florida 200810
Total consumption , natural gas , Florida ,2008,9,77882.149, Florida 20089
Total consumption , natural gas , Florida ,2008,8,88205.281, Florida 20088
Total consumption , natural gas , Florida ,2008,7,80885.979, Florida 20087
Total consumption , natural gas , Florida ,2008,6,80010.991, Florida 20086
Total consumption , natural gas , Florida ,2008,5,76125.585, Florida 20085
Total consumption , natural gas , Florida ,2008,4,64229.533, Florida 20084
Total consumption , natural gas , Florida ,2008,3,58975.565, Florida 20083
Total consumption , natural gas , Florida ,2008,2,49333.915, Florida 20082
Total consumption , natural gas , Florida ,2008,1,51975.764, Florida 20081
Total consumption , natural gas , Florida ,2007,12,55001.669, Florida 200712
Total consumption , natural gas , Florida ,2007,11,55757.959, Florida 200711
Total consumption , natural gas , Florida ,2007,10,80206.37, Florida 200710
Total consumption , natural gas , Florida ,2007,9,79544.759, Florida 20079
Total consumption , natural gas , Florida ,2007,8,87748.775, Florida 20078
Total consumption , natural gas , Florida ,2007,7,84294.405, Florida 20077
Total consumption , natural gas , Florida ,2007,6,71447.657, Florida 20076
Total consumption , natural gas , Florida ,2007,5,65441.219, Florida 20075
Total consumption , natural gas , Florida ,2007,4,57965.668, Florida 20074
Total consumption , natural gas , Florida ,2007,3,47534.621, Florida 20073
Total consumption , natural gas , Florida ,2007,2,43714.785, Florida 20072
Total consumption , natural gas , Florida ,2007,1,44310.599, Florida 20071
Total consumption , natural gas , Florida ,2006,12,44519.82576, Florida 200612
Total consumption , natural gas , Florida ,2006,11,47985.83315, Florida 200611
Total consumption , natural gas , Florida ,2006,10,66926.63204, Florida 200610
Total consumption , natural gas , Florida ,2006,9,73891.81946, Florida 20069
Total consumption , natural gas , Florida ,2006,8,77294.46174, Florida 20068
Total consumption , natural gas , Florida ,2006,7,78764.94502, Florida 20067
Total consumption , natural gas , Florida ,2006,6,76546.56813, Florida 20066
Total consumption , natural gas , Florida ,2006,5,73934.94406, Florida 20065
Total consumption , natural gas , Florida ,2006,4,61760.66352, Florida 20064
Total consumption , natural gas , Florida ,2006,3,55899.8121, Florida 20063
Total consumption , natural gas , Florida ,2006,2,43506.60531, Florida 20062
Total consumption , natural gas , Florida ,2006,1,40726.72881, Florida 20061
Total consumption , natural gas , Florida ,2005,12,34131.92998, Florida 200512
Total consumption , natural gas , Florida ,2005,11,45507.74182, Florida 200511
Total consumption , natural gas , Florida ,2005,10,54543.34586, Florida 200510
Total consumption , natural gas , Florida ,2005,9,58916.07329, Florida 20059
Total consumption , natural gas , Florida ,2005,8,74855.46031, Florida 20058
Total consumption , natural gas , Florida ,2005,7,80626.62587, Florida 20057
Total consumption , natural gas , Florida ,2005,6,59237.90569, Florida 20056
Total consumption , natural gas , Florida ,2005,5,52576.73156, Florida 20055
Total consumption , natural gas , Florida ,2005,4,42027.77579, Florida 20054
Total consumption , natural gas , Florida ,2005,3,46794.08902, Florida 20053
Total consumption , natural gas , Florida ,2005,2,36459.30783, Florida 20052
Total consumption , natural gas , Florida ,2005,1,44732.91612, Florida 20051
Total consumption , natural gas , Florida ,2004,12,40641.4367, Florida 200412
Total consumption , natural gas , Florida ,2004,11,39979.58485, Florida 200411
Total consumption , natural gas , Florida ,2004,10,57547.66197, Florida 200410
Total consumption , natural gas , Florida ,2004,9,61467.69387, Florida 20049
Total consumption , natural gas , Florida ,2004,8,60783.0976, Florida 20048
Total consumption , natural gas , Florida ,2004,7,62864.89228, Florida 20047
Total consumption , natural gas , Florida ,2004,6,59829.74355, Florida 20046
Total consumption , natural gas , Florida ,2004,5,51134.52043, Florida 20045
Total consumption , natural gas , Florida ,2004,4,41173.44476, Florida 20044
Total consumption , natural gas , Florida ,2004,3,38090.97593, Florida 20043
Total consumption , natural gas , Florida ,2004,2,36039.67221, Florida 20042
Total consumption , natural gas , Florida ,2004,1,36287.87886, Florida 20041
Total consumption , natural gas , Florida ,2003,12,37759.361, Florida 200312
Total consumption , natural gas , Florida ,2003,11,45631.963, Florida 200311
Total consumption , natural gas , Florida ,2003,10,48649.612, Florida 200310
Total consumption , natural gas , Florida ,2003,9,51572.935, Florida 20039
Total consumption , natural gas , Florida ,2003,8,51137.754, Florida 20038
Total consumption , natural gas , Florida ,2003,7,53548.458, Florida 20037
Total consumption , natural gas , Florida ,2003,6,47753.4, Florida 20036
Total consumption , natural gas , Florida ,2003,5,50900.671, Florida 20035
Total consumption , natural gas , Florida ,2003,4,39455.475, Florida 20034
Total consumption , natural gas , Florida ,2003,3,42016.543, Florida 20033
Total consumption , natural gas , Florida ,2003,2,28692.825, Florida 20032
Total consumption , natural gas , Florida ,2003,1,37980.058, Florida 20031
Total consumption , natural gas , Florida ,2002,12,30982.846, Florida 200212
Total consumption , natural gas , Florida ,2002,11,35483.655, Florida 200211
Total consumption , natural gas , Florida ,2002,10,52476.89, Florida 200210
Total consumption , natural gas , Florida ,2002,9,53763.077, Florida 20029
Total consumption , natural gas , Florida ,2002,8,58689.995, Florida 20028
Total consumption , natural gas , Florida ,2002,7,55847.19, Florida 20027
Total consumption , natural gas , Florida ,2002,6,51289.004, Florida 20026
Total consumption , natural gas , Florida ,2002,5,44436.463, Florida 20025
Total consumption , natural gas , Florida ,2002,4,41741.091, Florida 20024
Total consumption , natural gas , Florida ,2002,3,35260.867, Florida 20023
Total consumption , natural gas , Florida ,2002,2,27217.339, Florida 20022
Total consumption , natural gas , Florida ,2002,1,34679.28, Florida 20021
Total consumption , natural gas , Florida ,2001,12,34167.599, Florida 200112
Total consumption , natural gas , Florida ,2001,11,29384.246, Florida 200111
Total consumption , natural gas , Florida ,2001,10,40435.35, Florida 200110
Total consumption , natural gas , Florida ,2001,9,42864.022, Florida 20019
Total consumption , natural gas , Florida ,2001,8,41538.179, Florida 20018
Total consumption , natural gas , Florida ,2001,7,40418.142, Florida 20017
Total consumption , natural gas , Florida ,2001,6,35294.332, Florida 20016
Total consumption , natural gas , Florida ,2001,5,29161.478, Florida 20015
Total consumption , natural gas , Florida ,2001,4,26672.768, Florida 20014
Total consumption , natural gas , Florida ,2001,3,21938.217, Florida 20013
Total consumption , natural gas , Florida ,2001,2,15149.115, Florida 20012
Total consumption , natural gas , Florida ,2001,1,17287.754, Florida 20011
Total consumption , natural gas , Georgia ,2017,7,38690.66, Georgia 20177
Total consumption , natural gas , Georgia ,2017,6,33621.286, Georgia 20176
Total consumption , natural gas , Georgia ,2017,5,29896.635, Georgia 20175
Total consumption , natural gas , Georgia ,2017,4,24054.677, Georgia 20174
Total consumption , natural gas , Georgia ,2017,3,26609.158, Georgia 20173
Total consumption , natural gas , Georgia ,2017,2,27228.74, Georgia 20172
Total consumption , natural gas , Georgia ,2017,1,28361.2, Georgia 20171
Total consumption , natural gas , Georgia ,2016,12,25858.606, Georgia 201612
Total consumption , natural gas , Georgia ,2016,11,23972.134, Georgia 201611
Total consumption , natural gas , Georgia ,2016,10,26061.463, Georgia 201610
Total consumption , natural gas , Georgia ,2016,9,31785.281, Georgia 20169
Total consumption , natural gas , Georgia ,2016,8,41363.307, Georgia 20168
Total consumption , natural gas , Georgia ,2016,7,43098.044, Georgia 20167
Total consumption , natural gas , Georgia ,2016,6,39627.785, Georgia 20166
Total consumption , natural gas , Georgia ,2016,5,33268.407, Georgia 20165
Total consumption , natural gas , Georgia ,2016,4,30527.695, Georgia 20164
Total consumption , natural gas , Georgia ,2016,3,29405.075, Georgia 20163
Total consumption , natural gas , Georgia ,2016,2,25637.244, Georgia 20162
Total consumption , natural gas , Georgia ,2016,1,28597.357, Georgia 20161
Total consumption , natural gas , Georgia ,2015,12,27585.854, Georgia 201512
Total consumption , natural gas , Georgia ,2015,11,27517.653, Georgia 201511
Total consumption , natural gas , Georgia ,2015,10,29598.199, Georgia 201510
Total consumption , natural gas , Georgia ,2015,9,30597.987, Georgia 20159
Total consumption , natural gas , Georgia ,2015,8,35866.427, Georgia 20158
Total consumption , natural gas , Georgia ,2015,7,39865.156, Georgia 20157
Total consumption , natural gas , Georgia ,2015,6,33548.213, Georgia 20156
Total consumption , natural gas , Georgia ,2015,5,27968.976, Georgia 20155
Total consumption , natural gas , Georgia ,2015,4,22112.874, Georgia 20154
Total consumption , natural gas , Georgia ,2015,3,25734.316, Georgia 20153
Total consumption , natural gas , Georgia ,2015,2,25998.128, Georgia 20152
Total consumption , natural gas , Georgia ,2015,1,29304.333, Georgia 20151
Total consumption , natural gas , Georgia ,2014,12,24166.66, Georgia 201412
Total consumption , natural gas , Georgia ,2014,11,24818.57, Georgia 201411
Total consumption , natural gas , Georgia ,2014,10,29676.86, Georgia 201410
Total consumption , natural gas , Georgia ,2014,9,28534.017, Georgia 20149
Total consumption , natural gas , Georgia ,2014,8,32953.56, Georgia 20148
Total consumption , natural gas , Georgia ,2014,7,28806.147, Georgia 20147
Total consumption , natural gas , Georgia ,2014,6,26583.182, Georgia 20146
Total consumption , natural gas , Georgia ,2014,5,22443.648, Georgia 20145
Total consumption , natural gas , Georgia ,2014,4,17643.674, Georgia 20144
Total consumption , natural gas , Georgia ,2014,3,18337.334, Georgia 20143
Total consumption , natural gas , Georgia ,2014,2,14144.209, Georgia 20142
Total consumption , natural gas , Georgia ,2014,1,21864.407, Georgia 20141
Total consumption , natural gas , Georgia ,2013,12,18343.731, Georgia 201312
Total consumption , natural gas , Georgia ,2013,11,19469.88, Georgia 201311
Total consumption , natural gas , Georgia ,2013,10,24766.9, Georgia 201310
Total consumption , natural gas , Georgia ,2013,9,25948.979, Georgia 20139
Total consumption , natural gas , Georgia ,2013,8,27881.133, Georgia 20138
Total consumption , natural gas , Georgia ,2013,7,24800.966, Georgia 20137
Total consumption , natural gas , Georgia ,2013,6,25968.263, Georgia 20136
Total consumption , natural gas , Georgia ,2013,5,21055.822, Georgia 20135
Total consumption , natural gas , Georgia ,2013,4,20393.539, Georgia 20134
Total consumption , natural gas , Georgia ,2013,3,24060.013, Georgia 20133
Total consumption , natural gas , Georgia ,2013,2,23978.202, Georgia 20132
Total consumption , natural gas , Georgia ,2013,1,22838.49, Georgia 20131
Total consumption , natural gas , Georgia ,2012,12,25326.365, Georgia 201212
Total consumption , natural gas , Georgia ,2012,11,20277.222, Georgia 201211
Total consumption , natural gas , Georgia ,2012,10,22727.099, Georgia 201210
Total consumption , natural gas , Georgia ,2012,9,27421.997, Georgia 20129
Total consumption , natural gas , Georgia ,2012,8,32124.461, Georgia 20128
Total consumption , natural gas , Georgia ,2012,7,38916.798, Georgia 20127
Total consumption , natural gas , Georgia ,2012,6,32369.086, Georgia 20126
Total consumption , natural gas , Georgia ,2012,5,29163.546, Georgia 20125
Total consumption , natural gas , Georgia ,2012,4,23143.808, Georgia 20124
Total consumption , natural gas , Georgia ,2012,3,19050.12, Georgia 20123
Total consumption , natural gas , Georgia ,2012,2,18706.156, Georgia 20122
Total consumption , natural gas , Georgia ,2012,1,18869.093, Georgia 20121
Total consumption , natural gas , Georgia ,2011,12,14605.992, Georgia 201112
Total consumption , natural gas , Georgia ,2011,11,12860.496, Georgia 201111
Total consumption , natural gas , Georgia ,2011,10,18326.42, Georgia 201110
Total consumption , natural gas , Georgia ,2011,9,16724.296, Georgia 20119
Total consumption , natural gas , Georgia ,2011,8,27828.329, Georgia 20118
Total consumption , natural gas , Georgia ,2011,7,23028.884, Georgia 20117
Total consumption , natural gas , Georgia ,2011,6,21126.903, Georgia 20116
Total consumption , natural gas , Georgia ,2011,5,16466.011, Georgia 20115
Total consumption , natural gas , Georgia ,2011,4,14483.309, Georgia 20114
Total consumption , natural gas , Georgia ,2011,3,9758.037, Georgia 20113
Total consumption , natural gas , Georgia ,2011,2,9126.74, Georgia 20112
Total consumption , natural gas , Georgia ,2011,1,12156.513, Georgia 20111
Total consumption , natural gas , Georgia ,2010,12,14375.713, Georgia 201012
Total consumption , natural gas , Georgia ,2010,11,9731.821, Georgia 201011
Total consumption , natural gas , Georgia ,2010,10,9471.756, Georgia 201010
Total consumption , natural gas , Georgia ,2010,9,16787.175, Georgia 20109
Total consumption , natural gas , Georgia ,2010,8,27114.467, Georgia 20108
Total consumption , natural gas , Georgia ,2010,7,25581.777, Georgia 20107
Total consumption , natural gas , Georgia ,2010,6,20307.45, Georgia 20106
Total consumption , natural gas , Georgia ,2010,5,11679.42, Georgia 20105
Total consumption , natural gas , Georgia ,2010,4,8283.94, Georgia 20104
Total consumption , natural gas , Georgia ,2010,3,8032.162, Georgia 20103
Total consumption , natural gas , Georgia ,2010,2,11638.391, Georgia 20102
Total consumption , natural gas , Georgia ,2010,1,12077.487, Georgia 20101
Total consumption , natural gas , Georgia ,2009,12,9959.731, Georgia 200912
Total consumption , natural gas , Georgia ,2009,11,9484.986, Georgia 200911
Total consumption , natural gas , Georgia ,2009,10,7798.543, Georgia 200910
Total consumption , natural gas , Georgia ,2009,9,12641.076, Georgia 20099
Total consumption , natural gas , Georgia ,2009,8,16066.759, Georgia 20098
Total consumption , natural gas , Georgia ,2009,7,17169.576, Georgia 20097
Total consumption , natural gas , Georgia ,2009,6,17882.977, Georgia 20096
Total consumption , natural gas , Georgia ,2009,5,10666.083, Georgia 20095
Total consumption , natural gas , Georgia ,2009,4,10259.565, Georgia 20094
Total consumption , natural gas , Georgia ,2009,3,10318.958, Georgia 20093
Total consumption , natural gas , Georgia ,2009,2,10930.853, Georgia 20092
Total consumption , natural gas , Georgia ,2009,1,9287.931, Georgia 20091
Total consumption , natural gas , Georgia ,2008,12,4995.022, Georgia 200812
Total consumption , natural gas , Georgia ,2008,11,7918.293, Georgia 200811
Total consumption , natural gas , Georgia ,2008,10,8566.479, Georgia 200810
Total consumption , natural gas , Georgia ,2008,9,10604.611, Georgia 20089
Total consumption , natural gas , Georgia ,2008,8,13760.831, Georgia 20088
Total consumption , natural gas , Georgia ,2008,7,13493.602, Georgia 20087
Total consumption , natural gas , Georgia ,2008,6,13277.644, Georgia 20086
Total consumption , natural gas , Georgia ,2008,5,3568.036, Georgia 20085
Total consumption , natural gas , Georgia ,2008,4,3552.496, Georgia 20084
Total consumption , natural gas , Georgia ,2008,3,3347.924, Georgia 20083
Total consumption , natural gas , Georgia ,2008,2,4587.229, Georgia 20082
Total consumption , natural gas , Georgia ,2008,1,8644.209, Georgia 20081
Total consumption , natural gas , Georgia ,2007,12,5902.681, Georgia 200712
Total consumption , natural gas , Georgia ,2007,11,4186.696, Georgia 200711
Total consumption , natural gas , Georgia ,2007,10,8173.023, Georgia 200710
Total consumption , natural gas , Georgia ,2007,9,13355.541, Georgia 20079
Total consumption , natural gas , Georgia ,2007,8,31751.474, Georgia 20078
Total consumption , natural gas , Georgia ,2007,7,14348.158, Georgia 20077
Total consumption , natural gas , Georgia ,2007,6,13431.498, Georgia 20076
Total consumption , natural gas , Georgia ,2007,5,8208.123, Georgia 20075
Total consumption , natural gas , Georgia ,2007,4,6875.341, Georgia 20074
Total consumption , natural gas , Georgia ,2007,3,4581.011, Georgia 20073
Total consumption , natural gas , Georgia ,2007,2,5954.31, Georgia 20072
Total consumption , natural gas , Georgia ,2007,1,4958.328, Georgia 20071
Total consumption , natural gas , Georgia ,2006,12,4075.44029, Georgia 200612
Total consumption , natural gas , Georgia ,2006,11,3690.01857, Georgia 200611
Total consumption , natural gas , Georgia ,2006,10,6849.70755, Georgia 200610
Total consumption , natural gas , Georgia ,2006,9,7801.99537, Georgia 20069
Total consumption , natural gas , Georgia ,2006,8,19962.97218, Georgia 20068
Total consumption , natural gas , Georgia ,2006,7,18747.38641, Georgia 20067
Total consumption , natural gas , Georgia ,2006,6,11768.26695, Georgia 20066
Total consumption , natural gas , Georgia ,2006,5,7214.66431, Georgia 20065
Total consumption , natural gas , Georgia ,2006,4,6395.11621, Georgia 20064
Total consumption , natural gas , Georgia ,2006,3,3476.04545, Georgia 20063
Total consumption , natural gas , Georgia ,2006,2,4057.10293, Georgia 20062
Total consumption , natural gas , Georgia ,2006,1,1368.38981, Georgia 20061
Total consumption , natural gas , Georgia ,2005,12,5814.27506, Georgia 200512
Total consumption , natural gas , Georgia ,2005,11,3121.86081, Georgia 200511
Total consumption , natural gas , Georgia ,2005,10,4591.9037, Georgia 200510
Total consumption , natural gas , Georgia ,2005,9,11382.26049, Georgia 20059
Total consumption , natural gas , Georgia ,2005,8,15011.04122, Georgia 20058
Total consumption , natural gas , Georgia ,2005,7,13538.20901, Georgia 20057
Total consumption , natural gas , Georgia ,2005,6,8373.72824, Georgia 20056
Total consumption , natural gas , Georgia ,2005,5,3049.62782, Georgia 20055
Total consumption , natural gas , Georgia ,2005,4,807.98475, Georgia 20054
Total consumption , natural gas , Georgia ,2005,3,2034.54223, Georgia 20053
Total consumption , natural gas , Georgia ,2005,2,1066.35418, Georgia 20052
Total consumption , natural gas , Georgia ,2005,1,3475.5365, Georgia 20051
Total consumption , natural gas , Georgia ,2004,12,1742.666, Georgia 200412
Total consumption , natural gas , Georgia ,2004,11,573.35201, Georgia 200411
Total consumption , natural gas , Georgia ,2004,10,1716.2164, Georgia 200410
Total consumption , natural gas , Georgia ,2004,9,3993.07458, Georgia 20049
Total consumption , natural gas , Georgia ,2004,8,7321.71229, Georgia 20048
Total consumption , natural gas , Georgia ,2004,7,7918.46844, Georgia 20047
Total consumption , natural gas , Georgia ,2004,6,6004.85844, Georgia 20046
Total consumption , natural gas , Georgia ,2004,5,6650.28762, Georgia 20045
