Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , Alabama ,2010,12,28292.824, Alabama 201012
Total consumption , natural gas , Alabama ,2010,11,19702.21, Alabama 201011
Total consumption , natural gas , Alabama ,2010,10,22719.161, Alabama 201010
Total consumption , natural gas , Alabama ,2010,9,25628.606, Alabama 20109
Total consumption , natural gas , Alabama ,2010,8,35282.55, Alabama 20108
Total consumption , natural gas , Alabama ,2010,7,32167.952, Alabama 20107
Total consumption , natural gas , Alabama ,2010,6,28532.895, Alabama 20106
Total consumption , natural gas , Alabama ,2010,5,20433.223, Alabama 20105
Total consumption , natural gas , Alabama ,2010,4,13842.239, Alabama 20104
Total consumption , natural gas , Alabama ,2010,3,16229.81, Alabama 20103
Total consumption , natural gas , Alabama ,2010,2,18112.145, Alabama 20102
Total consumption , natural gas , Alabama ,2010,1,20778.522, Alabama 20101
Total consumption , natural gas , Alabama ,2009,12,16619.068, Alabama 200912
Total consumption , natural gas , Alabama ,2009,11,14408.395, Alabama 200911
Total consumption , natural gas , Alabama ,2009,10,13515.153, Alabama 200910
Total consumption , natural gas , Alabama ,2009,9,20071.617, Alabama 20099
Total consumption , natural gas , Alabama ,2009,8,26091.306, Alabama 20098
Total consumption , natural gas , Alabama ,2009,7,25545.15, Alabama 20097
Total consumption , natural gas , Alabama ,2009,6,26458.213, Alabama 20096
Total consumption , natural gas , Alabama ,2009,5,16319.133, Alabama 20095
Total consumption , natural gas , Alabama ,2009,4,16260.001, Alabama 20094
Total consumption , natural gas , Alabama ,2009,3,17513.446, Alabama 20093
Total consumption , natural gas , Alabama ,2009,2,18184.256, Alabama 20092
Total consumption , natural gas , Alabama ,2009,1,16028.979, Alabama 20091
Total consumption , natural gas , Alabama ,2008,12,10127.082, Alabama 200812
Total consumption , natural gas , Alabama ,2008,11,15854.403, Alabama 200811
Total consumption , natural gas , Alabama ,2008,10,13776.511, Alabama 200810
Total consumption , natural gas , Alabama ,2008,9,13647.205, Alabama 20089
Total consumption , natural gas , Alabama ,2008,8,22279.766, Alabama 20088
Total consumption , natural gas , Alabama ,2008,7,22432.216, Alabama 20087
Total consumption , natural gas , Alabama ,2008,6,19298.367, Alabama 20086
Total consumption , natural gas , Alabama ,2008,5,5052.048, Alabama 20085
Total consumption , natural gas , Alabama ,2008,4,6097.612, Alabama 20084
Total consumption , natural gas , Alabama ,2008,3,8903.652, Alabama 20083
Total consumption , natural gas , Alabama ,2008,2,10013.896, Alabama 20082
Total consumption , natural gas , Alabama ,2008,1,16783.35, Alabama 20081
Total consumption , natural gas , Alabama ,2007,12,11598.492, Alabama 200712
Total consumption , natural gas , Alabama ,2007,11,9449.426, Alabama 200711
Total consumption , natural gas , Alabama ,2007,10,14378.248, Alabama 200710
Total consumption , natural gas , Alabama ,2007,9,16899.865, Alabama 20079
Total consumption , natural gas , Alabama ,2007,8,30741.155, Alabama 20078
Total consumption , natural gas , Alabama ,2007,7,19033.076, Alabama 20077
Total consumption , natural gas , Alabama ,2007,6,17204.788, Alabama 20076
Total consumption , natural gas , Alabama ,2007,5,10907.85, Alabama 20075
Total consumption , natural gas , Alabama ,2007,4,13770.145, Alabama 20074
Total consumption , natural gas , Alabama ,2007,3,8690.567, Alabama 20073
Total consumption , natural gas , Alabama ,2007,2,14804.776, Alabama 20072
Total consumption , natural gas , Alabama ,2007,1,8257.285, Alabama 20071
Total consumption , natural gas , Alabama ,2006,12,7829.39151, Alabama 200612
Total consumption , natural gas , Alabama ,2006,11,7580.31609, Alabama 200611
Total consumption , natural gas , Alabama ,2006,10,10609.79824, Alabama 200610
