Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , California ,2008,6,48.27, California 20086
Total consumption , petroleum coke , California ,2008,5,41.884, California 20085
Total consumption , petroleum coke , California ,2008,4,54.127, California 20084
Total consumption , petroleum coke , California ,2008,3,50.714, California 20083
Total consumption , petroleum coke , California ,2008,2,52.201, California 20082
Total consumption , petroleum coke , California ,2008,1,56.022, California 20081
Total consumption , petroleum coke , California ,2007,12,59.251, California 200712
Total consumption , petroleum coke , California ,2007,11,59.169, California 200711
Total consumption , petroleum coke , California ,2007,10,56.826, California 200710
Total consumption , petroleum coke , California ,2007,9,64.378, California 20079
Total consumption , petroleum coke , California ,2007,8,67.045, California 20078
Total consumption , petroleum coke , California ,2007,7,66.826, California 20077
Total consumption , petroleum coke , California ,2007,6,64.18, California 20076
Total consumption , petroleum coke , California ,2007,5,52.992, California 20075
Total consumption , petroleum coke , California ,2007,4,56.191, California 20074
Total consumption , petroleum coke , California ,2007,3,51.567, California 20073
Total consumption , petroleum coke , California ,2007,2,50.923, California 20072
Total consumption , petroleum coke , California ,2007,1,61.982, California 20071
Total consumption , petroleum coke , California ,2006,12,58.21117, California 200612
Total consumption , petroleum coke , California ,2006,11,52.05995, California 200611
Total consumption , petroleum coke , California ,2006,10,52.99162, California 200610
Total consumption , petroleum coke , California ,2006,9,60.8263, California 20069
Total consumption , petroleum coke , California ,2006,8,66.06104, California 20068
Total consumption , petroleum coke , California ,2006,7,70.99472, California 20067
Total consumption , petroleum coke , California ,2006,6,60.31519, California 20066
Total consumption , petroleum coke , California ,2006,5,48.34997, California 20065
Total consumption , petroleum coke , California ,2006,4,59.94995, California 20064
Total consumption , petroleum coke , California ,2006,3,61.81763, California 20063
Total consumption , petroleum coke , California ,2006,2,54.39131, California 20062
Total consumption , petroleum coke , California ,2006,1,65.6602, California 20061
Total consumption , petroleum coke , California ,2005,12,65.04697, California 200512
Total consumption , petroleum coke , California ,2005,11,58.72681, California 200511
Total consumption , petroleum coke , California ,2005,10,65.5488, California 200510
Total consumption , petroleum coke , California ,2005,9,70.30738, California 20059
Total consumption , petroleum coke , California ,2005,8,69.7985, California 20058
Total consumption , petroleum coke , California ,2005,7,65.67926, California 20057
Total consumption , petroleum coke , California ,2005,6,67.94346, California 20056
Total consumption , petroleum coke , California ,2005,5,60.22071, California 20055
Total consumption , petroleum coke , California ,2005,4,55.94473, California 20054
Total consumption , petroleum coke , California ,2005,3,68.61238, California 20053
Total consumption , petroleum coke , California ,2005,2,59.87425, California 20052
Total consumption , petroleum coke , California ,2005,1,64.90278, California 20051
Total consumption , petroleum coke , California ,2004,12,60.44558, California 200412
Total consumption , petroleum coke , California ,2004,11,59.0786, California 200411
Total consumption , petroleum coke , California ,2004,10,56.42561, California 200410
Total consumption , petroleum coke , California ,2004,9,64.68316, California 20049
Total consumption , petroleum coke , California ,2004,8,71.74129, California 20048
Total consumption , petroleum coke , California ,2004,7,67.89777, California 20047
Total consumption , petroleum coke , California ,2004,6,68.92197, California 20046
Total consumption , petroleum coke , California ,2004,5,48.91123, California 20045
Total consumption , petroleum coke , California ,2004,4,38.58798, California 20044
Total consumption , petroleum coke , California ,2004,3,57.71527, California 20043
Total consumption , petroleum coke , California ,2004,2,45.73725, California 20042
Total consumption , petroleum coke , California ,2004,1,54.68727, California 20041
Total consumption , petroleum coke , California ,2003,12,59.804, California 200312
Total consumption , petroleum coke , California ,2003,11,52.977, California 200311
Total consumption , petroleum coke , California ,2003,10,62.733, California 200310
Total consumption , petroleum coke , California ,2003,9,66.27, California 20039
Total consumption , petroleum coke , California ,2003,8,69.292, California 20038
Total consumption , petroleum coke , California ,2003,7,76.268, California 20037
Total consumption , petroleum coke , California ,2003,6,65.093, California 20036
Total consumption , petroleum coke , California ,2003,5,59.27, California 20035
Total consumption , petroleum coke , California ,2003,4,42.454, California 20034
Total consumption , petroleum coke , California ,2003,3,61.548, California 20033
Total consumption , petroleum coke , California ,2003,2,51.514, California 20032
Total consumption , petroleum coke , California ,2003,1,58.948, California 20031
Total consumption , petroleum coke , California ,2002,12,58.097, California 200212
Total consumption , petroleum coke , California ,2002,11,54.658, California 200211
Total consumption , petroleum coke , California ,2002,10,57.215, California 200210
Total consumption , petroleum coke , California ,2002,9,63.402, California 20029
Total consumption , petroleum coke , California ,2002,8,67.668, California 20028
Total consumption , petroleum coke , California ,2002,7,66.187, California 20027
Total consumption , petroleum coke , California ,2002,6,60.909, California 20026
Total consumption , petroleum coke , California ,2002,5,50.518, California 20025
Total consumption , petroleum coke , California ,2002,4,44.515, California 20024
Total consumption , petroleum coke , California ,2002,3,55.623, California 20023
Total consumption , petroleum coke , California ,2002,2,40.45, California 20022
Total consumption , petroleum coke , California ,2002,1,51.15, California 20021
Total consumption , petroleum coke , California ,2001,12,55.39, California 200112
Total consumption , petroleum coke , California ,2001,11,54.11, California 200111
Total consumption , petroleum coke , California ,2001,10,59.71, California 200110
Total consumption , petroleum coke , California ,2001,9,48.54, California 20019
Total consumption , petroleum coke , California ,2001,8,52.74, California 20018
Total consumption , petroleum coke , California ,2001,7,57.77, California 20017
Total consumption , petroleum coke , California ,2001,6,51.55, California 20016
Total consumption , petroleum coke , California ,2001,5,49.12, California 20015
Total consumption , petroleum coke , California ,2001,4,49.98, California 20014
Total consumption , petroleum coke , California ,2001,3,48.3, California 20013
Total consumption , petroleum coke , California ,2001,2,53.82, California 20012
Total consumption , petroleum coke , California ,2001,1,58.84, California 20011
Total consumption , petroleum coke , East North Central (total) ,2017,7,75.028, East North Central (total) 20177
Total consumption , petroleum coke , East North Central (total) ,2017,6,79.236, East North Central (total) 20176
Total consumption , petroleum coke , East North Central (total) ,2017,5,74.757, East North Central (total) 20175
Total consumption , petroleum coke , East North Central (total) ,2017,4,54.692, East North Central (total) 20174
Total consumption , petroleum coke , East North Central (total) ,2017,3,59.837, East North Central (total) 20173
Total consumption , petroleum coke , East North Central (total) ,2017,2,54.423, East North Central (total) 20172
Total consumption , petroleum coke , East North Central (total) ,2017,1,73.417, East North Central (total) 20171
Total consumption , petroleum coke , East North Central (total) ,2016,12,61.255, East North Central (total) 201612
Total consumption , petroleum coke , East North Central (total) ,2016,11,55.435, East North Central (total) 201611
Total consumption , petroleum coke , East North Central (total) ,2016,10,71.712, East North Central (total) 201610
Total consumption , petroleum coke , East North Central (total) ,2016,9,62.596, East North Central (total) 20169
Total consumption , petroleum coke , East North Central (total) ,2016,8,89.751, East North Central (total) 20168
