Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , Iowa ,2014,2,0, Iowa 20142
Total consumption , petroleum coke , Iowa ,2014,1,0, Iowa 20141
Total consumption , petroleum coke , Iowa ,2013,12,0, Iowa 201312
Total consumption , petroleum coke , Iowa ,2013,11,0, Iowa 201311
Total consumption , petroleum coke , Iowa ,2013,10,0, Iowa 201310
Total consumption , petroleum coke , Iowa ,2013,9,0, Iowa 20139
Total consumption , petroleum coke , Iowa ,2013,8,0, Iowa 20138
Total consumption , petroleum coke , Iowa ,2013,7,0, Iowa 20137
Total consumption , petroleum coke , Iowa ,2013,6,0, Iowa 20136
Total consumption , petroleum coke , Iowa ,2013,5,0, Iowa 20135
Total consumption , petroleum coke , Iowa ,2013,4,0, Iowa 20134
Total consumption , petroleum coke , Iowa ,2013,3,0, Iowa 20133
Total consumption , petroleum coke , Iowa ,2013,2,0, Iowa 20132
Total consumption , petroleum coke , Iowa ,2013,1,0, Iowa 20131
Total consumption , petroleum coke , Iowa ,2012,12,0, Iowa 201212
Total consumption , petroleum coke , Iowa ,2012,11,0, Iowa 201211
Total consumption , petroleum coke , Iowa ,2012,10,0, Iowa 201210
Total consumption , petroleum coke , Iowa ,2012,9,0, Iowa 20129
Total consumption , petroleum coke , Iowa ,2012,8,0, Iowa 20128
Total consumption , petroleum coke , Iowa ,2012,7,0, Iowa 20127
Total consumption , petroleum coke , Iowa ,2012,6,0, Iowa 20126
Total consumption , petroleum coke , Iowa ,2012,5,0, Iowa 20125
Total consumption , petroleum coke , Iowa ,2012,4,0, Iowa 20124
Total consumption , petroleum coke , Iowa ,2012,3,0.24, Iowa 20123
Total consumption , petroleum coke , Iowa ,2012,2,3.655, Iowa 20122
Total consumption , petroleum coke , Iowa ,2012,1,0.829, Iowa 20121
Total consumption , petroleum coke , Iowa ,2011,12,0.239, Iowa 201112
Total consumption , petroleum coke , Iowa ,2011,11,0, Iowa 201111
Total consumption , petroleum coke , Iowa ,2011,10,0.155, Iowa 201110
Total consumption , petroleum coke , Iowa ,2011,9,2.723, Iowa 20119
Total consumption , petroleum coke , Iowa ,2011,8,3.831, Iowa 20118
Total consumption , petroleum coke , Iowa ,2011,7,4.312, Iowa 20117
Total consumption , petroleum coke , Iowa ,2011,6,2.495, Iowa 20116
Total consumption , petroleum coke , Iowa ,2011,5,2.205, Iowa 20115
Total consumption , petroleum coke , Iowa ,2011,4,0.031, Iowa 20114
Total consumption , petroleum coke , Iowa ,2011,3,4.212, Iowa 20113
Total consumption , petroleum coke , Iowa ,2011,2,3.681, Iowa 20112
Total consumption , petroleum coke , Iowa ,2011,1,3.808, Iowa 20111
Total consumption , petroleum coke , Iowa ,2010,12,2.473, Iowa 201012
Total consumption , petroleum coke , Iowa ,2010,11,0.24, Iowa 201011
Total consumption , petroleum coke , Iowa ,2010,10,0.869, Iowa 201010
Total consumption , petroleum coke , Iowa ,2010,9,1.793, Iowa 20109
Total consumption , petroleum coke , Iowa ,2010,8,2.31, Iowa 20108
Total consumption , petroleum coke , Iowa ,2010,7,3.223, Iowa 20107
Total consumption , petroleum coke , Iowa ,2010,6,2.51, Iowa 20106
Total consumption , petroleum coke , Iowa ,2010,5,2.112, Iowa 20105
Total consumption , petroleum coke , Iowa ,2010,4,1.659, Iowa 20104
Total consumption , petroleum coke , Iowa ,2010,3,2.224, Iowa 20103
Total consumption , petroleum coke , Iowa ,2010,2,3.352, Iowa 20102
Total consumption , petroleum coke , Iowa ,2010,1,4.069, Iowa 20101
Total consumption , petroleum coke , Iowa ,2009,12,3.134, Iowa 200912
Total consumption , petroleum coke , Iowa ,2009,11,0.68, Iowa 200911
Total consumption , petroleum coke , Iowa ,2009,10,0.71, Iowa 200910
Total consumption , petroleum coke , Iowa ,2009,9,0.262, Iowa 20099
Total consumption , petroleum coke , Iowa ,2009,8,0.272, Iowa 20098
Total consumption , petroleum coke , Iowa ,2009,7,2.329, Iowa 20097
Total consumption , petroleum coke , Iowa ,2009,6,0.242, Iowa 20096
Total consumption , petroleum coke , Iowa ,2009,5,0, Iowa 20095
Total consumption , petroleum coke , Iowa ,2009,4,0.295, Iowa 20094
Total consumption , petroleum coke , Iowa ,2009,3,0.643, Iowa 20093
Total consumption , petroleum coke , Iowa ,2009,2,1.302, Iowa 20092
Total consumption , petroleum coke , Iowa ,2009,1,0.639, Iowa 20091
Total consumption , petroleum coke , Iowa ,2008,12,0, Iowa 200812
Total consumption , petroleum coke , Iowa ,2008,11,0.062, Iowa 200811
Total consumption , petroleum coke , Iowa ,2008,10,0, Iowa 200810
Total consumption , petroleum coke , Iowa ,2008,9,0.46, Iowa 20089
Total consumption , petroleum coke , Iowa ,2008,8,4.721, Iowa 20088
Total consumption , petroleum coke , Iowa ,2008,7,4.168, Iowa 20087
Total consumption , petroleum coke , Iowa ,2008,6,1.909, Iowa 20086
Total consumption , petroleum coke , Iowa ,2008,5,4.491, Iowa 20085
Total consumption , petroleum coke , Iowa ,2008,4,4.312, Iowa 20084
Total consumption , petroleum coke , Iowa ,2008,3,2.104, Iowa 20083
Total consumption , petroleum coke , Iowa ,2008,2,3.993, Iowa 20082
Total consumption , petroleum coke , Iowa ,2008,1,4.206, Iowa 20081
Total consumption , petroleum coke , Iowa ,2007,12,4.545, Iowa 200712
Total consumption , petroleum coke , Iowa ,2007,11,4.568, Iowa 200711
Total consumption , petroleum coke , Iowa ,2007,10,4.275, Iowa 200710
Total consumption , petroleum coke , Iowa ,2007,9,3.185, Iowa 20079
Total consumption , petroleum coke , Iowa ,2007,8,4.643, Iowa 20078
Total consumption , petroleum coke , Iowa ,2007,7,4.562, Iowa 20077
Total consumption , petroleum coke , Iowa ,2007,6,4.621, Iowa 20076
Total consumption , petroleum coke , Iowa ,2007,5,5.047, Iowa 20075
Total consumption , petroleum coke , Iowa ,2007,4,4.952, Iowa 20074
Total consumption , petroleum coke , Iowa ,2007,3,4.407, Iowa 20073
Total consumption , petroleum coke , Iowa ,2007,2,4.104, Iowa 20072
Total consumption , petroleum coke , Iowa ,2007,1,2.331, Iowa 20071
Total consumption , petroleum coke , Iowa ,2006,12,2.82901, Iowa 200612
Total consumption , petroleum coke , Iowa ,2006,11,2.71014, Iowa 200611
Total consumption , petroleum coke , Iowa ,2006,10,3.21137, Iowa 200610
Total consumption , petroleum coke , Iowa ,2006,9,3.27104, Iowa 20069
Total consumption , petroleum coke , Iowa ,2006,8,3.63965, Iowa 20068
Total consumption , petroleum coke , Iowa ,2006,7,3.90063, Iowa 20067
Total consumption , petroleum coke , Iowa ,2006,6,3.45096, Iowa 20066
Total consumption , petroleum coke , Iowa ,2006,5,3.06211, Iowa 20065
Total consumption , petroleum coke , Iowa ,2006,4,3.40378, Iowa 20064
Total consumption , petroleum coke , Iowa ,2006,3,3.16362, Iowa 20063
Total consumption , petroleum coke , Iowa ,2006,2,3.35805, Iowa 20062
Total consumption , petroleum coke , Iowa ,2006,1,3.87463, Iowa 20061
Total consumption , petroleum coke , Iowa ,2005,12,0, Iowa 200512
Total consumption , petroleum coke , Iowa ,2005,11,0, Iowa 200511
Total consumption , petroleum coke , Iowa ,2005,10,0, Iowa 200510
Total consumption , petroleum coke , Iowa ,2005,9,0, Iowa 20059
Total consumption , petroleum coke , Iowa ,2005,8,0, Iowa 20058
Total consumption , petroleum coke , Iowa ,2005,7,0, Iowa 20057
Total consumption , petroleum coke , Iowa ,2005,6,0, Iowa 20056
Total consumption , petroleum coke , Iowa ,2005,5,0, Iowa 20055
Total consumption , petroleum coke , Iowa ,2005,4,0, Iowa 20054
Total consumption , petroleum coke , Iowa ,2005,3,0, Iowa 20053
Total consumption , petroleum coke , Iowa ,2005,2,0, Iowa 20052
Total consumption , petroleum coke , Iowa ,2005,1,0, Iowa 20051
Total consumption , petroleum coke , Iowa ,2004,12,1.97649, Iowa 200412
Total consumption , petroleum coke , Iowa ,2004,11,1.79037, Iowa 200411
Total consumption , petroleum coke , Iowa ,2004,10,1.33346, Iowa 200410
Total consumption , petroleum coke , Iowa ,2004,9,0.99621, Iowa 20049
Total consumption , petroleum coke , Iowa ,2004,8,0, Iowa 20048
Total consumption , petroleum coke , Iowa ,2004,7,0, Iowa 20047
Total consumption , petroleum coke , Iowa ,2004,6,0, Iowa 20046
Total consumption , petroleum coke , Iowa ,2004,5,0, Iowa 20045
Total consumption , petroleum coke , Iowa ,2004,4,1.51311, Iowa 20044
Total consumption , petroleum coke , Iowa ,2004,3,1.66851, Iowa 20043
Total consumption , petroleum coke , Iowa ,2004,2,1.49464, Iowa 20042
Total consumption , petroleum coke , Iowa ,2004,1,1.64321, Iowa 20041
Total consumption , petroleum coke , Kansas ,2016,5,0, Kansas 20165
Total consumption , petroleum coke , Kansas ,2015,12,0, Kansas 201512
Total consumption , petroleum coke , Kansas ,2015,10,0, Kansas 201510
Total consumption , petroleum coke , Kansas ,2015,9,0, Kansas 20159
Total consumption , petroleum coke , Kansas ,2015,8,0, Kansas 20158
Total consumption , petroleum coke , Kansas ,2015,7,0, Kansas 20157
Total consumption , petroleum coke , Kansas ,2015,6,0, Kansas 20156
Total consumption , petroleum coke , Kansas ,2015,5,0, Kansas 20155
Total consumption , petroleum coke , Kansas ,2015,4,0, Kansas 20154
Total consumption , petroleum coke , Kansas ,2015,3,0, Kansas 20153
Total consumption , petroleum coke , Kansas ,2015,2,0, Kansas 20152
Total consumption , petroleum coke , Kansas ,2015,1,0, Kansas 20151
Total consumption , petroleum coke , Kansas ,2014,12,0, Kansas 201412
Total consumption , petroleum coke , Kansas ,2014,11,0, Kansas 201411
Total consumption , petroleum coke , Kansas ,2014,10,0, Kansas 201410
Total consumption , petroleum coke , Kansas ,2014,9,0, Kansas 20149
Total consumption , petroleum coke , Kansas ,2014,8,0, Kansas 20148
Total consumption , petroleum coke , Kansas ,2014,7,0, Kansas 20147
Total consumption , petroleum coke , Kansas ,2014,6,0, Kansas 20146
Total consumption , petroleum coke , Kansas ,2014,5,0, Kansas 20145
Total consumption , petroleum coke , Kansas ,2014,4,0, Kansas 20144
Total consumption , petroleum coke , Kansas ,2014,3,0, Kansas 20143
Total consumption , petroleum coke , Kansas ,2014,2,0, Kansas 20142
Total consumption , petroleum coke , Kansas ,2014,1,0, Kansas 20141
Total consumption , petroleum coke , Kansas ,2013,12,0, Kansas 201312
Total consumption , petroleum coke , Kansas ,2013,11,0, Kansas 201311
Total consumption , petroleum coke , Kansas ,2013,10,0, Kansas 201310
Total consumption , petroleum coke , Kansas ,2013,9,0, Kansas 20139
Total consumption , petroleum coke , Kansas ,2013,8,0, Kansas 20138
Total consumption , petroleum coke , Kansas ,2013,7,0, Kansas 20137
Total consumption , petroleum coke , Kansas ,2013,6,0, Kansas 20136
Total consumption , petroleum coke , Kansas ,2013,5,0, Kansas 20135
Total consumption , petroleum coke , Kansas ,2013,4,0, Kansas 20134
Total consumption , petroleum coke , Kansas ,2013,3,0, Kansas 20133
Total consumption , petroleum coke , Kansas ,2013,2,0, Kansas 20132
Total consumption , petroleum coke , Kansas ,2013,1,0, Kansas 20131
Total consumption , petroleum coke , Kansas ,2012,12,0, Kansas 201212
Total consumption , petroleum coke , Kansas ,2012,11,0, Kansas 201211
Total consumption , petroleum coke , Kansas ,2012,10,0, Kansas 201210
Total consumption , petroleum coke , Kansas ,2012,9,0, Kansas 20129
Total consumption , petroleum coke , Kansas ,2012,8,0, Kansas 20128
Total consumption , petroleum coke , Kansas ,2012,7,0, Kansas 20127
Total consumption , petroleum coke , Kansas ,2012,6,0, Kansas 20126
Total consumption , petroleum coke , Kansas ,2012,5,0, Kansas 20125
Total consumption , petroleum coke , Kansas ,2012,4,0, Kansas 20124
Total consumption , petroleum coke , Kansas ,2012,3,0, Kansas 20123
Total consumption , petroleum coke , Kansas ,2012,2,0, Kansas 20122
Total consumption , petroleum coke , Kansas ,2012,1,0, Kansas 20121
Total consumption , petroleum coke , Kansas ,2011,12,0, Kansas 201112
Total consumption , petroleum coke , Kansas ,2011,11,0, Kansas 201111
Total consumption , petroleum coke , Kansas ,2011,10,0.008, Kansas 201110
Total consumption , petroleum coke , Kansas ,2011,9,0.104, Kansas 20119
Total consumption , petroleum coke , Kansas ,2011,8,3.63, Kansas 20118
Total consumption , petroleum coke , Kansas ,2011,7,1.468, Kansas 20117
Total consumption , petroleum coke , Kansas ,2011,6,1.023, Kansas 20116
Total consumption , petroleum coke , Kansas ,2011,5,0.712, Kansas 20115
Total consumption , petroleum coke , Kansas ,2011,4,1.045, Kansas 20114
Total consumption , petroleum coke , Kansas ,2011,3,1.824, Kansas 20113
Total consumption , petroleum coke , Kansas ,2011,2,1.809, Kansas 20112
Total consumption , petroleum coke , Kansas ,2011,1,1.581, Kansas 20111
Total consumption , petroleum coke , Kansas ,2010,12,1.523, Kansas 201012
Total consumption , petroleum coke , Kansas ,2010,11,1.278, Kansas 201011
Total consumption , petroleum coke , Kansas ,2010,10,1.563, Kansas 201010
Total consumption , petroleum coke , Kansas ,2010,9,1.529, Kansas 20109
Total consumption , petroleum coke , Kansas ,2010,8,4.252, Kansas 20108
Total consumption , petroleum coke , Kansas ,2010,7,4.188, Kansas 20107
Total consumption , petroleum coke , Kansas ,2010,6,4.253, Kansas 20106
Total consumption , petroleum coke , Kansas ,2010,5,3.618, Kansas 20105
Total consumption , petroleum coke , Kansas ,2010,4,3.564, Kansas 20104
Total consumption , petroleum coke , Kansas ,2010,3,3.62, Kansas 20103
Total consumption , petroleum coke , Kansas ,2010,2,4.733, Kansas 20102
Total consumption , petroleum coke , Kansas ,2010,1,5.615, Kansas 20101
Total consumption , petroleum coke , Kansas ,2009,12,5.927, Kansas 200912
Total consumption , petroleum coke , Kansas ,2009,11,3.212, Kansas 200911
Total consumption , petroleum coke , Kansas ,2009,10,5.352, Kansas 200910
Total consumption , petroleum coke , Kansas ,2009,9,2.444, Kansas 20099
Total consumption , petroleum coke , Kansas ,2009,8,5.065, Kansas 20098
Total consumption , petroleum coke , Kansas ,2009,7,5.362, Kansas 20097
Total consumption , petroleum coke , Kansas ,2009,6,4.1, Kansas 20096
Total consumption , petroleum coke , Kansas ,2009,5,4.348, Kansas 20095
Total consumption , petroleum coke , Kansas ,2009,4,2.337, Kansas 20094
Total consumption , petroleum coke , Kansas ,2009,3,4.678, Kansas 20093
Total consumption , petroleum coke , Kansas ,2009,2,5.14, Kansas 20092
Total consumption , petroleum coke , Kansas ,2009,1,5.542, Kansas 20091
Total consumption , petroleum coke , Kansas ,2008,12,4.279, Kansas 200812
Total consumption , petroleum coke , Kansas ,2008,11,3.168, Kansas 200811
Total consumption , petroleum coke , Kansas ,2008,10,3.705, Kansas 200810
Total consumption , petroleum coke , Kansas ,2008,9,4.323, Kansas 20089
Total consumption , petroleum coke , Kansas ,2008,8,7.362, Kansas 20088
Total consumption , petroleum coke , Kansas ,2008,7,4.658, Kansas 20087
Total consumption , petroleum coke , Kansas ,2008,6,1.375, Kansas 20086
Total consumption , petroleum coke , Kansas ,2008,5,3.253, Kansas 20085
Total consumption , petroleum coke , Kansas ,2008,4,3.909, Kansas 20084
Total consumption , petroleum coke , Kansas ,2008,3,4.55, Kansas 20083
Total consumption , petroleum coke , Kansas ,2008,2,4.447, Kansas 20082
Total consumption , petroleum coke , Kansas ,2008,1,6.572, Kansas 20081
Total consumption , petroleum coke , Kansas ,2007,12,6.112, Kansas 200712
Total consumption , petroleum coke , Kansas ,2007,11,6.057, Kansas 200711
Total consumption , petroleum coke , Kansas ,2007,10,5.776, Kansas 200710
Total consumption , petroleum coke , Kansas ,2007,9,5.232, Kansas 20079
Total consumption , petroleum coke , Kansas ,2007,8,7.763, Kansas 20078
Total consumption , petroleum coke , Kansas ,2007,7,7.562, Kansas 20077
Total consumption , petroleum coke , Kansas ,2007,6,6.668, Kansas 20076
Total consumption , petroleum coke , Kansas ,2007,5,4.929, Kansas 20075
Total consumption , petroleum coke , Kansas ,2007,4,6.282, Kansas 20074
Total consumption , petroleum coke , Kansas ,2007,3,5.934, Kansas 20073
Total consumption , petroleum coke , Kansas ,2007,2,6.388, Kansas 20072
Total consumption , petroleum coke , Kansas ,2007,1,6.489, Kansas 20071
Total consumption , petroleum coke , Kansas ,2006,12,0, Kansas 200612
Total consumption , petroleum coke , Kansas ,2006,11,0, Kansas 200611
Total consumption , petroleum coke , Kansas ,2006,10,0, Kansas 200610
Total consumption , petroleum coke , Kansas ,2006,9,0, Kansas 20069
Total consumption , petroleum coke , Kansas ,2006,8,0, Kansas 20068
Total consumption , petroleum coke , Kansas ,2006,7,0, Kansas 20067
Total consumption , petroleum coke , Kansas ,2006,6,0, Kansas 20066
Total consumption , petroleum coke , Kansas ,2006,5,0, Kansas 20065
Total consumption , petroleum coke , Kansas ,2006,4,0, Kansas 20064
Total consumption , petroleum coke , Kansas ,2006,3,0, Kansas 20063
Total consumption , petroleum coke , Kansas ,2006,2,0, Kansas 20062
Total consumption , petroleum coke , Kansas ,2006,1,0, Kansas 20061
Total consumption , petroleum coke , Kansas ,2005,12,0, Kansas 200512
Total consumption , petroleum coke , Kansas ,2005,9,0, Kansas 20059
Total consumption , petroleum coke , Kansas ,2005,8,0, Kansas 20058
Total consumption , petroleum coke , Kansas ,2005,7,0, Kansas 20057
Total consumption , petroleum coke , Kansas ,2005,6,0, Kansas 20056
Total consumption , petroleum coke , Kansas ,2005,5,0, Kansas 20055
Total consumption , petroleum coke , Kansas ,2005,4,0, Kansas 20054
Total consumption , petroleum coke , Kansas ,2005,3,0, Kansas 20053
Total consumption , petroleum coke , Kansas ,2005,2,0, Kansas 20052
Total consumption , petroleum coke , Kansas ,2005,1,0, Kansas 20051
Total consumption , petroleum coke , Kansas ,2004,11,0, Kansas 200411
Total consumption , petroleum coke , Kansas ,2004,7,0, Kansas 20047
Total consumption , petroleum coke , Kansas ,2004,6,0, Kansas 20046
Total consumption , petroleum coke , Kentucky ,2017,7,12.046, Kentucky 20177
Total consumption , petroleum coke , Kentucky ,2017,6,31.408, Kentucky 20176
Total consumption , petroleum coke , Kentucky ,2017,5,25.151, Kentucky 20175
Total consumption , petroleum coke , Kentucky ,2017,4,18.606, Kentucky 20174
Total consumption , petroleum coke , Kentucky ,2017,3,27.711, Kentucky 20173
Total consumption , petroleum coke , Kentucky ,2017,2,12.991, Kentucky 20172
Total consumption , petroleum coke , Kentucky ,2017,1,38.285, Kentucky 20171
Total consumption , petroleum coke , Kentucky ,2016,12,30.423, Kentucky 201612
Total consumption , petroleum coke , Kentucky ,2016,11,30.675, Kentucky 201611
Total consumption , petroleum coke , Kentucky ,2016,10,32.149, Kentucky 201610
Total consumption , petroleum coke , Kentucky ,2016,9,34.653, Kentucky 20169
Total consumption , petroleum coke , Kentucky ,2016,8,46.447, Kentucky 20168
Total consumption , petroleum coke , Kentucky ,2016,7,47.338, Kentucky 20167
Total consumption , petroleum coke , Kentucky ,2016,6,42.793, Kentucky 20166
Total consumption , petroleum coke , Kentucky ,2016,5,40.389, Kentucky 20165
Total consumption , petroleum coke , Kentucky ,2016,4,37.772, Kentucky 20164
Total consumption , petroleum coke , Kentucky ,2016,3,42.117, Kentucky 20163
Total consumption , petroleum coke , Kentucky ,2016,2,33.343, Kentucky 20162
Total consumption , petroleum coke , Kentucky ,2016,1,20.639, Kentucky 20161
Total consumption , petroleum coke , Kentucky ,2015,12,23.597, Kentucky 201512
Total consumption , petroleum coke , Kentucky ,2015,11,30.059, Kentucky 201511
Total consumption , petroleum coke , Kentucky ,2015,10,20.162, Kentucky 201510
Total consumption , petroleum coke , Kentucky ,2015,9,20.959, Kentucky 20159
Total consumption , petroleum coke , Kentucky ,2015,8,29.229, Kentucky 20158
Total consumption , petroleum coke , Kentucky ,2015,7,31.053, Kentucky 20157
Total consumption , petroleum coke , Kentucky ,2015,6,32.102, Kentucky 20156
Total consumption , petroleum coke , Kentucky ,2015,5,27.528, Kentucky 20155
Total consumption , petroleum coke , Kentucky ,2015,4,25.776, Kentucky 20154
Total consumption , petroleum coke , Kentucky ,2015,3,45.915, Kentucky 20153
Total consumption , petroleum coke , Kentucky ,2015,2,41.197, Kentucky 20152
Total consumption , petroleum coke , Kentucky ,2015,1,41.003, Kentucky 20151
Total consumption , petroleum coke , Kentucky ,2014,12,35.876, Kentucky 201412
Total consumption , petroleum coke , Kentucky ,2014,11,28.733, Kentucky 201411
Total consumption , petroleum coke , Kentucky ,2014,10,33.382, Kentucky 201410
Total consumption , petroleum coke , Kentucky ,2014,9,41.88, Kentucky 20149
Total consumption , petroleum coke , Kentucky ,2014,8,54.923, Kentucky 20148
Total consumption , petroleum coke , Kentucky ,2014,7,32.116, Kentucky 20147
Total consumption , petroleum coke , Kentucky ,2014,6,20.065, Kentucky 20146
Total consumption , petroleum coke , Kentucky ,2014,5,24.308, Kentucky 20145
Total consumption , petroleum coke , Kentucky ,2014,4,24.118, Kentucky 20144
Total consumption , petroleum coke , Kentucky ,2014,3,27.773, Kentucky 20143
Total consumption , petroleum coke , Kentucky ,2014,2,31.303, Kentucky 20142
Total consumption , petroleum coke , Kentucky ,2014,1,46.769, Kentucky 20141
Total consumption , petroleum coke , Kentucky ,2013,12,43.183, Kentucky 201312
Total consumption , petroleum coke , Kentucky ,2013,11,30.71, Kentucky 201311
Total consumption , petroleum coke , Kentucky ,2013,10,42.351, Kentucky 201310
Total consumption , petroleum coke , Kentucky ,2013,9,40.685, Kentucky 20139
Total consumption , petroleum coke , Kentucky ,2013,8,40.024, Kentucky 20138
Total consumption , petroleum coke , Kentucky ,2013,7,47.081, Kentucky 20137
Total consumption , petroleum coke , Kentucky ,2013,6,45.078, Kentucky 20136
Total consumption , petroleum coke , Kentucky ,2013,5,46.235, Kentucky 20135
Total consumption , petroleum coke , Kentucky ,2013,4,43.564, Kentucky 20134
Total consumption , petroleum coke , Kentucky ,2013,3,18.408, Kentucky 20133
Total consumption , petroleum coke , Kentucky ,2013,2,47.612, Kentucky 20132
Total consumption , petroleum coke , Kentucky ,2013,1,54.397, Kentucky 20131
Total consumption , petroleum coke , Kentucky ,2012,12,56.792, Kentucky 201212
Total consumption , petroleum coke , Kentucky ,2012,11,53.418, Kentucky 201211
Total consumption , petroleum coke , Kentucky ,2012,10,41.682, Kentucky 201210
Total consumption , petroleum coke , Kentucky ,2012,9,43.354, Kentucky 20129
Total consumption , petroleum coke , Kentucky ,2012,8,54.626, Kentucky 20128
Total consumption , petroleum coke , Kentucky ,2012,7,57.376, Kentucky 20127
Total consumption , petroleum coke , Kentucky ,2012,6,55.408, Kentucky 20126
Total consumption , petroleum coke , Kentucky ,2012,5,56.226, Kentucky 20125
Total consumption , petroleum coke , Kentucky ,2012,4,44.212, Kentucky 20124
Total consumption , petroleum coke , Kentucky ,2012,3,35.698, Kentucky 20123
Total consumption , petroleum coke , Kentucky ,2012,2,22.349, Kentucky 20122
Total consumption , petroleum coke , Kentucky ,2012,1,20.905, Kentucky 20121
Total consumption , petroleum coke , Kentucky ,2011,12,28.55, Kentucky 201112
Total consumption , petroleum coke , Kentucky ,2011,11,39.288, Kentucky 201111
Total consumption , petroleum coke , Kentucky ,2011,10,49.411, Kentucky 201110
Total consumption , petroleum coke , Kentucky ,2011,9,56.467, Kentucky 20119
Total consumption , petroleum coke , Kentucky ,2011,8,47.418, Kentucky 20118
Total consumption , petroleum coke , Kentucky ,2011,7,57.554, Kentucky 20117
Total consumption , petroleum coke , Kentucky ,2011,6,53.662, Kentucky 20116
Total consumption , petroleum coke , Kentucky ,2011,5,60.039, Kentucky 20115
Total consumption , petroleum coke , Kentucky ,2011,4,42.33, Kentucky 20114
Total consumption , petroleum coke , Kentucky ,2011,3,47.832, Kentucky 20113
Total consumption , petroleum coke , Kentucky ,2011,2,60.618, Kentucky 20112
Total consumption , petroleum coke , Kentucky ,2011,1,64.848, Kentucky 20111
Total consumption , petroleum coke , Kentucky ,2010,12,67.868, Kentucky 201012
Total consumption , petroleum coke , Kentucky ,2010,11,58.727, Kentucky 201011
Total consumption , petroleum coke , Kentucky ,2010,10,71.401, Kentucky 201010
Total consumption , petroleum coke , Kentucky ,2010,9,64.812, Kentucky 20109
Total consumption , petroleum coke , Kentucky ,2010,8,71.364, Kentucky 20108
Total consumption , petroleum coke , Kentucky ,2010,7,81.238, Kentucky 20107
Total consumption , petroleum coke , Kentucky ,2010,6,85.356, Kentucky 20106
Total consumption , petroleum coke , Kentucky ,2010,5,64.589, Kentucky 20105
Total consumption , petroleum coke , Kentucky ,2010,4,72.349, Kentucky 20104
Total consumption , petroleum coke , Kentucky ,2010,3,70.777, Kentucky 20103
Total consumption , petroleum coke , Kentucky ,2010,2,55.558, Kentucky 20102
Total consumption , petroleum coke , Kentucky ,2010,1,65.684, Kentucky 20101
Total consumption , petroleum coke , Kentucky ,2009,12,52.831, Kentucky 200912
Total consumption , petroleum coke , Kentucky ,2009,11,35.992, Kentucky 200911
Total consumption , petroleum coke , Kentucky ,2009,10,37.719, Kentucky 200910
Total consumption , petroleum coke , Kentucky ,2009,9,49.818, Kentucky 20099
Total consumption , petroleum coke , Kentucky ,2009,8,60.469, Kentucky 20098
Total consumption , petroleum coke , Kentucky ,2009,7,61.627, Kentucky 20097
Total consumption , petroleum coke , Kentucky ,2009,6,75.48, Kentucky 20096
Total consumption , petroleum coke , Kentucky ,2009,5,71.346, Kentucky 20095
Total consumption , petroleum coke , Kentucky ,2009,4,64.741, Kentucky 20094
Total consumption , petroleum coke , Kentucky ,2009,3,88.755, Kentucky 20093
Total consumption , petroleum coke , Kentucky ,2009,2,72.363, Kentucky 20092
Total consumption , petroleum coke , Kentucky ,2009,1,79.62, Kentucky 20091
Total consumption , petroleum coke , Kentucky ,2008,12,87.549, Kentucky 200812
Total consumption , petroleum coke , Kentucky ,2008,11,78.797, Kentucky 200811
Total consumption , petroleum coke , Kentucky ,2008,10,105.728, Kentucky 200810
Total consumption , petroleum coke , Kentucky ,2008,9,91.532, Kentucky 20089
Total consumption , petroleum coke , Kentucky ,2008,8,87.221, Kentucky 20088
Total consumption , petroleum coke , Kentucky ,2008,7,102.476, Kentucky 20087
Total consumption , petroleum coke , Kentucky ,2008,6,99.987, Kentucky 20086
Total consumption , petroleum coke , Kentucky ,2008,5,88.675, Kentucky 20085
Total consumption , petroleum coke , Kentucky ,2008,4,81.011, Kentucky 20084
Total consumption , petroleum coke , Kentucky ,2008,3,54.709, Kentucky 20083
Total consumption , petroleum coke , Kentucky ,2008,2,99.77, Kentucky 20082
Total consumption , petroleum coke , Kentucky ,2008,1,117.542, Kentucky 20081
Total consumption , petroleum coke , Kentucky ,2007,12,113.464, Kentucky 200712
Total consumption , petroleum coke , Kentucky ,2007,11,90.578, Kentucky 200711
Total consumption , petroleum coke , Kentucky ,2007,10,89.407, Kentucky 200710
Total consumption , petroleum coke , Kentucky ,2007,9,78.854, Kentucky 20079
Total consumption , petroleum coke , Kentucky ,2007,8,86.376, Kentucky 20078
Total consumption , petroleum coke , Kentucky ,2007,7,97.908, Kentucky 20077
Total consumption , petroleum coke , Kentucky ,2007,6,103.121, Kentucky 20076
Total consumption , petroleum coke , Kentucky ,2007,5,72.512, Kentucky 20075
Total consumption , petroleum coke , Kentucky ,2007,4,70.431, Kentucky 20074
Total consumption , petroleum coke , Kentucky ,2007,3,77.411, Kentucky 20073
Total consumption , petroleum coke , Kentucky ,2007,2,72.587, Kentucky 20072
Total consumption , petroleum coke , Kentucky ,2007,1,112.046, Kentucky 20071
Total consumption , petroleum coke , Kentucky ,2006,12,126.323, Kentucky 200612
Total consumption , petroleum coke , Kentucky ,2006,11,131.256, Kentucky 200611
Total consumption , petroleum coke , Kentucky ,2006,10,128.984, Kentucky 200610
Total consumption , petroleum coke , Kentucky ,2006,9,97.599, Kentucky 20069
