45,Factom,FCT,"$143,813,202 ",$16.45 ,"8,745,102 *","$2,574,910 ",0.72%,2.24%,-5.87%
46,TRON,TRX,"$141,092,982 ",$0.00 ,"65,394,999,999 *","$116,293 ",-1.99%,-6.32%,-18.90%
47,ChainLink,LINK,"$140,161,700 ",$0.40 ,"350,000,000 *","$5,284,120 ",1.85%,-2.91%,-4.75%
48,Metal,MTL,"$136,657,600 ",$7.08 ,"19,300,994 *","$775,215 ",-0.47%,-4.55%,8.83%
49,Populous,PPT,"$135,744,228 ",$3.29 ,"41,252,246 *","$169,190 ",3.17%,4.26%,27.85%
50,DigixDAO,DGD,"$132,041,600 ",$66.02 ,"2,000,000 *","$168,307 ",-1.69%,-7.07%,-11.66%
51,BitShares,BTS,"$130,727,551 ",$0.05 ,"2,600,560,000 *","$2,503,390 ",0.92%,-0.28%,-8.46%
52,Dogecoin,DOGE,"$123,395,334 ",$0.00 ,"111,504,494,337","$1,949,000 ",-1.63%,2.64%,5.09%
53,GameCredits,GAME,"$122,034,480 ",$1.90 ,"64,355,352","$2,573,490 ",-2.74%,6.90%,-8.51%
54,Siacoin,SC,"$120,548,746 ",$0.00 ,"30,128,148,120","$1,119,390 ",-0.87%,-4.45%,-6.02%
55,BitcoinDark,BTCD,"$109,852,559 ",$85.23 ,"1,288,862","$229,760 ",0.44%,0.56%,-1.67%
56,Metaverse ETP,ETP,"$108,772,896 ",$4.81 ,"22,600,000","$28,592,900 ",-1.04%,38.40%,257.39%
57,Civic,CVC,"$106,989,498 ",$0.31 ,"340,200,000 *","$853,407 ",-1.44%,-4.31%,3.76%
58,Lykke,LKK,"$102,991,845 ",$0.38 ,"269,046,599 *","$263,640 ",-0.20%,-3.40%,15.73%
59,Byteball Bytes,GBYTE,"$101,835,636 ",$174.41 ,"583,896 *","$274,520 ",-0.94%,-6.58%,10.24%
60,Blocknet,BLOCK,"$101,384,340 ",$20.94 ,"4,842,399 *","$123,829 ",-3.95%,-9.44%,-7.15%
61,0x,ZRX,"$96,549,500 ",$0.19 ,"500,000,000 *","$1,958,660 ",-0.36%,-1.07%,0.39%
62,Status,SNT,"$96,083,467 ",$0.03 ,"3,470,483,788 *","$1,506,420 ",-0.34%,3.15%,11.34%
63,FunFair,FUN,"$94,484,800 ",$0.02 ,"4,000,000,000 *","$460,378 ",0.52%,-0.58%,-4.55%
